time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780432384.440202,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.715300,1.80000,1.715300,-0.084700,nan,4.5200,4.5200,,-8.1100,0.0000,-2333.6820,12200.2980,2827.5270,-2333.6820,12200.2980,2827.5270,-1359.9038,6388.2439,801.7084,12739.2406,,,
1780432384.441204,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.709600,1.80000,1.709600,-0.090400,nan,4.5200,4.5200,,-8.1100,0.0005,-2337.2880,12192.4800,2821.7200,-2337.2880,12192.4800,2821.7200,-1363.5098,6380.4259,795.9014,12731.1267,,,
1780432384.446320,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.706300,1.80000,1.706300,-0.093700,nan,4.5200,4.5200,,-8.1100,0.0012,-2339.0910,12210.5120,2827.5270,-2339.0910,12210.5120,2827.5270,-1365.3128,6398.4579,801.7084,12750.0141,,,
1780432384.534635,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.702700,1.80000,1.702700,-0.097300,nan,4.5200,4.5200,,-8.1100,0.0069,-2337.8890,12207.5090,2822.6870,-2337.8890,12207.5090,2822.6870,-1364.1108,6395.4549,796.8684,12745.8449,,,
1780432384.622906,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.703300,1.80000,1.703300,-0.096700,nan,4.5200,4.5200,,-8.1100,0.0946,-2329.4750,12201.4980,2825.5920,-2329.4750,12201.4980,2825.5920,-1355.6968,6389.4439,799.7734,12739.1906,,,
1780432384.710408,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.704600,1.80000,1.704600,-0.095400,nan,4.5200,4.5200,,-8.1100,0.1828,-2336.0860,12191.2800,2832.3680,-2336.0860,12191.2800,2832.3680,-1362.3078,6379.2259,806.5494,12732.1214,,,
1780432384.798416,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.711500,1.80000,1.711500,-0.088500,nan,4.5200,4.5200,,-8.1100,0.2708,-2337.2880,12194.8900,2819.7850,-2337.2880,12194.8900,2819.7850,-1363.5098,6382.8359,793.9664,12733.0061,,,
1780432384.886954,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.710800,1.80000,1.710800,-0.089200,nan,4.5200,4.5200,,-8.1100,0.3588,-2336.6870,12192.4800,2821.7200,-2336.6870,12192.4800,2821.7200,-1362.9088,6380.4259,795.9014,12731.0164,,,
1780432384.975360,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.712500,1.80000,1.712500,-0.087500,nan,4.5200,4.5200,,-8.1100,0.4471,-2332.4800,12191.8870,2828.4960,-2332.4800,12191.8870,2828.4960,-1358.7018,6379.8329,802.6774,12731.1807,,,
1780432385.063623,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.711800,1.80000,1.711800,-0.088200,nan,4.5200,4.5200,,-8.1100,0.5353,-2331.8790,12211.1140,2819.7850,-2331.8790,12211.1140,2819.7850,-1358.1008,6399.0599,793.9664,12747.5548,,,
1780432385.151617,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.717600,1.80000,1.717600,-0.082400,nan,4.5200,4.5200,,-8.1100,0.6234,-2334.2830,12178.0630,2828.4960,-2334.2830,12178.0630,2828.4960,-1360.5048,6366.0089,802.6774,12718.2737,,,
1780432385.239559,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.707600,1.80000,1.707600,-0.092400,nan,4.5200,4.5200,,-8.1100,0.7116,-2333.6820,12187.0770,2823.6560,-2333.6820,12187.0770,2823.6560,-1359.9038,6375.0229,797.8374,12725.7200,,,
1780432385.327584,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.706500,1.80000,1.706500,-0.093500,nan,4.5200,4.5200,,-8.1100,0.7997,-2338.4900,12188.8740,2817.8470,-2338.4900,12188.8740,2817.8470,-1364.7118,6376.8199,792.0284,12727.0360,,,
1780432385.416231,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.702300,1.80000,1.702300,-0.097700,nan,4.5200,4.5200,,-8.1100,0.8878,-2338.4900,12199.6960,2816.8800,-2338.4900,12199.6960,2816.8800,-1364.7118,6387.6419,791.0614,12737.1869,,,
1780432385.504247,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.703600,1.80000,1.703600,-0.096400,nan,4.5200,4.5200,,-8.1100,0.9759,-2339.6920,12169.6470,2827.5270,-2339.6920,12169.6470,2827.5270,-1365.9138,6357.5929,801.7084,12710.9943,,,
1780432385.592691,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.715500,1.80000,1.715500,-0.084500,nan,4.5200,4.5200,,-8.1100,1.0642,-2338.4900,12193.0820,2823.6560,-2338.4900,12193.0820,2823.6560,-1364.7118,6381.0279,797.8374,12732.3532,,,
1780432385.680158,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.711800,1.80000,1.711800,-0.088200,nan,4.5200,4.5200,,-8.1100,1.1524,-2340.2930,12200.2980,2822.6870,-2340.2930,12200.2980,2822.6870,-1366.5148,6388.2439,796.8684,12739.3801,,,
1780432385.768603,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.706400,1.80000,1.706400,-0.093600,nan,4.5200,4.5200,,-8.1100,1.2405,-2332.4800,12191.2800,2821.7200,-2332.4800,12191.2800,2821.7200,-1358.7018,6379.2259,795.9014,12729.0956,,,
1780432385.856679,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.700600,1.80000,1.700600,-0.099400,nan,4.5200,4.5200,,-8.1100,1.3287,-2340.8940,12197.8880,2825.5920,-2340.8940,12197.8880,2825.5920,-1367.1158,6385.8339,799.7734,12737.8266,,,
1780432385.944784,session_20260602_162739,1,1,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.699700,1.80000,1.699700,-0.100300,nan,4.5200,4.5200,,-8.1100,1.4169,-2337.2880,12210.5120,2827.5270,-2337.2880,12210.5120,2827.5270,-1363.5098,6398.4579,801.7084,12749.6834,,,
