session_id,trial,pair_id,target_label,F_target_N,F_match_target_N,d_preload_mm,d_preload_extra_mm,F_loading_N,F_unloading_N,delta_F_N,d_loading_mm,d_unloading_mm,delta_d_mm,Bmag_loading_uT,Bmag_unloading_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,slope_Bmag_uT_per_mm,same_F_ok,disp_split_ok,b_signal_ok,verdict
session_20260602_162739,1,1,180,1.80000,1.706000,4.7900,0.5000,1.706000,1.599950,-0.106050,4.5200,4.6700,+0.1500,12732.3266,12880.8943,+148.5677,+49.2815,+210.3520,-211.9920,302.6834,990.4512,0,1,1,bad_F_match
session_20260602_162739,1,2,220,2.20000,2.096300,4.9500,0.5000,2.096300,2.056800,-0.039500,4.9500,4.9200,-0.0300,13033.9976,13027.8270,-6.1706,+0.0000,-7.2135,-0.9690,7.2783,205.6872,1,0,0,weak_disp_split
