time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780428583.805725,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.0000,1.397400,-2409.4080,11537.3910,3185.6870,-1405.0106,5817.4011,1091.8135,12209.2276,,,
1780428583.893281,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.0550,1.394600,-2413.0140,11545.2100,3181.8160,-1408.6166,5825.2201,1087.9425,12216.3196,,,
1780428583.982426,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.1429,1.387700,-2410.6100,11535.5940,3181.8160,-1406.2126,5815.6041,1087.9425,12206.7573,,,
1780428584.070609,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.2315,1.385900,-2416.6200,11531.3860,3184.7200,-1412.2226,5811.3961,1090.8465,12204.7268,,,
1780428584.158825,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.3197,1.398800,-2409.4080,11536.7990,3193.4320,-1405.0106,5816.8091,1099.5585,12210.6915,,,
1780428584.245497,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.4079,1.398000,-2419.6250,11539.1990,3189.5590,-1415.2276,5819.2091,1095.6855,12213.9668,,,
1780428584.334920,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.4953,1.390200,-2410.0090,11541.5990,3193.4320,-1405.6116,5821.6091,1099.5585,12215.3452,,,
1780428584.422038,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.5841,1.397600,-2413.6150,11541.5990,3191.4960,-1409.2176,5821.6091,1097.6225,12215.5512,,,
1780428584.510396,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.6718,1.391300,-2409.4080,11542.8000,3188.5920,-1405.0106,5822.8101,1094.7185,12215.0971,,,
1780428584.598171,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.7598,1.387000,-2417.2210,11533.7860,3183.7520,-1412.8236,5813.7961,1089.8785,12206.8609,,,
1780428584.686941,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.8479,1.386200,-2410.0090,11532.5910,3184.7200,-1405.6116,5812.6011,1090.8465,12204.5582,,,
1780428584.774529,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,0.9359,1.390700,-2411.2110,11541.0020,3193.4320,-1406.8136,5821.0121,1099.5585,12215.0184,,,
1780428584.863075,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,1.0240,1.390600,-2413.6150,11536.7990,3178.9120,-1409.2176,5816.8091,1085.0385,12207.7332,,,
1780428584.951096,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,1.1124,1.398100,-2411.8120,11530.7830,3186.6560,-1407.4146,5810.7931,1092.7825,12203.7113,,,
1780428585.039218,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,1.2004,1.391300,-2412.4130,11530.7830,3186.6560,-1408.0156,5810.7931,1092.7825,12203.8301,,,
1780428585.126773,session_20260602_151614,3,3,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.1100,1.2884,1.384700,-2411.2110,11532.5910,3184.7200,-1406.8136,5812.6011,1090.8465,12204.7956,,,
