time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780428262.705452,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.0000,1.373400,-2417.2210,11488.7140,3199.2400,-1412.8236,5768.7241,1105.3665,12168.3460,,,
1780428262.794188,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.0507,1.366200,-2420.2260,11486.9110,3195.3680,-1415.8286,5766.9211,1101.4945,12166.2235,,,
1780428262.881710,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.1388,1.368900,-2414.8170,11496.5270,3208.9200,-1410.4196,5776.5371,1115.0465,12177.7930,,,
1780428262.969560,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.2269,1.375400,-2419.6250,11489.9190,3193.4320,-1415.2276,5769.9291,1099.5585,12168.4359,,,
1780428263.057964,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.3143,1.372700,-2422.0290,11485.1090,3203.1110,-1417.6316,5765.1191,1109.2375,12166.9172,,,
1780428263.146562,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.4030,1.371700,-2419.6250,11495.3270,3201.1750,-1415.2276,5775.3371,1107.3015,12175.5759,,,
1780428263.234519,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.4912,1.364900,-2421.4280,11493.5200,3194.3990,-1417.0306,5773.5301,1100.5255,12172.4484,,,
1780428263.323215,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.5790,1.368900,-2418.4230,11483.3010,3206.9840,-1414.0256,5763.3111,1113.1105,12165.5135,,,
1780428263.410631,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.6677,1.368700,-2416.6200,11483.3010,3203.1110,-1412.2226,5763.3111,1109.2375,12164.1347,,,
1780428263.499196,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.7558,1.369700,-2421.4280,11491.1190,3206.9840,-1417.0306,5771.1291,1113.1105,12173.4907,,,
1780428263.587029,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.8440,1.377900,-2416.0190,11486.3140,3203.1110,-1411.6216,5766.3241,1109.2375,12166.8598,,,
1780428263.674661,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,0.9318,1.367700,-2417.8220,11485.1090,3190.5270,-1413.4246,5765.1191,1096.6535,12162.7733,,,
1780428263.763552,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.0199,1.365600,-2421.4280,11495.3270,3195.3680,-1417.0306,5775.3371,1101.4945,12174.4089,,,
1780428263.851168,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.1082,1.373800,-2419.0240,11489.9190,3196.3360,-1414.6266,5769.9291,1102.4625,12169.0788,,,
1780428263.939899,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.1965,1.364800,-2418.4230,11491.1190,3202.1440,-1414.0256,5771.1291,1108.2705,12171.6191,,,
1780428264.027429,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.2847,1.364700,-2420.2260,11492.9220,3195.3680,-1415.8286,5772.9321,1101.4945,12171.8991,,,
1780428264.116455,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.3729,1.367200,-2414.2160,11490.5170,3193.4320,-1409.8186,5770.5271,1099.5585,12167.9262,,,
1780428264.203715,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.4609,1.374900,-2417.8220,11486.9110,3184.7200,-1413.4246,5766.9211,1090.8465,12162.9531,,,
1780428264.292457,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.5490,1.370700,-2416.0190,11497.7280,3199.2400,-1411.6216,5777.7381,1105.3665,12176.6183,,,
1780428264.379345,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.6370,1.366000,-2416.6200,11485.7110,3198.2720,-1412.2226,5765.7211,1104.3985,12165.1368,,,
1780428264.467988,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.7246,1.371800,-2422.6300,11491.1190,3195.3680,-1418.2326,5771.1291,1101.4945,12170.6749,,,
1780428264.557134,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.8130,1.368700,-2420.8280,11490.5170,3188.5920,-1416.4306,5770.5271,1094.7185,12167.9706,,,
1780428264.644425,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.9018,1.366000,-2422.6300,11490.5170,3199.2400,-1418.2326,5770.5271,1105.3665,12171.1238,,,
1780428264.732677,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,1.9893,1.365000,-2420.2260,11491.1190,3202.1440,-1415.8286,5771.1291,1108.2705,12171.9775,,,
1780428264.821291,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,2.0779,1.362500,-2419.6250,11486.3140,3203.1110,-1415.2276,5766.3241,1109.2375,12167.5764,,,
1780428264.909536,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,2.1660,1.365800,-2421.4280,11490.5170,3194.3990,-1417.0306,5770.5271,1100.5255,12169.6130,,,
1780428264.996928,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,2.2541,1.359300,-2419.6250,11491.7170,3200.2080,-1415.2276,5771.7271,1106.3345,12171.9134,,,
1780428265.085689,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,2.3424,1.364200,-2420.2260,11487.5090,3200.2080,-1415.8286,5767.5191,1106.3345,12168.0602,,,
1780428265.174221,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,2.4306,1.374400,-2416.6200,11482.1060,3201.1750,-1412.2226,5762.1161,1107.3015,12162.4969,,,
1780428265.262090,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,2.5187,1.367400,-2417.8220,11489.3120,3199.2400,-1413.4246,5769.3221,1105.3665,12169.0300,,,
1780428265.349844,session_20260602_151614,2,2,1,Iplus,direct_target,holding,disp_path_hold,direct_loading,430,4.3000,4.8000,4.2800,4.2800,,-0.0200,-8.0900,2.6068,1.364500,-2419.0240,11488.1110,3191.4960,-1414.6266,5768.1211,1097.6225,12166.1012,,,
