trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,1,0.0000,0.0000,-5.7900,-0.02965,0.00111,24,-209.5699,-4569.1788,725.3188,7.6237,105.9236,161.5505,16.4051,270.0709,-395.6655,4631.1339
1,2,0.4480,0.4400,-6.2300,-0.04150,0.00074,24,-177.9701,-4423.9352,471.6176,0.3680,1.2337,0.8555,48.0049,415.3145,-649.3667,4452.5609
1,3,0.8960,0.8800,-6.6700,0.00895,0.00148,24,-159.1388,-4494.8527,381.3515,0.3535,0.6740,0.6685,66.8362,344.3970,-739.6329,4513.8071
1,4,1.3440,1.3200,-7.1100,0.10860,0.00119,23,-169.1936,-4803.8957,455.8436,0.4000,0.8029,0.5777,56.7814,35.3539,-665.1407,4828.4401
1,5,1.7920,1.7800,-7.5700,0.25830,0.00141,24,-205.0445,-5286.2896,631.0518,0.4308,0.5911,0.8210,20.9305,-447.0399,-489.9325,5327.7695
1,6,2.2400,2.2200,-8.0100,0.47020,0.00222,23,-251.0602,-5910.0760,863.1614,0.4139,0.9277,0.6804,-25.0852,-1070.8264,-257.8229,5978.0497
1,7,2.6880,2.6800,-8.4700,0.75610,0.00289,24,-311.3922,-6592.7175,1134.7380,0.5111,0.8486,0.6540,-85.4172,-1753.4679,13.7537,6696.9038
1,8,3.1360,3.1300,-8.9200,1.17670,0.00400,23,-378.6290,-7316.9465,1434.0113,0.4341,0.7051,0.6329,-152.6540,-2477.6968,313.0270,7465.7521
1,9,3.5840,3.5600,-9.3500,1.78160,0.00919,23,-441.3834,-8084.5990,1729.4932,0.3930,1.2006,0.9748,-215.4084,-3245.3493,608.5089,8279.2938
1,10,4.0320,4.0200,-9.8100,2.66580,0.01290,23,-494.5697,-8856.7533,2004.3066,0.4764,0.9840,0.7047,-268.5947,-4017.5036,883.3223,9094.1697
