trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,1,0.0000,0.0000,-5.6700,-0.02575,0.00089,24,-209.1025,-4593.2634,728.6884,5.3985,107.9479,154.7699,16.8725,245.9862,-392.2959,4655.4033
2,2,0.4480,0.4400,-6.1100,-0.04250,0.00111,24,-182.8533,-4444.8445,491.8247,0.3195,0.9585,0.7507,43.1217,394.4051,-629.1597,4475.7089
2,3,0.8960,0.8800,-6.5500,-0.01160,0.00119,24,-159.4393,-4453.5838,358.0793,0.4511,0.6506,0.3951,66.5357,385.6659,-762.9050,4470.7997
2,4,1.3440,1.3300,-7.0000,0.07325,0.00119,24,-158.3875,-4701.0717,386.4735,0.5006,0.8103,0.7690,67.5875,138.1780,-734.5109,4719.5893
2,5,1.7920,1.7900,-7.4600,0.20780,0.00148,23,-190.0722,-5151.7704,537.9555,0.4867,0.7023,0.5994,35.9028,-312.5207,-583.0289,5183.2675
2,6,2.2400,2.2200,-7.8900,0.40150,0.00252,23,-232.3508,-5745.6110,752.2623,0.5041,0.7875,0.7328,-6.3758,-906.3614,-368.7221,5799.3044
2,7,2.6880,2.6800,-8.3500,0.66435,0.00252,24,-286.5260,-6412.9184,1008.3737,0.4428,0.7708,0.7806,-60.5510,-1573.6687,-112.6107,6498.0333
2,8,3.1360,3.1300,-8.8000,1.04160,0.00534,23,-356.1666,-7127.2317,1297.8857,0.3888,0.9943,0.6365,-130.1916,-2287.9821,176.9013,7253.1920
2,9,3.5840,3.5600,-9.2300,1.58950,0.00712,23,-416.4397,-7881.2240,1587.0150,0.4017,1.0849,0.7071,-190.4647,-3041.9743,466.0306,8050.2006
2,10,4.0320,4.0200,-9.6900,2.38910,0.01193,24,-473.5347,-8668.1674,1872.3224,0.5097,1.1734,0.6498,-247.5597,-3828.9178,751.3381,8880.7068
2,11,4.4800,4.2900,-9.9600,3.05470,0.01171,23,-498.1496,-9132.9257,2025.5189,0.4550,0.9753,0.7073,-272.1746,-4293.6760,904.5345,9368.0954
