trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.796000,-0.004000,1.3300,-2.0300,0.0000,none,1.3300,0.0000,-1117.8590,9394.8310,4989.0720,-265.5743,2855.8975,1651.5365,10695.9477
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.796500,-0.003500,1.3300,-2.0300,0.0531,none,1.3300,0.0000,-1127.4750,9394.2290,4991.9760,-275.1903,2855.2955,1654.4405,10697.7831
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.795600,-0.004400,1.3300,-2.0300,0.1412,none,1.3300,0.0000,-1131.6820,9392.4260,4991.9760,-279.3973,2853.4925,1654.4405,10696.6441
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.793700,-0.006300,1.3300,-2.0300,0.2292,none,1.3300,0.0000,-1120.8650,9394.2290,4987.1350,-268.5803,2855.2955,1649.5995,10694.8302
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.793600,-0.006400,1.3300,-2.0300,0.3176,none,1.3300,0.0000,-1129.8790,9392.4260,4988.1040,-277.5943,2853.4925,1650.5685,10694.6470
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794900,-0.005100,1.3300,-2.0300,0.4052,none,1.3300,0.0000,-1127.4750,9389.4230,4991.0080,-275.1903,2850.4895,1653.4725,10693.1111
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794100,-0.005900,1.3300,-2.0300,0.4932,none,1.3300,0.0000,-1127.4750,9393.0240,4995.8480,-275.1903,2854.0905,1658.3125,10698.5325
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.793300,-0.006700,1.3300,-2.0300,0.5813,none,1.3300,0.0000,-1127.4750,9390.6240,4990.0390,-275.1903,2851.6905,1652.5035,10693.7135
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.793800,-0.006200,1.3300,-2.0300,0.6701,none,1.3300,0.0000,-1126.8740,9394.8310,4992.9440,-274.5893,2855.8975,1655.4085,10698.7001
2,180,holding,force_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.80000,1.794100,-0.005900,1.3300,-2.0300,0.7573,none,1.3300,0.0000,-1125.6720,9392.4260,4987.1350,-273.3873,2853.4925,1649.5995,10693.7514
