trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.0000,5.024800,-712.1840,4586.2290,8124.4240,-273.8650,1778.1711,5028.7730,9356.6537
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.0531,5.026300,-713.9870,4583.2260,8125.3920,-275.6680,1775.1681,5029.7410,9356.1602
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.1413,5.024800,-715.7900,4581.4230,8115.7110,-277.4710,1773.3651,5020.0600,9347.0079
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.2296,5.022100,-713.3860,4579.6160,8131.2000,-275.0670,1771.5581,5035.5490,9359.3918
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.3175,5.021500,-711.5830,4588.6320,8117.6480,-273.2640,1780.5741,5021.9970,9351.9037
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.4055,5.021800,-710.3810,4580.2180,8128.2960,-272.0620,1772.1601,5032.6450,9356.9351
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.4936,5.021700,-712.7850,4586.2290,8115.7110,-274.4660,1778.1711,5020.0600,9349.1349
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.5818,5.018300,-714.5880,4581.4230,8115.7110,-276.2690,1773.3651,5020.0600,9346.9159
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.6696,5.017800,-714.5880,4584.4260,8127.3280,-276.2690,1776.3681,5031.6770,9358.4752
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.7582,5.018100,-711.5830,4587.4320,8116.6790,-273.2640,1779.3741,5021.0280,9350.4738
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.8461,5.016800,-708.5780,4586.8310,8129.2640,-270.2590,1778.7731,5033.6130,9360.8779
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,0.9345,5.012200,-716.9920,4580.8210,8123.4550,-278.6730,1772.7631,5027.8040,9353.5298
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,1.0225,5.011800,-709.7800,4585.6310,8124.4240,-271.4610,1777.5731,5028.7730,9356.1779
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,1.1109,5.011700,-717.5930,4580.8210,8126.3590,-279.2740,1772.7631,5030.7080,9356.0981
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,1.1987,5.010100,-713.3860,4580.8210,8126.3590,-275.0670,1772.7631,5030.7080,9355.7764
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,1.2867,5.010500,-715.7900,4582.6240,8127.3280,-277.4710,1774.5661,5031.6770,9357.6845
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,1.3748,5.009500,-711.5830,4583.2260,8122.4880,-273.2640,1775.1681,5026.8370,9353.4551
1,280,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2.8000,2.7900,-4.2900,1.4627,5.008800,-715.7900,4581.4230,8127.3280,-277.4710,1773.3651,5031.6770,9357.0964
