trial,phase,step,F_target_N,F_mean_N,F_error_N,F_std_N,F_n_samples,B_n_samples,mark10_pos_mm,d_actual_mm,target_reached,status,control_iters,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,force_loading,1,0.00000,-0.05415,-0.05415,0.00126,24,27,-2.0100,0.4000,0,max_iters,24,51.6182,-2998.4325,-1242.5532,3.1199,86.0651,146.8108,24.7746,235.7729,364.8108,3246.1054
3,force_loading,2,0.15000,0.09035,-0.05965,0.00096,24,27,-3.1300,1.5200,0,max_iters,24,11.7964,-2843.9976,-1237.3908,0.6044,2.8353,0.9611,-15.0473,390.2077,369.9732,3101.5476
3,force_loading,3,0.30000,0.24065,-0.05935,0.00133,24,27,-3.7200,2.1100,0,max_iters,24,14.3785,-3026.1008,-1948.7272,0.4980,2.3293,1.4634,-12.4652,208.1046,-341.3632,3599.3097
3,force_loading,4,0.45000,0.43290,-0.01710,0.00104,24,27,-4.2500,2.6400,0,max_iters,24,21.3901,-3231.3756,-2859.0776,0.8210,13.1619,57.4391,-5.4535,2.8298,-1251.7136,4314.6924
3,force_loading,5,0.60000,0.55805,-0.04195,0.00133,24,23,-4.5500,2.9400,0,max_iters,24,27.9324,-3356.6621,-3533.2419,0.3999,0.5814,0.6835,1.0888,-122.4568,-1925.8779,4873.5776
3,force_loading,6,0.75000,0.70380,-0.04620,0.00104,24,24,-4.8300,3.2200,0,max_iters,24,32.6534,-3484.9973,-4236.6136,0.4220,0.6305,0.7908,5.8097,-250.7919,-2629.2496,5485.9062
3,force_loading,7,0.90000,0.89475,-0.00525,0.00141,24,24,-5.1300,3.5200,1,reached,11,36.9104,-3608.8785,-5036.7054,0.4311,0.5313,0.9012,10.0667,-374.6732,-3429.3414,6196.2705
3,force_loading,8,1.05000,0.92305,-0.12695,0.00096,24,24,-5.1900,3.5800,0,max_iters,24,37.1358,-3638.2021,-5241.9210,0.4682,0.5857,0.9879,10.2921,-403.9967,-3634.5570,6380.8799
3,force_loading,9,1.20000,0.91560,-0.28440,0.00082,24,24,-5.1900,3.5800,0,max_iters,24,37.3612,-3636.5243,-5238.7351,0.4219,0.5597,0.8028,10.5175,-402.3190,-3631.3711,6377.3075
3,force_loading,10,1.35000,0.91020,-0.43980,0.00126,24,24,-5.1900,3.5800,0,max_iters,24,37.3612,-3636.3991,-5237.4043,0.3394,0.5580,0.8063,10.5175,-402.1937,-3630.0403,6376.1429
3,force_loading,11,1.50000,0.90505,-0.59495,0.00096,24,24,-5.1900,3.5800,0,max_iters,24,37.5865,-3635.9983,-5235.2667,0.3955,0.5856,0.8875,10.7429,-401.7930,-3627.9027,6374.1598
