trial,phase,step,F_target_N,F_mean_N,F_error_N,F_std_N,F_n_samples,B_n_samples,mark10_pos_mm,d_actual_mm,target_reached,status,control_iters,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,force_loading,1,0.00000,-0.05050,-0.05050,0.00141,24,28,-2.0000,0.4100,0,max_iters,24,38.6133,-2928.3499,-1109.0514,3.9176,109.0588,190.5062,11.7696,305.8554,498.3126,3131.5682
1,force_loading,2,0.15000,0.09515,-0.05485,0.00096,24,28,-2.9800,1.3900,0,max_iters,24,6.2667,-2789.3044,-1069.7437,0.9875,20.1665,71.4780,-20.5770,444.9009,537.6203,2987.4086
1,force_loading,3,0.30000,0.24745,-0.05255,0.00104,24,29,-3.5700,1.9800,0,max_iters,24,7.8538,-2972.2958,-1792.6024,0.4527,2.6024,1.3121,-18.9899,261.9095,-185.2384,3471.0269
1,force_loading,4,0.45000,0.38945,-0.06055,0.00126,24,23,-4.0300,2.4400,0,max_iters,24,9.9547,-3127.2892,-2488.9376,0.4374,0.6499,0.6495,-16.8890,106.9162,-881.5736,3996.8546
1,force_loading,5,0.60000,0.57645,-0.02355,0.00193,24,24,-4.4800,2.8900,1,reached,7,15.1492,-3289.5975,-3383.2000,0.4682,0.5006,0.8316,-11.6945,-55.3922,-1775.8360,4718.8689
1,force_loading,6,0.75000,0.70700,-0.04300,0.00104,24,24,-4.7900,3.2000,0,max_iters,24,20.9088,-3403.1360,-4121.2597,0.4334,0.5598,0.9027,-5.9349,-168.9306,-2513.8957,5344.7688
1,force_loading,7,0.90000,0.89070,-0.00930,0.00104,24,24,-5.0900,3.5000,1,reached,13,24.9155,-3522.9108,-4952.9333,0.3059,0.5674,0.6793,-1.9282,-288.7054,-3345.5693,6078.0810
1,force_loading,8,1.05000,0.92300,-0.12700,0.00089,24,24,-5.1700,3.5800,0,max_iters,24,25.8921,-3555.7400,-5212.7198,0.4661,0.5548,1.1233,-0.9516,-321.5347,-3605.3558,6310.0242
1,force_loading,9,1.20000,0.91320,-0.28680,0.00170,24,23,-5.1700,3.5800,0,max_iters,24,26.2340,-3554.3910,-5208.6392,0.4658,0.6092,0.9525,-0.6097,-320.1856,-3601.2752,6305.8946
1,force_loading,10,1.35000,0.90610,-0.44390,0.00052,24,24,-5.1700,3.5800,0,max_iters,24,26.0924,-3553.5114,-5205.7839,0.4661,0.4907,0.7173,-0.7513,-319.3060,-3598.4199,6303.0398
1,force_loading,11,1.50000,0.90100,-0.59900,0.00126,24,24,-5.1700,3.5800,0,max_iters,24,26.3679,-3552.6097,-5202.8385,0.4085,0.5509,1.1655,-0.4758,-318.4043,-3595.4745,6300.0999
