trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,60,holding,force_hold,0.60000,0.575600,-0.024400,2.9000,-5.2900,0.0000,none,2.9000,0.0000,-58.8970,-5208.8660,-2967.8880,12.6738,-1242.8423,-1788.1486,5995.3409
1,60,holding,force_hold,0.60000,0.574800,-0.025200,2.9000,-5.2900,0.0428,none,2.9000,0.0000,-58.2960,-5208.8660,-2968.8550,13.2748,-1242.8423,-1789.1156,5995.8138
1,60,holding,force_hold,0.60000,0.574000,-0.026000,2.9000,-5.2900,0.1310,none,2.9000,0.0000,-58.8970,-5208.8660,-2966.9200,12.6738,-1242.8423,-1787.1806,5994.8618
1,60,holding,force_hold,0.60000,0.572600,-0.027400,2.9000,-5.2900,0.2195,none,2.9000,0.0000,-58.8970,-5208.8660,-2966.9200,12.6738,-1242.8423,-1787.1806,5994.8618
1,60,holding,force_hold,0.60000,0.573300,-0.026700,2.9000,-5.2900,0.3078,none,2.9000,0.0000,-59.4980,-5528.5990,-3151.8080,12.0728,-1562.5753,-1972.0686,6364.1842
1,60,holding,force_hold,0.60000,0.574600,-0.025400,2.9000,-5.2900,0.3964,none,2.9000,0.0000,-60.0990,-5524.3910,-3149.8720,11.4718,-1558.3673,-1970.1326,6359.5756
1,60,holding,force_hold,0.60000,0.572900,-0.027100,2.9000,-5.2900,0.4846,none,2.9000,0.0000,-58.8970,-5524.3910,-3150.8390,12.6738,-1558.3673,-1971.0996,6360.0433
1,60,holding,force_hold,0.60000,0.572500,-0.027500,2.9000,-5.2900,0.5728,none,2.9000,0.0000,-59.4980,-5524.9910,-3148.9040,12.0728,-1558.9673,-1969.1646,6359.6118
1,60,holding,force_hold,0.60000,0.575800,-0.024200,2.9000,-5.2900,0.6609,none,2.9000,0.0000,-59.4980,-5523.7890,-3149.8720,12.0728,-1557.7653,-1970.1326,6359.0470
1,60,holding,force_hold,0.60000,0.574600,-0.025400,2.9000,-5.2900,0.7495,none,2.9000,0.0000,-59.4980,-5523.7890,-3148.9040,12.0728,-1557.7653,-1969.1646,6358.5676
1,60,holding,force_hold,0.60000,0.573500,-0.026500,2.9000,-5.2900,0.8378,none,2.9000,0.0000,-59.4980,-5522.5860,-3149.8720,12.0728,-1556.5623,-1970.1326,6358.0020
1,60,holding,force_hold,0.60000,0.570900,-0.029100,2.9000,-5.2900,0.9260,none,2.9000,0.0000,-58.8970,-5521.9860,-3148.9040,12.6738,-1555.9623,-1969.1646,6356.9957
1,60,holding,force_hold,0.60000,0.572000,-0.028000,2.9000,-5.2900,1.0145,none,2.9000,0.0000,-58.2960,-5521.9860,-3147.9360,13.2748,-1555.9623,-1968.1966,6356.5107
1,60,holding,force_hold,0.60000,0.574100,-0.025900,2.9000,-5.2900,1.1029,none,2.9000,0.0000,-58.8970,-5518.3810,-3146.9680,12.6738,-1552.3573,-1967.2286,6352.9053
