session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,cycle,target_label,target_d_mm,d_mm,F_N,Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,n_tail,reference_cycle,delta_F_vs_cycle1_N,delta_d_vs_cycle1_mm,delta_Bmag_vs_cycle1_uT,delta_Bx_vs_cycle1_uT,delta_By_vs_cycle1_uT,delta_Bz_vs_cycle1_uT,delta_Bvec_uT,control_gate_uT,control_ok,verdict
session_20260616_170608,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,340,3.4000,3.3800,10.314500,9318.0530,-195.4270,-458.7201,6235.7014,113,1,+0.000000,+0.0000,+0.0000,+0.0000,+0.0000,+0.0000,0.0000,50.0,1,repeat_loading_low_memory
session_20260616_170608,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,340,3.4000,3.3800,10.305600,9305.8153,-197.8310,-442.4931,6221.1844,113,1,-0.008900,+0.0000,-12.2377,-2.4040,+16.2270,-14.5170,21.9052,50.0,1,repeat_loading_low_memory
session_20260616_170608,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,340,3.4000,3.3800,10.284700,9317.5385,-198.4320,-441.2911,6232.8004,113,1,-0.029800,+0.0000,-0.5145,-3.0050,+17.4290,-2.9010,17.9225,50.0,1,repeat_loading_low_memory
session_20260616_170608,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,4,340,3.4000,3.3800,10.277800,9321.6814,-200.2350,-431.6751,6234.7354,113,1,-0.036700,+0.0000,+3.6284,-4.8080,+27.0450,-0.9660,27.4860,50.0,1,repeat_loading_low_memory
session_20260616_170608,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,5,340,3.4000,3.3800,10.266900,9321.4917,-200.2350,-425.0641,6233.7654,113,1,-0.047600,+0.0000,+3.4387,-4.8080,+33.6560,-1.9360,34.0528,50.0,1,repeat_loading_low_memory
