trial,phase,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,B_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,loading,1,0.0000,0.0000,-6.0000,-0.02735,0.00126,24,28,-160.5089,-4793.2306,463.2565,5.6991,120.2660,168.1418,9.9915,273.5643,-367.6657,4818.2392
1,loading,2,0.3500,0.3300,-6.3300,-0.04030,0.00096,24,24,-138.4794,-4639.5177,245.4687,0.5581,0.8629,0.5649,32.0210,427.2771,-585.4536,4648.0702
1,loading,3,0.7000,0.6900,-6.6900,-0.03740,0.00089,23,23,-115.9920,-4580.4805,96.7158,0.4439,0.8076,0.6469,54.5084,486.3144,-734.2064,4582.9695
1,loading,4,1.0500,1.0300,-7.0300,0.02010,0.00119,23,24,-102.1940,-4679.8594,40.5350,0.4148,0.5870,0.8711,68.3064,386.9355,-790.3873,4681.1506
1,loading,5,1.4000,1.3900,-7.3900,0.10900,0.00163,23,23,-110.2433,-4959.5030,93.0963,0.5069,0.5988,0.7528,60.2571,107.2919,-737.8259,4961.6016
1,loading,6,1.7500,1.7300,-7.7300,0.22920,0.00119,24,23,-133.2120,-5363.4778,198.6502,0.3442,0.6585,0.6494,37.2885,-296.6830,-632.2721,5368.8082
1,loading,7,2.1000,2.0700,-8.0700,0.38445,0.00111,24,24,-160.0653,-5828.4708,322.4648,0.4907,0.6256,0.6582,10.4351,-761.6759,-508.4574,5839.5784
1,loading,8,2.4500,2.4300,-8.4300,0.58310,0.00334,24,23,-191.9793,-6344.6776,469.6058,0.3981,0.8359,0.7889,-21.4789,-1277.8827,-361.3165,6364.9289
1,loading,9,2.8000,2.7700,-8.7700,0.85035,0.00297,24,23,-235.1990,-6890.3586,633.8716,0.4998,0.8230,0.8072,-64.6986,-1823.5637,-197.0507,6923.4495
1,loading,10,3.1500,3.1300,-9.1300,1.21555,0.00571,24,24,-275.9081,-7470.3530,801.2613,0.4311,0.7794,0.5143,-105.4076,-2403.5581,-29.6609,7518.2656
1,loading,11,3.5000,3.5000,-9.5000,1.70250,0.00623,23,23,-312.9897,-8086.6094,966.8216,0.5112,0.9633,0.5805,-142.4893,-3019.8146,135.8993,8150.2122
1,unloading,1,3.1500,3.1500,-9.1500,0.88735,0.00304,24,24,-273.4039,-7539.4430,796.9460,0.4661,0.8245,0.5320,-102.9035,-2472.6482,-33.9763,7586.3742
1,unloading,2,2.8000,2.8100,-8.8100,0.53095,0.00274,24,23,-231.6714,-6963.8627,618.9308,0.3565,0.9806,0.6992,-61.1710,-1897.0678,-211.9915,6995.1505
1,unloading,3,2.4500,2.4700,-8.4700,0.31870,0.00304,24,23,-192.2929,-6410.7348,462.0727,0.4955,0.7240,0.9047,-21.7924,-1343.9399,-368.8496,6430.2417
1,unloading,4,2.1000,2.1300,-8.1300,0.17885,0.00178,24,24,-156.9608,-5907.4019,320.8111,0.4215,0.8408,0.6327,13.5396,-840.6070,-510.1112,5918.1884
1,unloading,5,1.7500,1.7900,-7.7900,0.07820,0.00104,23,24,-129.2898,-5437.0704,192.3087,0.4081,0.5734,0.6163,41.2106,-370.2755,-638.6136,5442.0063
1,unloading,6,1.4000,1.4100,-7.4100,0.00150,0.00059,23,24,-103.3710,-4982.3385,60.8627,0.3963,0.7711,0.7176,67.1294,84.4564,-770.0596,4983.7824
1,unloading,7,1.0500,1.0700,-7.0700,-0.03825,0.00178,24,24,-88.0956,-4675.0022,-22.7883,0.5292,0.6505,0.6369,82.4049,391.7927,-853.7106,4675.8877
1,unloading,8,0.7000,0.7300,-6.7300,-0.05800,0.00148,24,23,-94.4870,-4508.1787,-12.7523,0.4783,0.6613,0.6295,76.0135,558.6162,-843.6746,4509.1868
1,unloading,9,0.3500,0.3900,-6.3900,-0.05335,0.00096,24,24,-116.6431,-4534.5186,121.0401,0.4987,0.7815,0.6685,53.8574,532.2763,-709.8821,4537.6332
1,unloading,10,0.0000,0.0500,-6.0500,-0.03655,0.00119,24,24,-137.6280,-4607.3647,264.4245,0.4341,0.5797,0.6164,32.8724,459.4302,-566.4978,4616.9981
