trial,phase,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,B_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,loading,1,0.0000,0.0000,-6.0100,-0.02760,0.00096,24,28,-158.1696,-4783.5514,435.1851,5.4449,123.3786,174.5765,12.3309,283.2435,-395.7372,4805.9097
3,loading,2,0.3500,0.3400,-6.3500,-0.04045,0.00156,24,24,-137.8534,-4638.9163,223.8493,0.4273,1.0442,0.7139,32.6471,427.8785,-607.0729,4646.3595
3,loading,3,0.7000,0.6800,-6.6900,-0.04085,0.00119,24,23,-114.6332,-4577.7113,72.2211,0.4868,0.5623,0.6989,55.8672,489.0836,-758.7012,4579.7159
3,loading,4,1.0500,1.0400,-7.0500,0.01540,0.00074,24,23,-100.6534,-4681.7363,17.5079,0.4390,0.7005,0.8207,69.8470,385.0586,-813.4143,4682.8508
3,loading,5,1.4000,1.3800,-7.3900,0.10395,0.00200,24,24,-109.9069,-4969.8420,73.8095,0.4085,0.6746,0.6542,60.5936,96.9529,-757.1128,4971.6050
3,loading,6,1.7500,1.7400,-7.7500,0.22655,0.00259,24,23,-132.6110,-5372.7799,180.1322,0.5317,0.6333,0.4037,37.8895,-305.9850,-650.7901,5377.4340
3,loading,7,2.1000,2.0800,-8.0900,0.38080,0.00222,23,24,-157.5864,-5836.8354,302.5807,0.4331,0.8734,0.5649,12.9141,-770.0405,-528.3416,5846.7970
3,loading,8,2.4500,2.4200,-8.4300,0.58285,0.00259,24,24,-190.4161,-6359.6302,451.2090,0.4573,0.9757,0.5195,-19.9156,-1292.8353,-379.7133,6378.4594
3,loading,9,2.8000,2.7900,-8.8000,0.85150,0.00193,23,23,-235.1990,-6902.1695,616.5318,0.3890,1.0235,0.6469,-64.6986,-1835.3746,-214.3904,6933.6407
3,loading,10,3.1500,3.1400,-9.1500,1.22290,0.00445,24,24,-276.1084,-7489.6344,784.5232,0.3507,0.8216,0.6975,-105.6080,-2422.8395,-46.3991,7535.6709
3,loading,11,3.5000,3.4900,-9.5000,1.73615,0.00689,24,24,-313.4460,-8101.3273,952.9960,0.3539,1.2811,0.6384,-142.9456,-3034.5324,122.0737,8163.2073
3,unloading,1,3.1500,3.1400,-9.1500,0.90880,0.00289,24,24,-273.9548,-7555.3692,783.5960,0.5510,0.8058,0.5708,-103.4544,-2488.5744,-47.3263,7600.8341
3,unloading,2,2.8000,2.8000,-8.8100,0.54795,0.00289,24,23,-233.1609,-6984.4799,607.5252,0.4955,0.7872,0.7577,-62.6604,-1917.6850,-223.3970,7014.7281
3,unloading,3,2.4500,2.4600,-8.4700,0.33195,0.00341,24,24,-192.8699,-6432.0000,450.6040,0.4661,0.9814,0.6383,-22.3695,-1365.2052,-380.3183,6450.6486
3,unloading,4,2.1000,2.1400,-8.1500,0.18760,0.00193,23,24,-157.2110,-5930.2902,312.4216,0.4657,0.8279,0.8202,13.2894,-863.4953,-518.5006,5940.5946
3,unloading,5,1.7500,1.8000,-7.8100,0.08675,0.00200,24,23,-130.4683,-5464.0283,186.6130,0.6254,0.9382,0.6496,40.0321,-397.2335,-644.3092,5468.7706
3,unloading,6,1.4000,1.4300,-7.4400,0.00595,0.00096,24,24,-104.4979,-5001.5204,55.5793,0.4453,0.6629,0.6329,66.0026,65.2745,-775.3429,5002.9206
3,unloading,7,1.0500,1.0800,-7.0900,-0.03430,0.00133,24,23,-87.9018,-4685.6811,-32.2386,0.5502,0.4744,0.6146,82.5987,381.1138,-863.1609,4686.6164
3,unloading,8,0.7000,-6.1625,0.1525,-0.05650,0.00089,23,24,-92.7784,-4504.0926,-30.5319,0.5261,0.6789,0.6373,77.7221,562.7022,-861.4542,4505.1515
