time_s,session_id,trial,repeat_id,pair_id,state_index,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,nominal_F_target_N,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780512122.768772,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74560,1.80000,1.80000,1.745600,-0.054400,nan,1.4100,1.4100,,-2.0000,0.0000,-1135.2890,9173.6630,5191.3830,-1135.2890,9173.6630,5191.3830,-268.4928,2846.3646,1736.0014,10601.6712,,,
1780512122.769779,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74470,1.80000,1.80000,1.744700,-0.055300,nan,1.4100,1.4100,,-2.0000,0.0006,-1128.0760,9176.6660,5190.4160,-1128.0760,9176.6660,5190.4160,-261.2798,2849.3676,1735.0344,10603.0266,,,
1780512122.773052,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74560,1.80000,1.80000,1.745600,-0.054400,nan,1.4100,1.4100,,-2.0000,0.0009,-1135.2890,9169.4550,5187.5120,-1135.2890,9169.4550,5187.5120,-268.4928,2842.1566,1732.1304,10596.1345,,,
1780512122.861582,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74470,1.80000,1.80000,1.744700,-0.055300,nan,1.4100,1.4100,,-2.0000,0.0048,-1141.2980,9174.2660,5187.5120,-1141.2980,9174.2660,5187.5120,-274.5018,2846.9676,1732.1304,10600.9433,,,
1780512122.950102,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74590,1.80000,1.80000,1.745900,-0.054100,nan,1.4100,1.4100,,-2.0000,0.0931,-1132.2830,9176.6660,5189.4480,-1132.2830,9176.6660,5189.4480,-265.4868,2849.3676,1734.0664,10603.0012,,,
1780512123.038292,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74520,1.80000,1.80000,1.745200,-0.054800,nan,1.4100,1.4100,,-2.0000,0.1817,-1137.0910,9177.8710,5193.3200,-1137.0910,9177.8710,5193.3200,-270.2948,2850.5726,1737.9384,10606.4539,,,
1780512123.126712,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74400,1.80000,1.80000,1.744000,-0.056000,nan,1.4100,1.4100,,-2.0000,0.2701,-1134.6870,9177.2640,5186.5440,-1134.6870,9177.2640,5186.5440,-267.8908,2849.9656,1731.1624,10602.3548,,,
1780512123.215576,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74470,1.80000,1.80000,1.744700,-0.055300,nan,1.4100,1.4100,,-2.0000,0.3582,-1133.4850,9177.2640,5191.3830,-1133.4850,9177.2640,5191.3830,-266.6888,2849.9656,1736.0014,10604.5943,,,
1780512123.303880,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74390,1.80000,1.80000,1.743900,-0.056100,nan,1.4100,1.4100,,-2.0000,0.4470,-1138.2930,9173.0610,5187.5120,-1138.2930,9173.0610,5187.5120,-271.4968,2845.7626,1732.1304,10599.5773,,,
1780512123.392451,session_20260603_143946,1,1,1,1,O_blind,blind_01_loading,holding,blind_force_path_state,direct_loading,180,1.80000,1.74430,1.80000,1.80000,1.744300,-0.055700,nan,1.4100,1.4100,,-2.0000,0.5351,-1133.4850,9178.4690,5191.3830,-1133.4850,9178.4690,5191.3830,-266.6888,2851.1706,1736.0014,10605.6371,,,
