pc_time_s,t_ms,status,Bx,By,Bz
1780330366.7550993,510173,,-14423.0,42069.0,38720.0
1780330366.767257,510182,,-8414.0,45675.0,38720.0
1780330366.7762575,510196,,-14423.0,43872.0,37752.0
1780330366.7857618,510206,,-14423.0,40867.0,47432.0
1780330366.7947621,510213,,-8414.0,42069.0,36783.0
1780330366.8037508,510223,,-13221.0,42670.0,38720.0
1780330366.817093,510233,,-19832.0,41468.0,38720.0
1780330366.8266058,510246,,-13822.0,40266.0,45496.0
1780330366.8352308,510254,,-14423.0,42069.0,40656.0
1780330366.8437493,510263,,-12620.0,38463.0,47432.0
1780330366.85276,510273,,-10817.0,40867.0,44528.0
1780330366.8664312,510282,,-15024.0,42670.0,41624.0
1780330366.8759465,510294,,-11418.0,38463.0,38720.0
1780330366.8849483,510304,,-17428.0,36059.0,38720.0
1780330366.893948,510313,,-10817.0,43271.0,31944.0
1780330366.9024343,510321,,-14423.0,44473.0,53239.0
1780330366.9155283,510331,,-9615.0,42670.0,43559.0
1780330366.925018,510344,,-13221.0,39065.0,36783.0
1780330366.9339232,510352,,-10817.0,39665.0,44528.0
1780330366.9429324,510361,,-12620.0,41468.0,34848.0
1780330366.951943,510371,,-10216.0,43872.0,37752.0
1780330366.9649575,510378,,-9615.0,40867.0,44528.0
1780330366.974575,510392,,-9014.0,41468.0,46464.0
1780330366.9830828,510402,,-10817.0,45074.0,35816.0
1780330366.9922595,510411,,-9014.0,40867.0,43559.0
1780330367.0014317,510419,,-13822.0,40867.0,43559.0
1780330367.015099,510429,,-13822.0,45675.0,30976.0
1780330367.024099,510442,,-9615.0,45074.0,43559.0
1780330367.0326092,510452,,-7211.0,40266.0,44528.0
1780330367.0412538,510459,,-12620.0,37862.0,40656.0
1780330367.050264,510469,,-10817.0,41468.0,41624.0
1780330367.0637836,510477,,-7211.0,39665.0,42592.0
1780330367.0732784,510492,,-14423.0,43271.0,31944.0
1780330367.0821106,510500,,-12620.0,43872.0,40656.0
1780330367.09111,510508,,-17428.0,43872.0,36783.0
1780330367.1005912,510517,,-15625.0,47479.0,37752.0
1780330367.1131122,510527,,-9615.0,38463.0,43559.0
1780330367.122422,510541,,-16226.0,44473.0,48400.0
1780330367.131421,510548,,-15625.0,42670.0,41624.0
1780330367.1405253,510557,,-10817.0,43872.0,41624.0
1780330367.1495352,510567,,-13221.0,45675.0,38720.0
1780330367.1622736,510576,,-17428.0,38463.0,37752.0
1780330367.1712828,510588,,-10817.0,44473.0,42592.0
1780330367.180583,510597,,-12019.0,43872.0,51304.0
1780330367.189866,510607,,-4207.0,41468.0,46464.0
1780330367.199369,510617,,-13822.0,40266.0,41624.0
1780330367.2123933,510625,,-8414.0,40266.0,41624.0
1780330367.2214139,510638,,-12620.0,42069.0,41624.0
1780330367.2297556,510648,,-11418.0,41468.0,43559.0
1780330367.2390816,510657,,-10216.0,45675.0,32912.0
1780330367.2480826,510666,,-15024.0,43271.0,37752.0
1780330367.2616622,510673,,-12620.0,36660.0,44528.0
1780330367.2702487,510688,,-9615.0,42670.0,43559.0
1780330367.2797515,510696,,-15625.0,42069.0,39688.0
1780330367.2880814,510706,,-10216.0,35458.0,45496.0
1780330367.2972503,510713,,-15625.0,44473.0,46464.0
1780330367.310422,510722,,-7812.0,43872.0,37752.0
1780330367.3206234,510736,,-17428.0,39665.0,39688.0
1780330367.3287463,510746,,-9014.0,42069.0,42592.0
1780330367.337747,510753,,-17428.0,40867.0,48400.0
1780330367.3467555,510763,,-19231.0,39065.0,35816.0
1780330367.3597472,510772,,-9615.0,41468.0,35816.0
1780330367.369259,510786,,-12019.0,39065.0,42592.0
1780330367.378389,510793,,-13822.0,41468.0,39688.0
1780330367.386918,510803,,-12620.0,43271.0,42592.0
1780330367.3964202,510813,,-10817.0,45074.0,39688.0
1780330367.4085875,510821,,-9615.0,44473.0,41624.0
1780330367.418733,510834,,-7211.0,44473.0,42592.0
1780330367.4274137,510844,,-10216.0,42670.0,41624.0
1780330367.4359176,510852,,-15024.0,41468.0,39688.0
1780330367.4449234,510861,,-13221.0,42670.0,37752.0
1780330367.4589193,510871,,-9014.0,46276.0,44528.0
