pc_time_s,t_ms,status,Bx,By,Bz
1778793979.307604,7946202,,1452750.0,-3912899.0,6315234.0
1778793979.37359,7946269,,1453650.0,-3913050.0,6308698.0
1778793979.439397,7946335,,1446449.0,-3910200.0,6309424.0
1778793979.5053241,7946400,,1448550.0,-3911850.0,6308213.0
1778793979.5759182,7946469,,1447949.0,-3911399.0,6300229.0
1778793979.641848,7946536,,1451250.0,-3913350.0,6303375.0
1778793979.707996,7946600,,1455000.0,-3916350.0,6313055.0
1778793979.7739289,7946666,,1451400.0,-3919649.0,6321522.0
1778793979.8398662,7946735,,1453650.0,-3917850.0,6314749.0
1778793979.910534,7946802,,1454400.0,-3917399.0,6307005.0
1778793979.976251,7946866,,1449000.0,-3919200.0,6322008.0
1778793980.042374,7946933,,1452300.0,-3916500.0,6319346.0
1778793980.108284,7946999,,1446900.0,-3913200.0,6316927.0
1778793980.178902,7947071,,1454250.0,-3917100.0,6323703.0
1778793980.244807,7947133,,1455449.0,-3912300.0,6318135.0
1778793980.31081,7947200,,1455600.0,-3920100.0,6314506.0
1778793980.376727,7947264,,1457699.0,-3915450.0,6307247.0
1778793980.4425988,7947330,,1451400.0,-3917100.0,6318135.0
1778793980.513408,7947402,,1458750.0,-3919800.0,6315472.0
1778793980.579363,7947469,,1455300.0,-3913800.0,6316200.0
1778793980.645364,7947533,,1454550.0,-3919350.0,6318135.0
1778793980.711278,7947599,,1457850.0,-3916649.0,6322008.0
1778793980.7818081,7947663,,1458600.0,-3918600.0,6315717.0
1778793980.84775,7947735,,1458449.0,-3917850.0,6310632.0
1778793980.9138,7947799,,1459650.0,-3920700.0,6325399.0
1778793980.9797351,7947866,,1459199.0,-3918750.0,6325157.0
1778793981.045634,7947928,,1463699.0,-3917100.0,6306520.0
1778793981.1163871,7948000,,1454850.0,-3914700.0,6314506.0
1778793981.182365,7948066,,1456949.0,-3918300.0,6318863.0
1778793981.2483609,7948133,,1458449.0,-3912149.0,6317895.0
1778793981.314209,7948199,,1457250.0,-3914700.0,6314749.0
1778793981.380138,7948263,,1457550.0,-3925350.0,6327090.0
1778793981.4506502,7948333,,1461300.0,-3921000.0,6322008.0
1778793981.516536,7948399,,1459650.0,-3921899.0,6323703.0
1778793981.582473,7948463,,1460550.0,-3919800.0,6314991.0
1778793981.648641,7948530,,1459500.0,-3910350.0,6304584.0
1778793981.7191942,7948600,,1456949.0,-3920100.0,6310151.0
1778793981.785035,7948664,,1458000.0,-3921750.0,6326607.0
1778793981.8511071,7948730,,1461600.0,-3922050.0,6320314.0
1778793981.916878,7948797,,1452300.0,-3916800.0,6298533.0
1778793981.9827762,7948863,,1458600.0,-3914550.0,6308941.0
1778793982.053665,7948933,,1456500.0,-3913500.0,6325399.0
1778793982.119626,7948999,,1462199.0,-3923100.0,6324186.0
1778793982.185515,7949063,,1455150.0,-3919200.0,6326848.0
1778793982.251468,7949130,,1447949.0,-3916950.0,6321765.0
1778793982.321915,7949194,,1456949.0,-3918450.0,6318863.0
1778793982.387815,7949264,,1464900.0,-3921450.0,6323944.0
1778793982.453793,7949330,,1453800.0,-3914850.0,6320072.0
1778793982.519701,7949394,,1455750.0,-3910800.0,6307970.0
1778793982.585645,7949461,,1457400.0,-3919050.0,6321039.0
1778793982.656283,7949530,,1458600.0,-3914250.0,6312328.0
1778793982.722146,7949597,,1458000.0,-3913050.0,6312328.0
1778793982.788172,7949663,,1457550.0,-3919649.0,6317653.0
1778793982.854201,7949727,,1457699.0,-3919350.0,6326607.0
1778793982.92008,7949794,,1458150.0,-3913800.0,6299261.0
1778793982.9908328,7949864,,1457400.0,-3917700.0,6323461.0
1778793983.056709,7949928,,1455600.0,-3921149.0,6320314.0
1778793983.122646,7949994,,1450350.0,-3915899.0,6313781.0
1778793983.188568,7950063,,1459800.0,-3925350.0,6320314.0
1778793983.259237,7950130,,1455150.0,-3923250.0,6313781.0
1778793983.3250802,7950199,,1456199.0,-3917550.0,6320314.0
1778793983.391053,7950263,,1455900.0,-3920850.0,6315959.0
1778793983.4569118,7950327,,1458150.0,-3912450.0,6300952.0
1778793983.522864,7950392,,1455300.0,-3911399.0,6305071.0
1778793983.5936031,7950463,,1455600.0,-3911399.0,6308455.0
1778793983.6595578,7950530,,1460400.0,-3914850.0,6309909.0
1778793983.7255528,7950594,,1457100.0,-3912149.0,6305312.0
1778793983.7914581,7950658,,1454699.0,-3918000.0,6313296.0
1778793983.861964,7950727,,1454400.0,-3914550.0,6312328.0
1778793983.9279191,7950797,,1452150.0,-3922500.0,6330719.0
1778793983.9938822,7950863,,1461600.0,-3915000.0,6314991.0
1778793984.059829,7950927,,1457250.0,-3926550.0,6327575.0
1778793984.12573,7950992,,1453800.0,-3914550.0,6317410.0
1778793984.196615,7951063,,1456350.0,-3915000.0,6314264.0
1778793984.2624362,7951127,,1453949.0,-3914250.0,6314023.0
1778793984.328452,7951194,,1455750.0,-3918149.0,6320554.0
1778793984.39434,7951258,,1456800.0,-3911550.0,6309909.0
1778793984.4602602,7951325,,1451699.0,-3918149.0,6316442.0
1778793984.530894,7951394,,1453500.0,-3914399.0,6309909.0
1778793984.596766,7951461,,1455300.0,-3911700.0,6309909.0
1778793984.6627269,7951527,,1453350.0,-3913800.0,6319104.0
1778793984.728639,7951591,,1453050.0,-3914399.0,6303858.0
1778793984.799284,7951661,,1450650.0,-3910950.0,6311117.0
1778793984.865174,7951727,,1452000.0,-3913649.0,6310392.0
1778793984.931193,7951791,,1452600.0,-3911399.0,6301437.0
1778793984.9971042,7951858,,1454400.0,-3917850.0,6322008.0
1778793985.062857,7951925,,1458000.0,-3911850.0,6305552.0
1778793985.1336908,7951994,,1452300.0,-3920100.0,6310874.0
1778793985.1996832,7952058,,1454100.0,-3919050.0,6310874.0
1778793985.265683,7952125,,1457250.0,-3911250.0,6312087.0
1778793985.331557,7952192,,1453500.0,-3915600.0,6313538.0
1778793985.402072,7952256,,1455750.0,-3915899.0,6321280.0
1778793985.4680882,7952327,,1455900.0,-3916800.0,6316442.0
1778793985.534011,7952391,,1459650.0,-3916050.0,6312087.0
1778793985.59995,7952458,,1455449.0,-3918300.0,6314991.0
1778793985.6658041,7952522,,1449750.0,-3915000.0,6313055.0
1778793985.736585,7952592,,1450800.0,-3912750.0,6307488.0
1778793985.802637,7952658,,1454550.0,-3915450.0,6312328.0
1778793985.868665,7952727,,1456949.0,-3918300.0,6318135.0
1778793985.93435,7952789,,1449600.0,-3920850.0,6316442.0
1778793986.0002959,7952856,,1450800.0,-3916200.0,6314264.0
1778793986.070944,7952927,,1454100.0,-3914550.0,6306279.0
1778793986.136848,7952991,,1453050.0,-3913950.0,6298048.0
1778793986.202732,7953056,,1452449.0,-3914700.0,6311359.0
1778793986.268667,7953122,,1452000.0,-3913200.0,6306037.0
1778793986.3392751,7953194,,1454699.0,-3917700.0,6310392.0
1778793986.4051352,7953258,,1454250.0,-3915899.0,6311117.0
1778793986.4711308,7953325,,1452300.0,-3915600.0,6306520.0
1778793986.536997,7953391,,1451550.0,-3915450.0,6313781.0
1778793986.602931,7953453,,1449600.0,-3919350.0,6317410.0
1778793986.6736798,7953527,,1452900.0,-3921300.0,6323218.0
1778793986.739614,7953591,,1455750.0,-3919649.0,6310151.0
1778793986.805486,7953656,,1458000.0,-3913950.0,6311600.0
1778793986.871459,7953720,,1454100.0,-3915899.0,6319831.0
1778793986.941984,7953789,,1453800.0,-3912899.0,6318863.0
1778793987.007949,7953858,,1449300.0,-3911100.0,6302407.0
1778793987.073924,7953922,,1450350.0,-3918000.0,6321280.0
1778793987.139818,7953989,,1458449.0,-3917850.0,6312813.0
1778793987.2057312,7954055,,1448400.0,-3918300.0,6315234.0
1778793987.276664,7954125,,1449150.0,-3915750.0,6313781.0
1778793987.342371,7954191,,1453800.0,-3915899.0,6312087.0
1778793987.408444,7954255,,1456199.0,-3914850.0,6319831.0
1778793987.474299,7954320,,1452300.0,-3920399.0,6320072.0
