pc_time_s,t_ms,status,Bx,By,Bz
1778768085.664027,9003,,12000.0,-90300.0,-96074.0
1778768085.729811,9070,,12750.0,-90449.0,-95348.0
1778768085.800289,9139,,13050.0,-89699.0,-96800.0
1778768085.866094,9204,,12600.0,-90300.0,-95832.0
1778768085.931974,9271,,12600.0,-89699.0,-96557.0
1778768085.997833,9335,,12450.0,-90150.0,-95590.0
1778768086.068201,9402,,12450.0,-89550.0,-96074.0
1778768086.133947,9472,,12899.0,-89850.0,-95105.0
1778768086.1998131,9536,,12899.0,-90000.0,-95590.0
1778768086.2657259,9603,,13050.0,-90300.0,-95348.0
1778768086.3314502,9667,,12600.0,-90000.0,-96800.0
1778768086.402087,9738,,13050.0,-89850.0,-96557.0
1778768086.46805,9804,,12899.0,-90000.0,-95832.0
1778768086.533835,9868,,12750.0,-89850.0,-95832.0
1778768086.5996711,9935,,12899.0,-89850.0,-96074.0
1778768086.665421,10000,,12750.0,-89400.0,-96074.0
1778768086.7359,10070,,12600.0,-91050.0,-96315.0
1778768086.80175,10135,,12450.0,-89850.0,-95832.0
1778768086.867384,10200,,13350.0,-88800.0,-95832.0
1778768086.933373,10266,,13800.0,-90150.0,-96315.0
1778768087.00368,10332,,12750.0,-89400.0,-95105.0
1778768087.0695739,10402,,12000.0,-89850.0,-96074.0
1778768087.135432,10467,,12750.0,-89850.0,-95105.0
1778768087.201507,10532,,12149.0,-90900.0,-95105.0
1778768087.266999,10598,,12450.0,-90000.0,-95590.0
1778768087.337676,10667,,12750.0,-89550.0,-94864.0
1778768087.403405,10734,,13050.0,-89699.0,-95590.0
1778768087.4694521,10799,,13649.0,-90000.0,-96074.0
1778768087.535129,10865,,13500.0,-90000.0,-95832.0
1778768087.600859,10930,,12149.0,-89400.0,-96074.0
1778768087.6714082,11000,,12750.0,-89850.0,-95590.0
1778768087.73718,11065,,13350.0,-90750.0,-96800.0
1778768087.802958,11131,,13200.0,-90600.0,-95590.0
1778768087.8688052,11197,,12899.0,-89850.0,-95348.0
1778768087.9391081,11262,,13350.0,-89400.0,-95105.0
1778768088.004993,11332,,12750.0,-89699.0,-96800.0
1778768088.070889,11398,,12300.0,-89850.0,-95590.0
1778768088.136771,11463,,13350.0,-90300.0,-95832.0
