pc_time_s,t_ms,status,Bx,By,Bz
1778603159.464843,75969,,-37.5,17.1,10.164
1778603159.700591,76203,,-37.5,17.1,10.406
1778603159.9313579,76433,,-38.1,16.8,10.406
1778603160.1625001,76662,,-37.95,17.4,10.89
1778603160.393574,76891,,-37.8,16.95,10.89
1778603160.625118,77121,,-37.8,16.95,10.164
1778603160.856791,77350,,-37.8,17.1,11.616
1778603161.087809,77580,,-37.95,16.95,10.648
1778603161.323586,77815,,-38.1,16.8,10.648
1778603161.554548,78045,,-37.5,17.25,10.648
1778603161.786331,78274,,-37.5,16.65,10.648
1778603162.016753,78503,,-37.65,16.95,10.89
1778603162.24777,78732,,-37.65,16.8,10.648
1778603162.479433,78962,,-37.8,17.1,10.648
1778603162.715093,79197,,-37.35,17.1,10.406
1778603162.946236,79426,,-37.5,16.95,11.132
1778603163.177647,79656,,-37.8,16.95,10.164
1778603163.408886,79886,,-37.95,17.1,10.164
1778603163.63988,80115,,-37.95,17.4,10.89
1778603163.870774,80345,,-37.35,17.25,10.406
1778603164.106551,80574,,-37.65,16.95,10.406
1778603164.337049,80808,,-37.65,16.95,10.89
1778603164.5680408,81037,,-37.65,17.25,11.132
1778603164.799571,81266,,-37.5,17.1,9.922
1778603165.030072,81496,,-39.15,6.0,8.47
1778603165.2614028,81725,,-41.7,14.7,5.566
1778603165.491773,81955,,-34.2,21.3,12.1
1778603165.7275789,82189,,-47.25,46.35,-11.132
1778603165.9589949,82419,,-16.65,41.1,-26.378
1778603166.1904042,82648,,4.05,33.3,-30.008
1778603166.4215848,82878,,5.4,26.55,-33.396
1778603166.6524138,83107,,1.05,13.2,-35.09
1778603166.883672,83337,,7.65,1.95,-34.606
1778603167.1195679,83566,,9.75,1.8,-34.606
1778603167.350389,83801,,9.9,1.2,-34.364
1778603167.581763,84031,,9.9,1.8,-34.606
1778603167.8132632,84261,,10.2,-1.65,-32.67
1778603168.04454,84491,,9.15,-8.1,-29.524
1778603168.275168,84721,,6.75,-12.6,-28.314
1778603168.50626,84950,,7.2,-19.2,-24.684
1778603168.742966,85184,,20.4,-21.15,-18.392
1778603168.9737751,85414,,29.25,-13.8,-12.584
1778603169.204758,85643,,31.05,-10.05,-8.954
1778603169.436141,85873,,32.7,-8.7,-9.196
1778603169.66837,86102,,33.3,-8.7,-16.456
1778603169.8991098,86334,,33.6,-1.5,-34.848
1778603170.135392,86568,,15.45,8.85,-35.574
1778603170.366904,86799,,-2.55,16.05,-32.186
1778603170.597698,87028,,-12.3,20.25,-30.008
1778603170.828632,87258,,-14.85,21.6,-30.976
1778603171.059455,87487,,-10.5,19.8,-33.154
1778603171.290714,87717,,1.65,-3.15,-32.186
1778603171.5219991,87946,,23.25,-9.0,-16.456
1778603171.757893,88181,,28.35,-5.1,-12.584
1778603171.988799,88411,,28.35,-7.95,-20.812
1778603172.21982,88641,,21.0,-10.5,-32.186
1778603172.4511712,88870,,0.9,6.0,-31.218
1778603172.682,89099,,-10.5,32.85,-27.104
1778603172.913352,89329,,-9.9,36.3,-28.314
1778603173.149027,89563,,-6.9,26.4,-30.25
1778603173.380794,89793,,-4.2,-7.35,-29.524
1778603173.6116931,90023,,15.75,-13.5,-16.698
1778603173.843101,90253,,22.8,-10.5,-16.456
1778603174.073993,90482,,18.45,-16.2,-28.314
1778603174.305349,90711,,-5.55,11.85,-31.218
1778603174.540736,90941,,-10.05,26.25,-30.492
1778603174.77216,91176,,-14.1,28.65,-25.652
1778603175.003602,91406,,-21.15,42.15,-10.406
1778603175.234663,91636,,-26.85,45.6,13.552
1778603175.465395,91865,,-33.0,44.25,5.324
1778603175.696394,92095,,-35.1,46.65,26.378
1778603175.928354,92324,,-37.8,51.3,23.716
1778603176.164472,92559,,-29.55,60.75,23.232
1778603176.395107,92788,,-29.25,62.7,22.99
1778603176.625646,93017,,-28.8,63.15,22.99
1778603176.856948,93247,,-28.2,63.6,23.232
