# HX711 + DYLY-103 calibration
# timestamp: 2026-05-25T11:02:24
# port: COM7
# TARE_OFFSET = 146567
# tare_std_counts = 135.86
# CALIBRATION_FACTOR = 89619.3991
# R2 = 0.999999
mass_g,F_N,mean_raw,std_raw,delta_raw
1.3,0.0127,147945.1,106.5,+1378.1
8.6,0.0843,154271.1,141.1,+7704.1
64.4,0.6315,203026.5,98.7,+56459.5
100.0,0.9807,234800.7,109.2,+88233.7
255.9,2.5095,371364.3,115.4,+224797.3
364.4,3.5735,466849.4,108.8,+320282.4
518.6,5.0857,602329.3,102.6,+455762.3
