trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,200,holding,force_hold,2.00000,1.992100,-0.007900,4.7300,-8.7300,0.0000,none,4.7300,0.0000,701.9670,-2157.5890,8506.7830,122.4458,-3519.6044,4005.2965,8804.1641
1,200,holding,force_hold,2.00000,1.990300,-0.009700,4.7300,-8.7300,0.0508,none,4.7300,0.0000,705.5730,-2155.7860,8510.6560,126.0518,-3517.8014,4009.1695,8807.7530
1,200,holding,force_hold,2.00000,1.989200,-0.010800,4.7300,-8.7300,0.1385,none,4.7300,0.0000,704.9720,-2157.5890,8512.5920,125.4508,-3519.6044,4011.1055,8810.0169
1,200,holding,force_hold,2.00000,1.990500,-0.009500,4.7300,-8.7300,0.2265,none,4.7300,0.0000,704.3720,-2159.3910,8514.5280,124.8508,-3521.4064,4013.0415,8812.2810
1,200,holding,force_hold,2.00000,1.989800,-0.010200,4.7300,-8.7300,0.3144,none,4.7300,0.0000,701.9670,-2156.9880,8512.5920,122.4458,-3519.0034,4011.1055,8809.6298
1,200,holding,force_hold,2.00000,1.991500,-0.008500,4.7300,-8.7300,0.4023,none,4.7300,0.0000,703.1690,-2155.7860,8499.0400,123.6478,-3517.8014,3997.5535,8796.3368
1,200,holding,force_hold,2.00000,1.990700,-0.009300,4.7300,-8.7300,0.4901,none,4.7300,0.0000,704.9720,-2152.7810,8509.6900,125.4508,-3514.7964,4008.2035,8806.0363
1,200,holding,force_hold,2.00000,1.989600,-0.010400,4.7300,-8.7300,0.5782,none,4.7300,0.0000,704.9720,-2159.9930,8511.6260,125.4508,-3522.0084,4010.1395,8809.6727
1,200,holding,force_hold,2.00000,1.990000,-0.010000,4.7300,-8.7300,0.6662,none,4.7300,0.0000,703.7700,-2152.1790,8505.8180,124.2488,-3514.1944,4004.3315,8802.0513
1,200,holding,force_hold,2.00000,1.989300,-0.010700,4.7300,-8.7300,0.7547,none,4.7300,0.0000,704.9720,-2155.1840,8508.7190,125.4508,-3517.1994,4007.2325,8805.6858
1,200,holding,force_hold,2.00000,1.988900,-0.011100,4.7300,-8.7300,0.8421,none,4.7300,0.0000,700.1650,-2156.9880,8506.7830,120.6438,-3519.0034,4005.2965,8803.8733
1,200,holding,force_hold,2.00000,1.989400,-0.010600,4.7300,-8.7300,0.9301,none,4.7300,0.0000,705.5730,-2153.3820,8506.7830,126.0518,-3515.3974,4005.2965,8803.4223
1,200,holding,force_hold,2.00000,1.989500,-0.010500,4.7300,-8.7300,1.0180,none,4.7300,0.0000,708.5780,-2156.9880,8513.5620,129.0568,-3519.0034,4012.0755,8811.0963
1,200,holding,force_hold,2.00000,1.989300,-0.010700,4.7300,-8.7300,1.1060,none,4.7300,0.0000,704.9720,-2157.5890,8499.0400,125.4508,-3519.6044,3997.5535,8796.9231
1,200,holding,force_hold,2.00000,1.990800,-0.009200,4.7300,-8.7300,1.1939,none,4.7300,0.0000,701.9670,-2156.9880,8509.6900,122.4458,-3519.0034,4008.2035,8806.8257
1,200,holding,force_hold,2.00000,1.990200,-0.009800,4.7300,-8.7300,1.2819,none,4.7300,0.0000,704.3720,-2156.3860,8511.6260,124.8508,-3518.4014,4010.1395,8808.7410
1,200,holding,force_hold,2.00000,1.988500,-0.011500,4.7300,-8.7300,1.3697,none,4.7300,0.0000,706.7750,-2156.9880,8506.7830,127.2538,-3519.0034,4005.2965,8804.4015
1,200,holding,force_hold,2.00000,1.987600,-0.012400,4.7300,-8.7300,1.4576,none,4.7300,0.0000,705.5730,-2159.9930,8518.4000,126.0518,-3522.0084,4016.9135,8816.2657
1,200,holding,force_hold,2.00000,1.988200,-0.011800,4.7300,-8.7300,1.5463,none,4.7300,0.0000,706.7750,-2156.9880,8505.8180,127.2538,-3519.0034,4004.3315,8803.4691
1,200,holding,force_hold,2.00000,1.990500,-0.009500,4.7300,-8.7300,1.6335,none,4.7300,0.0000,701.9670,-2155.7860,8507.7490,122.4458,-3517.8014,4006.2625,8804.6558
1,200,holding,force_hold,2.00000,1.989800,-0.010200,4.7300,-8.7300,1.7214,none,4.7300,0.0000,709.1790,-2156.3860,8508.7190,129.6578,-3518.4014,4007.2325,8806.3179
1,200,holding,force_hold,2.00000,1.988600,-0.011400,4.7300,-8.7300,1.8094,none,4.7300,0.0000,706.1740,-2160.5930,8515.4980,126.6528,-3522.6084,4014.0115,8813.6570
1,200,holding,force_hold,2.00000,1.989600,-0.010400,4.7300,-8.7300,1.8974,none,4.7300,0.0000,704.9720,-2151.5790,8503.8820,125.4508,-3513.5944,4002.3955,8800.1299
1,200,holding,force_hold,2.00000,1.989600,-0.010400,4.7300,-8.7300,1.9854,none,4.7300,0.0000,711.5830,-2156.3860,8513.5620,132.0618,-3518.4014,4012.0755,8811.1911
1,200,holding,force_hold,2.00000,1.988500,-0.011500,4.7300,-8.7300,2.0734,none,4.7300,0.0000,703.7700,-2158.1910,8508.7190,124.2488,-3520.2064,4007.2325,8806.3261
1,200,holding,force_hold,2.00000,1.987700,-0.012300,4.7300,-8.7300,2.1613,none,4.7300,0.0000,698.3610,-2159.3910,8509.6900,118.8398,-3521.4064,4008.2035,8807.1279
1,200,holding,force_hold,2.00000,1.985700,-0.014300,4.7300,-8.7300,2.2493,none,4.7300,0.0000,705.5730,-2156.3860,8507.7490,126.0518,-3518.4014,4006.2625,8805.0910
1,200,holding,force_hold,2.00000,1.986900,-0.013100,4.7300,-8.7300,2.3374,none,4.7300,0.0000,701.3660,-2152.7810,8506.7830,121.8448,-3514.7964,4005.2965,8802.9391
1,200,holding,force_hold,2.00000,1.990300,-0.009700,4.7300,-8.7300,2.4252,none,4.7300,0.0000,710.3810,-2157.5890,8505.8180,130.8598,-3519.6044,4004.3315,8803.9066
1,200,holding,force_hold,2.00000,1.989100,-0.010900,4.7300,-8.7300,2.5131,none,4.7300,0.0000,703.7700,-2154.5840,8509.6900,124.2488,-3516.5994,4008.2035,8806.3811
1,200,holding,force_hold,2.00000,1.989400,-0.010600,4.7300,-8.7300,2.6013,none,4.7300,0.0000,707.3760,-2154.5840,8507.7490,127.8548,-3516.5994,4006.2625,8804.7945
1,200,holding,force_hold,2.00000,1.988400,-0.011600,4.7300,-8.7300,2.6890,none,4.7300,0.0000,701.3660,-2157.5890,8512.5920,121.8448,-3519.6044,4011.1055,8809.7291
1,200,holding,force_hold,2.00000,1.987300,-0.012700,4.7300,-8.7300,2.7771,none,4.7300,0.0000,706.1740,-2161.7960,8509.6900,126.6528,-3523.8114,4008.2035,8808.3408
1,200,holding,force_hold,2.00000,1.988700,-0.011300,4.7300,-8.7300,2.8649,none,4.7300,0.0000,707.3760,-2159.3910,8509.6900,127.8548,-3521.4064,4008.2035,8807.8473
1,200,holding,force_hold,2.00000,1.989200,-0.010800,4.7300,-8.7300,2.9528,none,4.7300,0.0000,709.1790,-2154.5840,8515.4980,129.6578,-3516.5994,4014.0115,8812.4272
1,200,holding,force_hold,2.00000,1.988500,-0.011500,4.7300,-8.7300,3.0407,none,4.7300,0.0000,707.3760,-2156.9880,8510.6560,127.8548,-3519.0034,4009.1695,8808.1918
1,200,holding,force_hold,2.00000,1.989600,-0.010400,4.7300,-8.7300,3.1285,none,4.7300,0.0000,706.7750,-2150.9790,8507.7490,127.2538,-3512.9944,4006.2625,8803.8648
1,200,holding,force_hold,2.00000,1.989200,-0.010800,4.7300,-8.7300,3.2166,none,4.7300,0.0000,704.3720,-2158.7910,8512.5920,124.8508,-3520.8064,4011.1055,8810.2634
1,200,holding,force_hold,2.00000,1.987300,-0.012700,4.7300,-8.7300,3.3045,none,4.7300,0.0000,702.5680,-2160.5930,8515.4980,123.0468,-3522.6084,4014.0115,8813.3688
1,200,holding,force_hold,2.00000,1.988600,-0.011400,4.7300,-8.7300,3.3926,none,4.7300,0.0000,704.9720,-2157.5890,8511.6260,125.4508,-3519.6044,4010.1395,8809.0835
1,200,holding,force_hold,2.00000,1.988100,-0.011900,4.7300,-8.7300,3.4804,none,4.7300,0.0000,706.1740,-2155.1840,8502.9110,126.6528,-3517.1994,4001.4245,8800.1702
1,200,holding,force_hold,2.00000,1.989300,-0.010700,4.7300,-8.7300,3.5687,none,4.7300,0.0000,704.9720,-2155.1840,8507.7490,125.4508,-3517.1994,4006.2625,8804.7485
1,200,holding,force_hold,2.00000,1.986900,-0.013100,4.7300,-8.7300,3.6571,none,4.7300,0.0000,703.1690,-2159.3910,8521.3060,123.6478,-3521.4064,4019.8195,8818.7342
1,200,holding,force_hold,2.00000,1.985500,-0.014500,4.7300,-8.7300,3.7443,none,4.7300,0.0000,704.3720,-2157.5890,8506.7830,124.8508,-3519.6044,4005.2965,8804.3562
1,200,holding,force_hold,2.00000,1.985500,-0.014500,4.7300,-8.7300,3.8325,none,4.7300,0.0000,704.9720,-2155.7860,8505.8180,125.4508,-3517.8014,4004.3315,8803.0301
1,200,holding,force_hold,2.00000,1.988200,-0.011800,4.7300,-8.7300,3.9202,none,4.7300,0.0000,707.9770,-2155.7860,8513.5620,128.4558,-3517.8014,4012.0755,8810.7538
1,200,holding,force_hold,2.00000,1.987800,-0.012200,4.7300,-8.7300,4.0084,none,4.7300,0.0000,706.1740,-2162.3980,8506.7830,126.6528,-3524.4134,4005.2965,8805.6802
1,200,holding,force_hold,2.00000,1.988100,-0.011900,4.7300,-8.7300,4.0961,none,4.7300,0.0000,704.3720,-2159.9930,8510.6560,124.8508,-3522.0084,4009.1695,8808.6875
1,200,holding,force_hold,2.00000,1.987500,-0.012500,4.7300,-8.7300,4.1840,none,4.7300,0.0000,703.1690,-2158.7910,8511.6260,123.6478,-3520.8064,4010.1395,8809.2339
1,200,holding,force_hold,2.00000,1.988200,-0.011800,4.7300,-8.7300,4.2719,none,4.7300,0.0000,705.5730,-2157.5890,8509.6900,126.0518,-3519.6044,4008.2035,8807.2611
1,200,holding,force_hold,2.00000,1.987300,-0.012700,4.7300,-8.7300,4.3601,none,4.7300,0.0000,707.3760,-2160.5930,8517.4340,127.8548,-3522.6084,4015.9475,8815.6239
1,200,holding,force_hold,2.00000,1.985200,-0.014800,4.7300,-8.7300,4.4479,none,4.7300,0.0000,706.1740,-2155.1840,8511.6260,126.6528,-3517.1994,4010.1395,8808.5911
