trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,150,holding,force_hold,1.50000,1.430000,-0.070000,4.1300,-8.1300,0.0000,down,4.1500,-0.0200,680.9320,-1086.6070,7491.3510,101.4108,-2448.6224,2989.8645,7600.3107
1,150,holding,force_hold,1.50000,1.427900,-0.072100,4.1500,-8.1500,4.1979,down,4.1900,-0.0400,684.5390,-1084.8040,7484.5760,105.0178,-2446.8194,2983.0895,7593.6994
1,150,holding,force_hold,1.50000,1.427600,-0.072400,4.1900,-8.1900,8.3250,down,4.2300,-0.0400,683.3360,-1086.6070,7483.6080,103.8148,-2448.6224,2982.1215,7592.8948
1,150,holding,force_hold,1.50000,1.427800,-0.072200,4.2300,-8.2300,12.4835,down,4.2600,-0.0300,680.3320,-1083.0010,7492.3200,100.8108,-2445.0164,2990.8335,7600.6975
1,150,holding,force_hold,1.50000,1.428400,-0.071600,4.2600,-8.2600,16.6380,down,4.3000,-0.0400,680.3320,-1090.2130,7479.7360,100.8108,-2452.2284,2978.2495,7589.3258
1,150,holding,force_hold,1.50000,1.427100,-0.072900,4.3000,-8.3000,20.7838,down,4.3400,-0.0400,682.1340,-1087.2080,7482.6400,102.6128,-2449.2234,2981.1535,7591.9187
1,150,holding,force_hold,1.50000,1.428300,-0.071700,4.3400,-8.3400,24.9256,down,4.3800,-0.0400,683.3360,-1089.6120,7481.6720,103.8148,-2451.6274,2980.1855,7591.4174
1,150,holding,force_hold,1.50000,1.424800,-0.075200,4.3800,-8.3800,29.0623,down,4.4200,-0.0400,681.5330,-1095.0210,7482.6400,102.0118,-2457.0364,2981.1535,7592.9875
1,150,holding,force_hold,1.50000,1.425700,-0.074300,4.4200,-8.4200,33.2194,down,4.4600,-0.0400,682.7350,-1090.2130,7491.3510,103.2138,-2452.2284,2989.8645,7600.9888
1,150,holding,force_hold,1.50000,1.427900,-0.072100,4.4600,-8.4600,37.3667,down,4.5000,-0.0400,678.5280,-1090.2130,7486.5120,99.0068,-2452.2284,2985.0255,7595.8427
1,150,holding,force_hold,1.50000,1.429100,-0.070900,4.5000,-8.5000,41.4929,down,4.5300,-0.0300,676.7250,-1085.4050,7494.2560,97.2038,-2447.4204,2992.7695,7602.6268
1,150,holding,force_hold,1.50000,1.428000,-0.072000,4.5300,-8.5300,45.6625,down,4.5700,-0.0400,682.1340,-1086.6070,7493.2880,102.6128,-2448.6224,2991.8015,7602.3277
