trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,1,0.0000,0.0000,-2.9600,-0.03780,0.00126,24,287.8942,-2450.2054,1380.9413,12.2281,161.8318,217.9170,114.7821,479.3756,-302.0678,2827.2581
3,2,0.4480,0.4300,-3.3900,-0.02045,0.00074,24,331.9564,-2492.3737,1345.4987,0.4157,0.4627,0.5405,158.8442,437.2074,-337.5103,2851.7518
3,3,0.8960,0.8900,-3.8500,0.00150,0.00119,23,391.0955,-2698.0172,1483.1127,0.4106,0.4314,0.6557,217.9834,231.5639,-199.8964,3103.5263
3,4,1.3440,1.3100,-4.2700,0.03580,0.00074,24,438.9910,-2927.5433,1602.3132,0.3438,0.5622,0.6499,265.8789,2.0378,-80.6959,3366.1002
3,5,1.7920,1.7700,-4.7300,0.08795,0.00082,24,487.9434,-3222.3846,1740.1587,0.4031,0.4718,0.6117,314.8313,-292.8036,57.1496,3694.5911
3,6,2.2400,2.2300,-5.1900,0.15450,0.00156,24,543.0260,-3601.7542,1921.8376,0.3774,0.6243,0.8412,369.9138,-672.1732,238.8285,4118.3699
3,7,2.6880,2.6700,-5.6300,0.24600,0.00119,23,611.3084,-4077.0323,2169.0984,0.4650,0.6048,0.8124,438.1963,-1147.4512,486.0894,4658.4201
3,8,3.1360,3.1300,-6.0900,0.37675,0.00267,24,696.3846,-4638.5351,2460.1612,0.4496,0.5773,0.5437,523.2724,-1708.9540,777.1521,5296.5415
3,9,3.5840,3.5700,-6.5300,0.57215,0.00222,24,805.3041,4505.5370,2828.3695,0.4230,0.5720,0.6441,632.1919,7435.1180,1145.3604,5380.3394
3,10,4.0320,4.0200,-6.9800,0.85485,0.00452,24,956.8953,3676.4476,3263.1913,0.4775,0.8298,0.5939,783.7832,6606.0287,1580.1823,5008.0269
3,11,4.4800,4.4800,-7.4400,1.24950,0.00623,23,1135.6563,2695.1019,3777.6517,0.5186,1.1519,0.9797,962.5442,5624.6829,2094.6426,4777.4409
