trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,1,0.0000,0.0000,-3.5900,0.03975,0.00074,24,278.1776,-2751.1276,1385.5753,39.4931,55.9187,111.1245,105.0655,178.4535,-297.4338,3092.8797
1,2,0.4480,0.4400,-4.0300,0.08130,0.00119,24,324.7629,-2924.5564,1408.4818,0.3992,0.5224,0.5142,151.6507,5.0247,-274.5273,3262.2572
1,3,0.8960,0.8900,-4.4800,0.13100,0.00126,24,361.2583,-3199.5130,1506.4181,0.4356,0.4676,0.6161,188.1461,-269.9320,-176.5910,3554.8117
1,4,1.3440,1.3300,-4.9200,0.19570,0.00133,24,403.9889,-3547.9432,1625.8186,0.4748,0.5380,0.6029,230.8767,-618.3622,-57.1905,3923.5691
1,5,1.7920,1.7900,-5.3800,0.27875,0.00222,24,461.4781,-3981.0195,1785.7916,0.3226,0.5261,0.6168,288.3660,-1051.4384,102.7825,4387.5426
1,6,2.2400,2.2200,-5.8100,0.38985,0.00245,24,540.1042,-4511.0547,1996.4473,0.4349,0.6879,0.5458,366.9921,-1581.4736,313.4382,4962.5728
1,7,2.6880,2.6800,-6.2700,0.55085,0.00282,24,626.8369,4655.6672,2245.7179,0.4742,0.5965,0.5490,453.7247,7585.2482,562.7088,5206.8618
1,8,3.1360,3.1200,-6.7100,0.77390,0.00297,23,749.0280,3836.0411,2547.6078,0.3887,0.7725,0.5719,575.9158,6765.6221,864.5987,4665.4646
1,9,3.5840,3.5600,-7.1500,1.07270,0.00667,24,898.0693,2875.2390,2879.8737,0.5140,0.9093,0.8429,724.9571,5804.8200,1196.8646,4167.3973
1,10,4.0320,4.0200,-7.6100,1.47815,0.00949,24,1067.3347,1794.2931,3256.2883,0.4381,1.3714,0.5982,894.2226,4723.8742,1573.2792,3868.0880
