trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,1,0.0000,0.0000,-2.7700,-0.02925,0.00156,24,293.3123,-2556.1810,1456.6178,0.4486,0.9841,0.7718,120.2002,373.4000,-226.3913,2956.6584
2,2,0.4480,0.4500,-3.2200,-0.02740,0.00111,24,311.6746,-2474.3873,1293.0560,0.3637,0.3564,0.5929,138.5625,455.1937,-389.9531,2809.2219
2,3,0.8960,0.8800,-3.6500,-0.00620,0.00119,24,367.7124,-2661.5436,1411.4144,0.3955,0.6110,0.6443,194.6003,268.0374,-271.5947,3034.9823
2,4,1.3440,1.3200,-4.0900,0.02325,0.00067,24,417.2150,-2874.6586,1528.3875,0.4451,0.5250,0.5490,244.1028,54.9225,-154.6216,3282.3313
2,5,1.7920,1.7800,-4.5500,0.07080,0.00074,24,463.0693,-3143.9476,1649.2402,0.3821,0.5088,0.5950,289.9572,-214.3665,-33.7689,3580.3398
2,6,2.2400,2.2300,-5.0000,0.13100,0.00119,24,513.9324,-3483.2346,1799.6590,0.4216,0.5213,0.7250,340.8203,-553.6535,116.6499,3954.2157
2,7,2.6880,2.6900,-5.4600,0.20910,0.00252,24,572.0672,-3915.4237,2005.3697,0.4337,0.3881,0.6906,398.9551,-985.8427,322.3606,4436.1370
2,8,3.1360,3.1300,-5.9000,0.31930,0.00178,23,646.3954,-4446.8287,2259.8485,0.3875,0.6842,0.7475,473.2833,-1517.2477,576.8394,5029.8139
2,9,3.5840,3.5600,-6.3300,0.48745,0.00341,24,739.9889,4746.0587,2568.3880,0.3896,0.7131,0.5867,566.8767,7675.6397,885.3789,5446.9508
2,10,4.0320,4.0200,-6.7900,0.72160,0.00252,24,873.1629,3961.0693,2968.3822,0.4654,0.8785,0.5433,700.0507,6890.6504,1285.3731,5026.3085
2,11,4.4800,4.4600,-7.2300,1.05180,0.00371,23,1039.5063,3021.4563,3439.1145,0.5006,0.7814,0.6276,866.3942,5951.0374,1756.1054,4694.3882
