trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,1,0.0000,0.0000,-3.1900,-0.03170,0.00141,24,469.0888,-2239.9554,1756.3730,25.3269,186.8102,370.8825,-50.7736,471.8882,-910.7087,2884.8380
1,2,0.4480,0.4400,-3.6300,-0.01420,0.00096,24,513.2346,-2246.6020,1683.6885,0.5031,0.4560,0.7065,-6.6278,465.2415,-983.3932,2854.0213
1,3,0.8960,0.8800,-4.0700,0.01020,0.00148,24,572.9867,-2388.5151,1830.4349,0.4092,0.5574,0.6959,53.1243,323.3285,-836.6468,3063.3005
1,4,1.3440,1.3200,-4.5100,0.04590,0.00104,23,622.1216,-2562.8020,1963.8088,0.5032,0.5838,0.6685,102.2592,149.0416,-703.2729,3288.0898
1,5,1.7920,1.7900,-4.9800,0.09325,0.00141,24,665.4715,-2794.7737,2138.2381,0.4166,0.4606,0.5991,145.6091,-82.9302,-528.8436,3581.2951
1,6,2.2400,2.2300,-5.4200,0.14595,0.00126,24,715.1801,-3079.6041,2379.6490,0.3301,0.5990,0.6931,195.3177,-367.7605,-287.4327,3957.0410
1,7,2.6880,2.6800,-5.8700,0.21880,0.00133,24,769.4998,-3437.9607,2709.1690,0.4314,0.5901,0.8120,249.6374,-726.1172,42.0872,4444.2435
1,8,3.1360,3.1200,-6.3100,0.33250,0.00126,24,871.6041,-3902.1128,3151.4921,0.4228,0.5593,0.7132,351.7417,-1190.2692,484.4104,5090.9803
1,9,3.5840,3.5600,-6.7500,0.51345,0.00385,24,1041.3260,-4441.0303,3686.3123,0.4446,0.4442,0.6298,521.4635,-1729.1868,1019.2306,5864.8111
1,10,4.0320,4.0200,-7.2100,0.76760,0.00400,24,1262.6673,4792.1939,4335.8401,0.3033,0.6969,0.8532,742.8048,7504.0375,1668.7584,6584.7521
1,11,4.4800,4.4600,-7.6500,1.12340,0.00474,24,1521.6585,4110.4695,5123.0772,0.4540,0.8415,0.8769,1001.7961,6822.3131,2455.9955,6742.2047
