session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,trial,pair_id,target_label,F_target_N,F_match_target_N,d_preload_mm,d_preload_extra_mm,F_loading_N,F_unloading_N,delta_F_N,d_loading_mm,d_unloading_mm,delta_d_mm,Bmag_loading_uT,Bmag_unloading_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,slope_Bmag_uT_per_mm,same_F_ok,disp_split_ok,b_signal_ok,verdict
session_20260609_173842,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,180,1.80000,1.709050,1.8500,0.3000,1.709050,1.683100,-0.025950,1.5700,1.7400,+0.1700,6808.9325,7119.1131,+310.1806,-24.6410,+37.8630,+318.4720,321.6601,1824.5918,1,1,1,strong
session_20260609_173842,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,180,1.80000,1.721150,1.8000,0.3000,1.721150,1.670100,-0.051050,1.5200,1.6900,+0.1700,6787.8978,7074.1155,+286.2177,-22.8380,+36.0600,+294.2710,297.3505,1683.6335,0,1,1,bad_F_match
session_20260609_173842,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,1,180,1.80000,1.723650,1.8000,0.3000,1.723650,1.683200,-0.040450,1.5200,1.6900,+0.1700,6780.8107,7073.0442,+292.2335,-21.6360,+40.2680,+299.1120,302.5849,1719.0205,1,1,1,strong
