trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.0000,1.721700,-1116.0560,9382.8150,2885.6080,-263.4728,3140.3976,797.7093,9879.7536
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.0521,1.721300,-1118.4600,9383.4080,2886.5760,-265.8768,3140.9906,798.6773,9880.8714
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.1401,1.724500,-1113.6520,9382.8150,2885.6080,-261.0688,3140.3976,797.7093,9879.4824
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.2280,1.764900,-1116.0560,9378.6070,2889.4800,-263.4728,3136.1896,801.5813,9876.8894
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.3160,1.727300,-1113.0510,9385.2150,2886.5760,-260.4678,3142.7976,798.6773,9881.9767
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.4040,1.720300,-1112.4510,9383.4080,2883.6720,-259.8678,3140.9906,795.7733,9879.3450
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.4920,1.720700,-1112.4510,9379.2000,2885.6080,-259.8678,3136.7826,797.7093,9875.9138
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.5800,1.718500,-1114.2530,9384.0150,2885.6080,-261.6698,3141.5976,797.7093,9880.6898
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.6680,1.722200,-1116.6580,9382.8150,2884.6400,-264.0748,3140.3976,796.7413,9879.5390
1,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.1800,0.7560,1.720600,-1117.8590,9381.0070,2892.3840,-265.2758,3138.5896,804.4853,9880.2220
