trial,hold_label,phase,control_mode,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.1691,1.956400,-1126.8740,9658.6710,2964.0150,-274.2908,3416.2536,876.1163,10165.8819
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.2570,1.957400,-1132.2830,9661.0720,2959.1750,-279.6998,3418.6546,871.2763,10167.3543
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.3451,1.954400,-1127.4750,9660.4690,2960.1440,-274.8918,3418.0516,872.2453,10166.5291
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.4332,1.947100,-1126.2730,9661.0720,2961.1110,-273.6898,3418.6546,873.2123,10167.2504
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.5213,1.960800,-1127.4750,9657.4710,2970.7920,-274.8918,3415.0536,882.8933,10166.7867
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.6093,1.961300,-1134.0860,9652.6560,2964.9840,-281.5028,3410.2386,877.0853,10161.2523
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.6975,1.953700,-1126.2730,9665.2800,2960.1440,-273.6898,3422.8626,872.2453,10170.9675
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.7857,1.950900,-1128.0760,9662.2720,2964.9840,-275.4928,3419.8546,877.0853,10169.7191
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.8735,1.956100,-1122.6670,9663.4770,2955.3040,-270.0838,3421.0596,867.4053,10167.4476
2,160,holding,disp_hold,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1.6000,1.5900,-2.2900,2.9615,1.951500,-1128.6770,9649.0550,2959.1750,-276.0938,3406.6376,871.2763,10155.5350
