trial,hold_label,phase,control_mode,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.0000,0.802900,47.4790,-4167.3330,-4533.1430,32.4550,-699.8254,-2971.2119,6157.7840
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.0181,0.801600,48.0790,-4166.7310,-4533.1430,33.0550,-699.2234,-2971.2119,6157.3813
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.1065,0.800600,48.0790,-4166.7310,-4533.1430,33.0550,-699.2234,-2971.2119,6157.3813
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.1950,0.800000,48.0790,-4166.7310,-4533.1430,33.0550,-699.2234,-2971.2119,6157.3813
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.2834,0.800400,48.0790,-4165.5300,-4533.1430,33.0550,-698.0224,-2971.2119,6156.5686
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.3721,0.797900,48.0790,-4165.5300,-4533.1430,33.0550,-698.0224,-2971.2119,6156.5686
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.4601,0.797600,47.4790,-4166.1320,-4532.1760,32.4550,-698.6244,-2970.2449,6156.2594
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.5485,0.796300,48.0790,-4164.9290,-4532.1760,33.0550,-697.4214,-2970.2449,6155.4500
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.6369,0.795500,47.4790,-4165.5300,-4533.1430,32.4550,-698.0224,-2971.2119,6156.5640
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.7252,0.796900,47.4790,-4165.5300,-4531.2080,32.4550,-698.0224,-2969.2769,6155.1393
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.8136,0.796200,48.0790,-4165.5300,-4532.1760,33.0550,-698.0224,-2970.2449,6155.8566
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.9019,0.795400,48.6800,-4165.5300,-4531.2080,33.6560,-698.0224,-2969.2769,6155.1487
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,0.9905,0.794700,48.6800,-4164.9290,-4533.1430,33.6560,-697.4214,-2971.2119,6156.1667
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.0789,0.794400,48.0790,-4166.1320,-4532.1760,33.0550,-698.6244,-2970.2449,6156.2640
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.1670,0.793400,47.4790,-4164.9290,-4531.2080,32.4550,-697.4214,-2969.2769,6154.7326
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.2556,0.794000,48.6800,-4164.9290,-4533.1430,33.6560,-697.4214,-2971.2119,6156.1667
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.3439,0.793900,48.6800,-4166.1320,-4532.1760,33.6560,-698.6244,-2970.2449,6156.2687
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.4326,0.791200,48.0790,-4164.3270,-4532.1760,33.0550,-696.8194,-2970.2449,6155.0427
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.5210,0.790800,47.4790,-4166.1320,-4533.1430,32.4550,-698.6244,-2971.2119,6156.9713
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.6092,0.791300,48.0790,-4164.3270,-4530.2400,33.0550,-696.8194,-2968.3089,6153.6173
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.6976,0.790200,47.4790,-4164.9290,-4531.2080,32.4550,-697.4214,-2969.2769,6154.7326
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.7859,0.790500,47.4790,-4166.1320,-4530.2400,32.4550,-698.6244,-2968.3089,6154.8342
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.8744,0.789300,48.0790,-4164.9290,-4530.2400,33.0550,-697.4214,-2968.3089,6154.0247
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,1.9628,0.788200,48.6800,-4164.3270,-4531.2080,33.6560,-696.8194,-2969.2769,6154.3347
1,90,holding,disp_hold,3.1500,3.1500,-4.9400,2.0511,0.789300,48.0790,-4164.9290,-4531.2080,33.0550,-697.4214,-2969.2769,6154.7373
