trial,phase,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,loading,1,0.0000,0.0000,-5.8300,-0.02810,0.00104,24,-186.9323,-4663.9583,588.2211,6.7821,110.5961,164.5848,19.1847,295.3672,-433.1802,4704.6206
3,loading,2,0.3500,0.3400,-6.1700,-0.04280,0.00074,24,-164.5979,-4530.0855,380.7867,0.4792,1.0166,0.7980,41.5191,429.2400,-640.6147,4549.0401
3,loading,3,0.7000,0.6800,-6.5100,-0.03460,0.00141,24,-143.4293,-4490.5144,240.4420,0.4994,0.8342,0.7575,62.6876,468.8111,-780.9594,4499.2337
3,loading,4,1.0500,1.0400,-6.8700,0.02300,0.00104,23,-134.2979,-4620.8623,210.7413,0.4337,0.4622,0.7810,71.8190,338.4632,-810.6600,4627.6146
3,loading,5,1.4000,1.3800,-7.2100,0.10690,0.00074,23,-146.3556,-4906.2740,284.3809,0.3999,0.6249,0.5015,59.7614,53.0515,-737.0205,4916.6876
3,loading,6,1.7500,1.7400,-7.5700,0.22480,0.00178,23,-171.4843,-5302.2462,407.4070,0.3394,0.6099,0.7172,34.6326,-342.9207,-613.9943,5320.6393
3,loading,7,2.1000,2.0800,-7.9100,0.37800,0.00104,23,-201.1250,-5780.2072,558.6199,0.4998,0.7602,0.7093,4.9920,-820.8817,-462.7815,5810.6198
3,loading,8,2.4500,2.4400,-8.2700,0.57350,0.00163,23,-234.7145,-6310.1724,732.9775,0.4334,0.9204,0.6372,-28.5976,-1350.8469,-288.4238,6356.9350
3,loading,9,2.8000,2.7800,-8.6100,0.83220,0.00385,24,-282.2186,-6856.2057,929.3607,0.4661,0.8681,0.7507,-76.1016,-1896.8802,-92.0407,6924.6599
3,loading,10,3.1500,3.1400,-8.9700,1.18820,0.00400,23,-327.5701,-7435.1512,1132.7703,0.3835,0.8779,0.6500,-121.4532,-2475.8257,111.3690,7528.0770
3,loading,11,3.5000,3.4800,-9.3100,1.67460,0.00593,24,-369.4638,-8043.4298,1337.4936,0.4431,0.8490,0.6042,-163.3468,-3084.1043,316.0923,8162.2396
3,unloading,1,3.1500,3.0900,-8.9200,0.84550,0.00222,23,-315.6993,-7388.2907,1091.7023,0.4511,0.7244,0.6369,-109.5823,-2428.9652,70.3010,7475.1802
3,unloading,2,2.8000,2.6800,-8.5100,0.47940,0.00267,23,-262.6099,-6719.8321,852.8915,0.5275,0.9405,0.7676,-56.4930,-1760.5066,-168.5098,6778.8297
3,unloading,3,2.4500,2.2800,-8.1100,0.26825,0.00208,24,-214.9741,-6079.8179,636.7755,0.4597,0.7823,0.6297,-8.8571,-1120.4924,-384.6259,6116.8523
3,unloading,4,2.1000,1.8800,-7.7100,0.12095,0.00170,24,-173.8132,-5505.4336,449.2327,0.5006,0.7714,0.7507,32.3038,-546.1081,-572.1687,5526.4654
3,unloading,5,1.7500,1.4800,-7.3100,0.03275,0.00133,24,-143.5131,-5015.0681,285.8421,0.4330,0.7087,0.8315,62.6039,-55.7426,-735.5592,5025.2572
3,unloading,6,1.4000,1.0900,-6.9200,-0.02380,0.00163,23,-119.1538,-4626.2613,155.1323,0.4868,0.6466,0.6664,86.9632,333.0642,-866.2691,4630.3949
3,unloading,7,1.0500,1.0900,-6.9200,-0.02110,0.00059,24,-119.4151,-4627.5936,155.9318,0.4941,0.5911,0.9190,86.7019,331.7319,-865.4696,4631.7596
3,unloading,8,0.7000,0.6800,-6.5100,-0.05225,0.00141,24,-121.7015,-4409.9109,143.0216,0.4689,0.7041,0.6545,84.4155,549.4146,-878.3797,4413.9076
3,unloading,9,0.3500,-6.0079,0.1779,-0.04805,0.00104,24,-148.4217,-4447.9995,310.1633,0.3306,0.6629,0.7507,57.6953,511.3260,-711.2380,4461.2700
