trial,phase,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,loading,1,0.0000,0.0000,-5.8100,-0.02735,0.00178,24,-187.6223,-4666.6741,598.9409,6.5435,109.5666,162.2923,18.4947,292.6514,-422.4605,4708.6919
2,loading,2,0.3500,0.3400,-6.1500,-0.04090,0.00148,24,-166.4009,-4536.0956,396.1137,0.4085,0.8299,0.7541,39.7161,423.2299,-625.2877,4556.3975
2,loading,3,0.7000,0.6900,-6.5000,-0.03640,0.00104,23,-144.6397,-4489.8946,251.1956,0.4907,0.7829,0.6995,61.4773,469.4309,-770.2057,4499.2414
2,loading,4,1.0500,1.0400,-6.8500,0.01965,0.00089,24,-134.2052,-4608.5723,214.0955,0.4228,0.5007,0.3755,71.9117,350.7532,-807.3058,4615.4942
2,loading,5,1.4000,1.3800,-7.1900,0.10330,0.00089,23,-145.2407,-4890.1099,284.2688,0.4907,0.4623,0.6792,60.8763,69.2156,-737.1325,4900.5182
2,loading,6,1.7500,1.7400,-7.5500,0.21635,0.00133,24,-170.1576,-5278.0308,405.8333,0.4792,0.8665,0.5149,35.9593,-318.7053,-615.5680,5296.3444
2,loading,7,2.1000,2.0800,-7.8900,0.36895,0.00126,24,-199.4526,-5752.5352,556.4729,0.4173,1.0043,0.6058,6.6643,-793.2097,-464.9285,5782.8284
2,loading,8,2.4500,2.4200,-8.2300,0.56330,0.00208,24,-231.9850,-6278.6978,729.4931,0.5730,0.8282,0.6352,-25.8680,-1319.3723,-291.9082,6325.1896
2,loading,9,2.8000,2.7800,-8.5900,0.81190,0.00378,24,-280.6159,-6820.6715,923.7138,0.4661,0.9919,0.7139,-74.4990,-1861.3460,-97.6875,6888.6539
2,loading,10,3.1500,3.1200,-8.9300,1.16085,0.00363,24,-327.3937,-7402.3145,1128.9703,0.4772,0.8807,0.6682,-121.2768,-2442.9890,107.5690,7495.0664
2,loading,11,3.5000,3.4900,-9.3000,1.63245,0.00682,24,-368.7256,-8010.9614,1333.3990,0.4390,0.9544,0.8692,-162.6086,-3051.6359,311.9976,8129.5396
2,unloading,1,3.1500,3.0800,-8.8900,0.80585,0.00237,24,-314.8446,-7351.5340,1085.8851,0.4173,1.1839,0.7122,-108.7277,-2392.2085,64.4838,7437.9652
2,unloading,2,2.8000,2.6900,-8.5000,0.45015,0.00304,24,-260.1013,-6674.2847,844.8956,0.3116,0.8959,0.7529,-53.9844,-1714.9592,-176.5057,6732.5758
2,unloading,3,2.4500,2.2600,-8.0700,0.24960,0.00230,24,-211.8014,-6034.5144,626.0535,0.4311,0.6383,0.7134,-5.6845,-1075.1889,-395.3479,6070.5985
2,unloading,4,2.1000,1.8600,-7.6700,0.11960,0.00178,23,-171.9351,-5462.5877,440.1973,0.4311,0.7013,0.5143,34.1819,-503.2622,-581.2040,5482.9919
2,unloading,5,1.7500,1.4600,-7.2700,0.02550,0.00067,24,-140.7637,-4976.8014,275.4170,0.4034,0.5811,0.5741,65.3533,-17.4759,-745.9843,4986.4036
2,unloading,6,1.4000,1.0800,-6.8900,-0.02765,0.00096,24,-118.4221,-4603.2922,152.5231,0.3380,0.6962,0.6412,87.6948,356.0333,-868.8782,4607.3404
2,unloading,7,1.0500,1.0800,-6.8900,-0.02465,0.00111,24,-118.5267,-4604.6244,153.4911,0.5718,0.6463,0.5709,87.5903,354.7011,-867.9102,4608.7063
2,unloading,8,0.7000,0.6900,-6.5000,-0.05375,0.00096,24,-125.0070,-4409.2224,159.4247,0.3624,1.0059,0.4549,81.1100,550.1031,-861.9766,4413.8742
2,unloading,9,0.3500,0.2600,-6.0700,-0.04570,0.00141,24,-151.8266,-4455.9125,331.5798,0.5261,0.4220,0.6366,54.2903,503.4130,-689.8215,4470.8112
2,unloading,10,0.0000,-0.1400,-5.6700,-0.02880,0.00119,23,-174.8650,-4542.3578,493.8410,0.3306,0.7515,0.6791,31.2520,416.9677,-527.5603,4572.4688
