formal_rep,source_session_id,source_trial,source_file,session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,trial,pair_id,target_label,F_target_N,F_match_target_N,d_preload_mm,d_preload_extra_mm,F_loading_N,F_unloading_N,delta_F_N,d_loading_mm,d_unloading_mm,delta_d_mm,Bmag_loading_uT,Bmag_unloading_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,slope_Bmag_uT_per_mm,same_F_ok,disp_split_ok,b_signal_ok,verdict
1,session_20260611_173832,2,session_20260611_173832/same_f_different_d_scan_490_rep2.csv,session_20260611_173832,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,490,4.90000,4.826100,3.1800,0.3000,4.826100,4.804700,-0.021400,2.8900,3.0000,+0.1100,9187.6165,9504.3461,+316.7296,+6.9115,+194.1220,+252.6470,318.6873,2879.3601,1,1,1,strong
2,session_20260611_181124,1,session_20260611_181124/same_f_different_d_scan_490_rep1.csv,session_20260611_181124,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,490,4.90000,4.705050,3.1400,0.3000,4.705050,4.747500,+0.042450,2.8500,2.9800,+0.1300,9162.8533,9618.1103,+455.2570,+6.0095,+277.6640,+363.9670,457.8268,3501.9769,1,1,1,strong
3,session_20260611_183729,1,session_20260611_183729/same_f_different_d_scan_490_rep1.csv,session_20260611_183729,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,490,4.90000,4.734550,3.0400,0.3000,4.734550,4.715000,-0.019550,2.7500,2.8600,+0.1100,9211.2471,9537.0304,+325.7833,+3.6060,+205.5410,+253.6170,326.4685,2961.6664,1,1,1,strong
