session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,trial,pair_id,target_label,d_target_mm,d_preload_mm,d_direct_mm,d_return_mm,d_diff_mm,F_direct_N,F_return_N,delta_F_N,Bmag_direct_uT,Bmag_return_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,slope_Bmag_uT_per_N,same_d_ok,force_split_ok,b_signal_ok,verdict
session_20260624_171147,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,180,1.8000,2.6000,1.7800,1.7800,+0.0000,2.511950,1.804600,-0.707350,6905.2645,6971.9970,+66.7325,+1.2020,+47.4790,+56.6280,73.9083,-94.3416,1,1,1,strong
session_20260624_171147,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,180,1.8000,2.6000,1.7800,1.7800,+0.0000,2.355350,1.673000,-0.682350,6791.3323,6848.1884,+56.8561,+1.2020,+43.2720,+47.4320,64.2161,-83.3239,1,1,1,strong
