trial,hold_label,phase,control_mode,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.0000,0.244200,887.0750,1289.7460,5669.5760,117.9338,-1192.5285,2546.0683,5881.7037
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.0313,0.241500,888.2770,1296.9570,5668.6080,119.1358,-1185.3175,2545.1003,5882.5377
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.1192,0.239500,894.2870,1289.7460,5666.6720,125.1458,-1192.5285,2543.1643,5879.9971
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.2074,0.240500,891.8830,1290.3460,5668.6080,122.7418,-1191.9285,2545.1003,5881.6294
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.2954,0.241100,893.0850,1289.1440,5668.6080,123.9438,-1193.1305,2545.1003,5881.5482
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.3839,0.239800,689.9470,1774.7520,3599.9920,-79.1942,-707.5225,476.4843,4072.5562
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.4720,0.239400,692.9520,1778.3580,3605.8000,-76.1892,-703.9165,482.2923,4079.7712
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.5601,0.241800,689.3460,1779.5600,3605.8000,-79.7952,-702.7145,482.2923,4079.6845
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.6481,0.239100,689.9470,1781.3630,3606.7680,-79.1942,-700.9115,483.2603,4081.4282
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.7361,0.240000,689.9470,1781.3630,3610.6400,-79.1942,-700.9115,487.1323,4084.8503
2,60,holding,disp_hold,2.1000,2.0900,-4.7900,0.8243,0.241000,691.7500,1774.7520,3613.5440,-77.3912,-707.5225,490.0363,4084.8455
