trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,1,0.0000,0.0000,-1.7700,-0.04475,0.00067,24,61.3759,-1476.8477,710.4905,0.3551,0.4328,0.5836,-148.2675,1569.2458,-89.8132,1640.0131
2,2,0.4480,0.4500,-2.2200,-0.03240,0.00148,24,45.3519,-1546.1281,793.1917,0.3825,0.4068,0.6347,-164.2915,1499.9655,-7.1120,1738.3101
2,3,0.8960,0.8800,-2.6500,-0.02220,0.00089,23,26.9998,-1637.2372,889.6322,0.3426,0.4963,0.7231,-182.6435,1408.8563,89.3285,1863.5236
2,4,1.3440,1.3200,-3.0900,-0.01385,0.00089,24,7.5310,-1749.7623,994.8718,0.3754,0.3698,0.6481,-202.1123,1296.3312,194.5681,2012.8326
2,5,1.7920,1.7800,-3.5500,-0.00620,0.00119,23,-13.0873,-1894.1310,1112.8873,0.3518,0.3830,0.5069,-222.7307,1151.9625,312.5835,2196.9119
2,6,2.2400,2.2300,-4.0000,0.00410,0.00119,23,-33.1623,-2074.3374,1241.0869,0.3482,0.4762,0.5709,-242.8056,971.7561,440.7831,2417.4929
2,7,2.6880,2.6700,-4.4400,0.02240,0.00200,24,-49.9373,-2292.2498,1371.5044,0.4487,0.5094,0.7132,-259.5807,753.8437,571.2007,2671.6900
2,8,3.1360,3.1300,-4.9000,0.06680,0.00178,23,-67.4186,-2568.7498,1521.3025,0.4765,0.5363,0.7408,-277.0620,477.3438,720.9987,2986.1986
2,9,3.5840,3.5600,-5.3300,0.13435,0.00126,24,-76.2749,-2905.2998,1670.2234,0.3675,0.5589,0.7320,-285.9183,140.7937,869.9196,3352.0488
2,10,4.0320,4.0200,-5.7900,0.22480,0.00133,23,-72.7061,-3331.9124,1815.4938,0.4300,0.5384,0.8520,-282.3495,-285.8188,1015.1901,3795.1211
2,11,4.4800,4.4600,-6.2300,0.34600,0.00178,23,-57.6123,-3858.8685,1942.7959,0.4026,0.6349,0.6615,-267.2557,-812.7750,1142.4922,4320.7223
