trial,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,1,0.0000,0.0000,-2.5900,-0.03140,0.00096,24,83.6516,-1979.4856,824.4939,54.9363,488.5666,2.7624,-125.9918,1066.6080,24.1901,2145.9615
1,2,0.4480,0.4400,-3.0300,-0.01720,0.00148,23,38.7811,-1863.0311,930.7823,0.4784,0.6063,0.5243,-170.8622,1183.0625,130.4785,2082.9653
1,3,0.8960,0.8900,-3.4800,-0.00725,0.00119,24,17.8310,-2007.4996,1052.7704,0.5754,0.4714,0.5503,-191.8123,1038.5939,252.4666,2266.8697
1,4,1.3440,1.3200,-3.9100,0.00490,0.00119,24,-1.0621,-2180.4560,1177.5213,0.3454,0.4902,0.6694,-210.7055,865.6375,377.2175,2478.0932
1,5,1.7920,1.7700,-4.3600,0.02970,0.00163,23,-21.3685,-2388.0685,1316.0159,0.3426,0.4640,0.5616,-231.0119,658.0250,515.7122,2726.7610
1,6,2.2400,2.2200,-4.8100,0.07920,0.00133,23,-40.1215,-2637.0257,1467.0248,0.4718,0.4257,0.6014,-249.7649,409.0678,666.7210,3017.8927
1,7,2.6880,2.6800,-5.2700,0.14590,0.00185,24,-49.7346,-2961.6127,1623.1991,0.3379,0.4890,0.6396,-259.3779,84.4808,822.8953,3377.6321
1,8,3.1360,3.1200,-5.7100,0.23325,0.00178,24,-43.0824,-3358.3759,1768.4413,0.3382,0.6440,0.4934,-252.7258,-312.2824,968.1375,3795.7778
1,9,3.5840,3.5600,-6.1500,0.34390,0.00163,23,-21.7040,-3841.2260,1883.2859,0.3685,0.5345,0.6832,-231.3474,-795.1324,1082.9821,4278.1133
1,10,4.0320,4.0200,-6.6100,0.48930,0.00282,23,10.6312,-4454.6127,1979.0154,0.3787,0.6963,0.6232,-199.0122,-1408.5192,1178.7116,4874.4425
1,11,4.4800,4.4600,-7.0500,0.67880,0.00356,23,51.5873,4637.3565,2065.9333,0.4575,0.6756,0.8794,-158.0561,7683.4500,1265.6295,5076.9889
