trial,hold_label,phase,control_mode,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,3.2209,2.958600,1119.6620,-6597.1750,10338.2390,398.0794,-7381.3960,5805.0125,12314.8507
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,3.3090,2.959300,1120.8650,-6601.3830,10338.2390,399.2824,-7385.6040,5805.0125,12317.2148
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,3.3969,2.957800,1110.6470,-6600.1780,10339.2100,389.0644,-7384.3990,5805.9835,12316.4585
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,3.4849,2.957200,1117.8590,-6597.7760,10345.9840,396.2764,-7381.9970,5812.7575,12321.5113
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,3.5729,2.956500,1116.0560,-6602.5840,10339.2100,394.4734,-7386.8050,5805.9835,12318.2369
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,3.6609,2.955200,1121.4650,-6597.7760,10337.2690,399.8824,-7381.9970,5804.0425,12314.5224
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,3.7489,2.956900,1119.0610,-6597.1750,10340.1760,397.4784,-7381.3960,5806.9495,12316.4222
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,3.8369,2.957600,1116.0560,-6601.3830,10337.2690,394.4734,-7385.6040,5804.0425,12315.9640
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,3.9249,2.956800,1118.4600,-6605.5890,10332.4320,396.8774,-7389.8100,5799.2055,12314.3782
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.0129,2.955600,1117.8590,-6602.5840,10342.1110,396.2764,-7386.8050,5808.8845,12320.8354
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.1012,2.955300,1114.2530,-6602.5840,10339.2100,392.6704,-7386.8050,5805.9835,12318.0737
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.1889,2.954500,1115.4550,-6598.9760,10336.3040,393.8724,-7383.1970,5803.0775,12313.8095
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.2771,2.953700,1116.0560,-6599.5780,10334.3680,394.4734,-7383.7990,5801.1415,12312.5616
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.3651,2.953000,1116.6580,-6596.5750,10331.4710,395.0754,-7380.7960,5798.2445,12308.5751
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.4530,2.952600,1117.2580,-6594.7700,10341.1460,395.6754,-7378.9910,5807.9195,12315.7849
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.5409,2.953300,1114.2530,-6600.1780,10345.0180,392.6704,-7384.3990,5811.7915,12321.6601
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.6292,2.955900,1117.2580,-6600.7810,10343.0770,395.6754,-7385.0020,5809.8505,12320.6257
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.7169,2.954700,1114.8540,-6600.1780,10326.6240,393.2714,-7384.3990,5793.3975,12306.2753
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.8050,2.953200,1117.8590,-6599.5780,10336.3040,396.2764,-7383.7990,5803.0775,12314.3501
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.8929,2.953200,1119.6620,-6600.7810,10340.1760,398.0794,-7385.0020,5806.9495,12318.4087
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,4.9812,2.951200,1115.4550,-6600.7810,10333.4020,393.8724,-7385.0020,5800.1755,12312.3412
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.0695,2.950100,1116.0560,-6600.1780,10345.0180,394.4734,-7384.3990,5811.7915,12321.8232
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.1570,2.953100,1116.0560,-6601.3830,10332.4320,394.4734,-7385.6040,5799.2055,12311.9044
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.2456,2.952400,1119.0610,-6600.7810,10339.2100,397.4784,-7385.0020,5805.9835,12317.5432
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.3329,2.950200,1116.0560,-6595.3730,10340.1760,394.4734,-7379.5940,5806.9495,12315.1844
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.4216,2.949300,1119.6620,-6601.3830,10326.6240,398.0794,-7385.6040,5793.3975,12307.3581
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.5089,2.948600,1115.4550,-6601.9840,10341.1460,393.8724,-7386.2050,5807.9195,12319.4859
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.5969,2.949200,1119.6620,-6600.1780,10326.6240,398.0794,-7384.3990,5793.3975,12306.7118
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.6852,2.949000,1116.6580,-6599.5780,10328.5600,395.0754,-7383.7990,5795.3335,12307.7417
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.7729,2.949400,1111.8490,-6603.1840,10331.4710,390.2664,-7387.4050,5798.2445,12311.6831
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.8611,2.950900,1115.4550,-6599.5780,10339.2100,393.8724,-7383.7990,5805.9835,12316.5715
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,5.9489,2.950200,1115.4550,-6597.1750,10341.1460,393.8724,-7381.3960,5807.9195,12316.9095
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.0369,2.948200,1114.8540,-6604.9890,10333.4020,393.2714,-7389.2100,5800.1755,12314.5433
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.1249,2.947200,1119.0610,-6598.9760,10345.9840,397.4784,-7383.1970,5812.7575,12322.2631
3,100,holding,disp_hold,4.8000,4.7900,-8.3800,6.2129,2.948000,1116.6580,-6602.5840,10341.1460,395.0754,-7386.8050,5807.9195,12319.9164
