trial,hold_label,phase,control_mode,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.0000,1.030800,960.3970,-2668.4380,7619.1270,238.8144,-3452.6590,3085.9005,8129.8229
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.0508,1.030600,957.3920,-2677.4540,7623.0000,235.8094,-3461.6750,3089.7735,8136.0610
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.1387,1.029700,950.7810,-2673.2470,7619.1270,229.1984,-3457.4680,3085.9005,8130.2725
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.2267,1.032200,961.5990,-2673.8470,7618.1600,240.0164,-3458.0680,3084.9335,8130.8359
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.3149,1.031500,960.3970,-2676.8520,7624.9360,238.8144,-3461.0730,3091.7095,8138.0310
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.4024,1.030800,962.2000,-2676.8520,7625.9060,240.6174,-3461.0730,3092.6795,8139.1528
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.4904,1.030600,957.9930,-2677.4540,7614.2880,236.4104,-3461.6750,3081.0615,8127.9698
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.5783,1.030800,963.4020,-2676.8520,7610.4160,241.8194,-3461.0730,3077.1895,8124.7838
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.6663,1.028000,960.9980,-2675.0500,7614.2880,239.4154,-3459.2710,3081.0615,8127.5329
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.7544,1.027200,958.5940,-2668.4380,7622.0310,237.0114,-3452.6590,3088.8045,8132.3318
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.8422,1.027700,958.5940,-2677.4540,7623.0000,237.0114,-3461.6750,3089.7735,8136.2025
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,0.9303,1.030300,957.9930,-2674.4490,7616.2260,236.4104,-3458.6700,3082.9995,8128.7961
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.0184,1.029600,954.3870,-2673.8470,7620.0960,232.8044,-3458.0680,3086.8695,8131.8003
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.1063,1.026400,962.2000,-2676.8520,7623.9680,240.6174,-3461.0730,3090.7415,8137.3370
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.1942,1.025800,960.3970,-2678.0540,7620.0960,238.8144,-3462.2750,3086.8695,8133.8920
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.2822,1.027600,963.4020,-2675.6520,7620.0960,241.8194,-3459.8730,3086.8695,8133.4568
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.3702,1.028200,964.6040,-2677.4540,7623.0000,243.0214,-3461.6750,3089.7735,8136.9128
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.4582,1.026500,962.2000,-2679.2570,7622.0310,240.6174,-3463.4780,3088.8045,8136.3139
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.5462,1.025400,959.7960,-2675.0500,7620.0960,238.2134,-3459.2710,3086.8695,8132.8325
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.6341,1.026500,956.7910,-2669.0400,7614.2880,235.2084,-3453.2610,3081.0615,8125.0603
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.7223,1.025800,961.5990,-2676.8520,7619.1270,240.0164,-3461.0730,3085.9005,8132.7305
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.8101,1.025100,956.1900,-2673.2470,7623.0000,234.6074,-3457.4680,3089.7735,8134.5361
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.8981,1.026000,957.9930,-2676.8520,7610.4160,236.4104,-3461.0730,3077.1895,8124.1442
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,1.9860,1.025100,965.8060,-2675.0500,7618.1600,244.2234,-3459.2710,3084.9335,8131.7302
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,2.0743,1.024100,964.0030,-2678.0540,7619.1270,242.4204,-3462.2750,3085.9005,8133.4108
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,2.1620,1.024000,961.5990,-2676.8520,7627.8400,240.0164,-3461.0730,3094.6135,8140.8938
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,2.2499,1.026600,957.3920,-2675.0500,7618.1600,235.8094,-3459.2710,3084.9335,8130.7351
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,2.3379,1.025300,957.9930,-2678.0540,7624.9360,236.4104,-3462.2750,3091.7095,8138.1431
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,2.4259,1.027700,956.7910,-2679.8580,7622.0310,235.2084,-3464.0790,3088.8045,8135.8739
2,75,holding,disp_hold,3.6000,3.5800,-7.2100,2.5139,1.025300,951.3820,-2674.4490,7615.2560,229.7994,-3458.6700,3082.0295,8127.1107
