trial,hold_label,phase,control_mode,d_target_mm,d_actual_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.0000,1.024100,1022.9010,-2084.8680,8098.2880,263.5700,-3149.6533,3474.9609,8424.6822
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.0429,1.024000,1029.5120,-2088.4730,8099.2560,270.1810,-3153.2583,3475.9289,8427.3105
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.1307,1.024900,1028.9120,-2086.0700,8094.4160,269.5810,-3150.8553,3471.0889,8421.9902
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.2187,1.023700,1021.6990,-2084.2660,8096.3510,262.3680,-3149.0513,3473.0239,8422.5253
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.3067,1.024400,1025.3050,-2084.2660,8105.0640,265.9740,-3149.0513,3481.7369,8431.3390
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.3945,1.023600,1022.3000,-2085.4680,8096.3510,262.9690,-3150.2533,3473.0239,8422.8958
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.4828,1.025200,1024.7040,-2082.4640,8096.3510,265.3730,-3147.2493,3473.0239,8422.4447
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.5709,1.022500,1024.7040,-2085.4680,8098.2880,265.3730,-3150.2533,3474.9609,8425.0498
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.6588,1.022600,1027.1080,-2086.0700,8102.1600,267.7770,-3150.8553,3478.8329,8429.2132
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.7469,1.024000,1022.9010,-2082.4640,8099.2560,263.5700,-3147.2493,3475.9289,8425.0181
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.8348,1.024500,1024.1030,-2084.8680,8099.2560,264.7720,-3149.6533,3475.9289,8425.7587
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,0.9227,1.026000,1029.5120,-2084.8680,8096.3510,270.1810,-3149.6533,3473.0239,8423.6256
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.0109,1.022900,1023.5020,-2085.4680,8095.3830,264.1710,-3150.2533,3472.0559,8422.1113
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.0989,1.023100,1022.3000,-2086.0700,8093.4480,262.9690,-3150.8553,3470.1209,8420.2545
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.1868,1.022500,1018.0930,-2084.2660,8100.2260,258.7620,-3149.0513,3476.8989,8425.8139
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.2750,1.023000,1029.5120,-2077.6560,8107.9680,270.1810,-3142.4413,3484.6409,8433.0122
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.3629,1.023900,1028.3100,-2087.2730,8092.4800,268.9790,-3152.0583,3469.1529,8420.3541
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.4513,1.021800,1027.7090,-2084.8680,8101.1920,268.3780,-3149.6533,3477.8649,8428.0586
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.5394,1.021000,1025.9060,-2082.4640,8107.0000,266.5750,-3147.2493,3483.6729,8432.8280
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.6274,1.020700,1028.3100,-2089.0750,8097.3200,268.9790,-3153.8603,3473.9929,8425.4523
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.7154,1.023700,1029.5120,-2084.8680,8094.4160,270.1810,-3149.6533,3471.0889,8421.7658
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.8033,1.024400,1024.7040,-2082.4640,8100.2260,265.3730,-3147.2493,3476.8989,8426.1697
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.8912,1.020200,1026.5070,-2090.8780,8094.4160,267.1760,-3155.6633,3471.0889,8422.8889
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,1.9795,1.020000,1025.3050,-2085.4680,8098.2880,265.9740,-3150.2533,3474.9609,8425.1229
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.0673,1.019400,1031.3150,-2089.0750,8096.3510,271.9840,-3153.8603,3473.0239,8424.8884
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.1559,1.018300,1024.7040,-2086.0700,8101.1920,265.3730,-3150.8553,3477.8649,8427.9902
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.2434,1.019200,1028.9120,-2083.6660,8097.3200,269.5810,-3148.4513,3473.9929,8424.1863
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.3314,1.020300,1024.7040,-2084.2660,8094.4160,265.3730,-3149.0513,3471.0889,8421.0304
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.4194,1.019100,1025.9060,-2086.0700,8099.2560,266.5750,-3150.8553,3475.9289,8426.2755
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.5074,1.018000,1019.2950,-2084.8680,8088.6080,259.9640,-3149.6533,3465.2809,8414.9401
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.5956,1.018900,1020.4970,-2087.8730,8100.2260,261.1660,-3152.6583,3476.8989,8426.9976
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.6837,1.020000,1022.3000,-2089.0750,8101.1920,262.9690,-3153.8603,3477.8649,8428.4425
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.7716,1.019100,1027.7090,-2086.0700,8101.1920,268.3780,-3150.8553,3477.8649,8428.3560
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.8595,1.017300,1029.5120,-2093.2820,8092.4800,270.1810,-3158.0673,3469.1529,8421.9925
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,2.9476,1.018600,1023.5020,-2089.6750,8099.2560,264.1710,-3154.4603,3475.9289,8426.8764
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,3.0356,1.020700,1016.2900,-2084.2660,8095.3830,256.9590,-3149.0513,3472.0559,8420.9403
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,3.1236,1.020200,1026.5070,-2084.8680,8096.3510,267.1760,-3149.6533,3473.0239,8423.2589
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,3.2117,1.020900,1024.7040,-2089.6750,8099.2560,265.3730,-3154.4603,3475.9289,8427.0225
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,3.2999,1.022200,1023.5020,-2085.4680,8099.2560,264.1710,-3150.2533,3475.9289,8425.8341
1,75,holding,disp_hold,3.6000,3.5800,-7.1700,3.3878,1.018100,1025.9060,-2085.4680,8094.4160,266.5750,-3150.2533,3471.0889,8421.4744
