trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,250,holding,force_hold,2.50000,2.438600,-0.061400,4.5700,-8.0000,0.0000,down,4.6000,-0.0300,-1102.2330,12744.8000,489.8080,-768.9834,7376.7528,108.8239,12801.7482
1,250,holding,force_hold,2.50000,2.438500,-0.061500,4.6000,-8.0300,4.2091,down,4.6400,-0.0400,-1101.6320,12739.3910,483.0320,-768.3824,7371.3438,102.0479,12796.0539
1,250,holding,force_hold,2.50000,2.437900,-0.062100,4.6400,-8.0700,8.3393,down,4.6800,-0.0400,-1102.8340,12741.7970,475.2880,-769.5844,7373.7498,94.3039,12798.2629
1,250,holding,force_hold,2.50000,2.437100,-0.062900,4.6800,-8.1100,12.5031,down,4.7200,-0.0400,-1100.4300,12761.0290,485.9360,-767.1804,7392.9818,104.9519,12817.6028
1,250,holding,force_hold,2.50000,2.435000,-0.065000,4.7200,-8.1500,16.6439,down,4.7600,-0.0400,-1101.6320,12756.8210,485.9360,-768.3824,7388.7738,104.9519,12813.5166
1,250,holding,force_hold,2.50000,2.437000,-0.063000,4.7600,-8.1900,20.8003,down,4.8000,-0.0400,-1104.0370,12747.2000,478.1920,-770.7874,7379.1528,97.2079,12803.8538
1,250,holding,force_hold,2.50000,2.437300,-0.062700,4.8000,-8.2300,24.9460,down,4.8400,-0.0400,-1104.0370,12744.8000,485.9360,-770.7874,7376.7528,104.9519,12801.7561
1,250,holding,force_hold,2.50000,2.436000,-0.064000,4.8400,-8.2700,29.0893,down,4.8800,-0.0400,-1099.8300,12757.4230,480.1270,-766.5804,7389.3758,99.1429,12813.7422
1,250,holding,force_hold,2.50000,2.434600,-0.065400,4.8800,-8.3100,33.2175,down,4.9200,-0.0400,-1101.6320,12746.0050,484.0000,-768.3824,7377.9578,103.0159,12802.6752
1,250,holding,force_hold,2.50000,2.436100,-0.063900,4.9200,-8.3500,37.3533,down,4.9600,-0.0400,-1099.8300,12739.3910,480.1270,-766.5804,7371.3438,99.1429,12795.7896
