trial,hold_label,phase,control_mode,F_target_N,F_N,F_error_N,d_actual_mm,mark10_pos_mm,t_rel_s,control_action,d_after_action_mm,move_delta_mm,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,200,holding,force_hold,2.00000,1.977400,-0.022600,4.3600,-7.7500,0.0000,none,4.3600,0.0000,-1008.4770,12248.3730,559.5030,-675.2274,6880.3258,178.5189,12302.5489
1,200,holding,force_hold,2.00000,1.978600,-0.021400,4.3600,-7.7500,0.0491,none,4.3600,0.0000,-1004.8710,12270.0150,557.5680,-671.6214,6901.9678,176.5839,12323.7136
1,200,holding,force_hold,2.00000,1.978200,-0.021800,4.3600,-7.7500,0.1369,none,4.3600,0.0000,-1005.4720,12254.9860,557.5680,-672.2224,6886.9388,176.5839,12308.7992
1,200,holding,force_hold,2.00000,1.978400,-0.021600,4.3600,-7.7500,0.2249,none,4.3600,0.0000,-1007.2750,12248.9760,552.7280,-674.0254,6880.9288,171.7439,12302.7446
1,200,holding,force_hold,2.00000,1.978500,-0.021500,4.3600,-7.7500,0.3129,none,4.3600,0.0000,-1009.0780,12260.3990,554.6640,-675.8284,6892.3518,173.6799,12314.3524
1,200,holding,force_hold,2.00000,1.977300,-0.022700,4.3600,-7.7500,0.4004,none,4.3600,0.0000,-1003.6690,12259.7970,552.7280,-670.4194,6891.7498,171.7439,12313.2239
1,200,holding,force_hold,2.00000,1.977100,-0.022900,4.3600,-7.7500,0.4883,none,4.3600,0.0000,-1003.0680,12256.1910,555.6310,-669.8184,6888.1438,174.6469,12309.7152
1,200,holding,force_hold,2.00000,1.976500,-0.023500,4.3600,-7.7500,0.5764,none,4.3600,0.0000,-1004.8710,12257.9940,548.8560,-671.6214,6889.9468,167.8719,12311.3535
1,200,holding,force_hold,2.00000,1.977500,-0.022500,4.3600,-7.7500,0.6644,none,4.3600,0.0000,-1004.2700,12262.2020,561.4400,-671.0204,6894.1548,180.4559,12316.0615
1,200,holding,force_hold,2.00000,1.979000,-0.021000,4.3600,-7.7500,0.7523,none,4.3600,0.0000,-1007.8760,12239.3590,550.7920,-674.6264,6871.3118,169.8079,12293.1320
1,200,holding,force_hold,2.00000,1.978200,-0.021800,4.3600,-7.7500,0.8402,none,4.3600,0.0000,-999.4620,12264.0000,553.6960,-666.2124,6895.9528,172.7119,12317.1100
1,200,holding,force_hold,2.00000,1.976900,-0.023100,4.3600,-7.7500,0.9282,none,4.3600,0.0000,-1005.4720,12257.9940,553.6960,-672.2224,6889.9468,172.7119,12311.6193
1,200,holding,force_hold,2.00000,1.975900,-0.024100,4.3600,-7.7500,1.0160,none,4.3600,0.0000,-1007.2750,12262.2020,557.5680,-674.0254,6894.1548,176.5839,12316.1310
1,200,holding,force_hold,2.00000,1.977800,-0.022200,4.3600,-7.7500,1.1039,none,4.3600,0.0000,-1004.8710,12256.1910,551.7600,-671.6214,6888.1438,170.7759,12309.6882
1,200,holding,force_hold,2.00000,1.979200,-0.020800,4.3600,-7.7500,1.1918,none,4.3600,0.0000,-1006.0730,12253.7860,557.5680,-672.8234,6885.7388,176.5839,12307.6536
1,200,holding,force_hold,2.00000,1.978700,-0.021300,4.3600,-7.7500,1.2798,none,4.3600,0.0000,-1004.2700,12253.7860,558.5360,-671.0204,6885.7388,177.5519,12307.5502
1,200,holding,force_hold,2.00000,1.976400,-0.023600,4.3600,-7.7500,1.3676,none,4.3600,0.0000,-1004.8710,12276.0210,557.5680,-671.6214,6907.9738,176.5839,12329.6934
1,200,holding,force_hold,2.00000,1.974800,-0.025200,4.3600,-7.7500,1.4554,none,4.3600,0.0000,-1005.4720,12257.9940,555.6310,-672.2224,6889.9468,174.6469,12311.7065
1,200,holding,force_hold,2.00000,1.974900,-0.025100,4.3600,-7.7500,1.5434,none,4.3600,0.0000,-1007.8760,12262.2020,558.5360,-674.6264,6894.1548,177.5519,12316.2240
1,200,holding,force_hold,2.00000,1.975500,-0.024500,4.3600,-7.7500,1.6312,none,4.3600,0.0000,-1007.2750,12259.7970,555.6310,-674.0254,6891.7498,174.6469,12313.6490
1,200,holding,force_hold,2.00000,1.977100,-0.022900,4.3600,-7.7500,1.7193,none,4.3600,0.0000,-1003.0680,12266.4050,558.5360,-669.8184,6898.3578,177.5519,12320.0162
1,200,holding,force_hold,2.00000,1.977100,-0.022900,4.3600,-7.7500,1.8072,none,4.3600,0.0000,-998.8610,12254.3890,560.4720,-665.6114,6886.3418,179.4879,12307.7984
1,200,holding,force_hold,2.00000,1.976400,-0.023600,4.3600,-7.7500,1.8952,none,4.3600,0.0000,-1008.4770,12246.5750,553.6960,-675.2274,6878.5278,172.7119,12300.4961
1,200,holding,force_hold,2.00000,1.976600,-0.023400,4.3600,-7.7500,1.9831,none,4.3600,0.0000,-1003.6690,12255.5890,554.6640,-670.4194,6887.5418,173.6799,12309.1212
1,200,holding,force_hold,2.00000,1.975200,-0.024800,4.3600,-7.7500,2.0710,none,4.3600,0.0000,-1007.2750,12258.5920,549.8240,-674.0254,6890.5448,168.8399,12312.1886
1,200,holding,force_hold,2.00000,1.973600,-0.026400,4.3600,-7.7500,2.1590,none,4.3600,0.0000,-997.0580,12248.3730,561.4400,-663.8084,6880.3258,180.4559,12301.7064
1,200,holding,force_hold,2.00000,1.975600,-0.024400,4.3600,-7.7500,2.2469,none,4.3600,0.0000,-1006.0730,12269.4080,554.6640,-672.8234,6901.3608,173.6799,12323.0762
1,200,holding,force_hold,2.00000,1.974400,-0.025600,4.3600,-7.7500,2.3348,none,4.3600,0.0000,-1003.0680,12269.4080,558.5360,-669.8184,6901.3608,177.5519,12323.0061
1,200,holding,force_hold,2.00000,1.973400,-0.026600,4.3600,-7.7500,2.4226,none,4.3600,0.0000,-1003.0680,12249.5780,550.7920,-669.8184,6881.5308,169.8079,12302.9134
1,200,holding,force_hold,2.00000,1.974600,-0.025400,4.3600,-7.7500,2.5105,none,4.3600,0.0000,-1006.0730,12250.1810,554.6640,-672.8234,6882.1338,173.6799,12303.9331
1,200,holding,force_hold,2.00000,1.974100,-0.025900,4.3600,-7.7500,2.5984,none,4.3600,0.0000,-1003.0680,12257.3910,557.5680,-669.8184,6889.3438,176.5839,12310.9976
1,200,holding,force_hold,2.00000,1.971900,-0.028100,4.3600,-7.7500,2.6862,none,4.3600,0.0000,-1008.4770,12265.8070,558.5360,-675.2274,6897.7598,177.5519,12319.8624
1,200,holding,force_hold,2.00000,1.970300,-0.029700,4.3600,-7.7500,2.7742,none,4.3600,0.0000,-998.8610,12254.9860,554.6640,-665.6114,6886.9388,173.6799,12308.1297
1,200,holding,force_hold,2.00000,1.970700,-0.029300,4.3600,-7.7500,2.8622,none,4.3600,0.0000,-997.6590,12260.9970,555.6310,-664.4094,6892.9498,174.6469,12314.0609
1,200,holding,force_hold,2.00000,1.971300,-0.028700,4.3600,-7.7500,2.9501,none,4.3600,0.0000,-1002.4670,12260.3990,550.7920,-669.2174,6892.3518,169.8079,12313.6386
1,200,holding,force_hold,2.00000,1.971600,-0.028400,4.3600,-7.7500,3.0381,down,4.3800,-0.0200,-1003.0680,12258.5920,554.6640,-669.8184,6890.5448,173.6799,12312.0622
1,200,holding,force_hold,2.00000,1.971700,-0.028300,4.3800,-7.7700,7.2846,down,4.4000,-0.0200,-1002.4670,12275.4230,549.8240,-669.2174,6907.3758,168.8399,12328.5545
1,200,holding,force_hold,2.00000,1.972100,-0.027900,4.4000,-7.7900,11.4314,down,4.4200,-0.0200,-1005.4720,12277.2260,560.4720,-672.2224,6909.1788,179.4879,12331.0738
1,200,holding,force_hold,2.00000,1.970900,-0.029100,4.4200,-7.8100,15.5806,down,4.4400,-0.0200,-1000.0630,12264.6070,553.6960,-666.8134,6896.5598,172.7119,12317.7632
1,200,holding,force_hold,2.00000,1.971200,-0.028800,4.4400,-7.8300,19.7461,down,4.4600,-0.0200,-1002.4670,12271.8130,557.5680,-669.2174,6903.7658,176.5839,12325.3080
1,200,holding,force_hold,2.00000,1.971600,-0.028400,4.4600,-7.8500,23.9087,down,4.4800,-0.0200,-1006.0730,12276.0210,553.6960,-672.8234,6907.9738,172.7119,12329.6169
1,200,holding,force_hold,2.00000,1.970900,-0.029100,4.4800,-7.8700,28.0829,down,4.5000,-0.0200,-1003.0680,12270.0150,549.8240,-669.8184,6901.9678,168.8399,12323.2187
1,200,holding,force_hold,2.00000,1.971700,-0.028300,4.5000,-7.8900,32.2362,down,4.5200,-0.0200,-1004.8710,12244.1700,548.8560,-671.6214,6876.1228,167.8719,12297.5895
1,200,holding,force_hold,2.00000,1.970400,-0.029600,4.5200,-7.9100,36.3648,down,4.5500,-0.0300,-1002.4670,12267.6100,554.6640,-669.2174,6899.5628,173.6799,12320.9921
1,200,holding,force_hold,2.00000,1.970400,-0.029600,4.5500,-7.9400,40.5060,down,4.5700,-0.0200,-1003.6690,12254.3890,555.6310,-670.4194,6886.3418,174.6469,12307.9701
1,200,holding,force_hold,2.00000,1.969700,-0.030300,4.5700,-7.9600,44.6420,down,4.5900,-0.0200,-1010.8810,12265.8070,554.6640,-677.6314,6897.7598,173.6799,12319.8845
1,200,holding,force_hold,2.00000,1.969800,-0.030200,4.5900,-7.9800,48.8010,down,4.6100,-0.0200,-1007.8760,12254.9860,550.7920,-674.6264,6886.9388,169.8079,12308.6907
1,200,holding,force_hold,2.00000,1.970500,-0.029500,4.6100,-8.0000,52.9757,down,4.6200,-0.0100,-1002.4670,12277.8240,555.6310,-669.2174,6909.7768,174.6469,12331.2055
1,200,holding,force_hold,2.00000,1.968800,-0.031200,4.6200,-8.0100,57.1027,down,4.6400,-0.0200,-1004.8710,12262.8000,556.5990,-671.6214,6894.7528,175.6149,12316.4862
1,200,holding,force_hold,2.00000,1.968600,-0.031400,4.6400,-8.0300,61.2366,down,4.6400,0.0000,-1003.0680,12258.5920,564.3440,-669.8184,6890.5448,183.3599,12312.5021
