trial,phase,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
1,loading,1,0.0000,0.0000,-6.0000,-0.03265,0.00170,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,2,0.3500,0.3300,-6.3300,-0.04970,0.00104,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,3,0.7000,0.6900,-6.6900,-0.01255,0.00111,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,4,1.0500,1.0300,-7.0300,0.05735,0.00178,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,5,1.4000,1.3900,-7.3900,0.15810,0.00126,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,6,1.7500,1.7300,-7.7300,0.29450,0.00237,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,7,2.1000,2.0700,-8.0700,0.46410,0.00200,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,8,2.4500,2.4300,-8.4300,0.68350,0.00237,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,9,2.8000,2.8000,-8.8000,0.98940,0.00385,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,10,3.1500,3.1300,-9.1300,1.39755,0.00556,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,loading,11,3.5000,3.5000,-9.5000,1.93405,0.00771,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,1,3.1500,3.1500,-9.1500,1.02560,0.00356,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,2,2.8000,2.8100,-8.8100,0.62740,0.00208,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,3,2.4500,2.4700,-8.4700,0.38045,0.00326,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,4,2.1000,2.1300,-8.1300,0.22570,0.00119,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,5,1.7500,1.7900,-7.7900,0.11435,0.00245,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,6,1.4000,1.4100,-7.4100,0.02550,0.00059,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,7,1.0500,1.0700,-7.0700,-0.02470,0.00148,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,8,0.7000,0.7300,-6.7300,-0.05230,0.00208,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,9,0.3500,0.3900,-6.3900,-0.05970,0.00111,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,unloading,10,0.0000,0.0500,-6.0500,-0.04230,0.00148,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
