trial,phase,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
2,loading,1,0.0000,0.0000,-5.8100,-0.02750,0.00044,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,2,0.3500,0.3400,-6.1500,-0.03980,0.00126,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,3,0.7000,0.6900,-6.5000,-0.04370,0.00126,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,4,1.0500,1.0400,-6.8500,0.00545,0.00067,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,5,1.4000,1.3800,-7.1900,0.08925,0.00133,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,6,1.7500,1.7400,-7.5500,0.20940,0.00185,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,7,2.1000,2.0800,-7.8900,0.35980,0.00237,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,8,2.4500,2.4500,-8.2600,0.55180,0.00222,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,9,2.8000,2.7800,-8.5900,0.81075,0.00178,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,10,3.1500,3.1500,-8.9600,1.16235,0.00363,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,loading,11,3.5000,3.4900,-9.3000,1.64165,0.00652,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,1,3.1500,3.2000,-9.0100,0.92460,0.00297,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,2,2.8000,2.8000,-8.6100,0.50720,0.00178,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,3,2.4500,2.4600,-8.2700,0.30050,0.00222,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,4,2.1000,2.1300,-7.9400,0.16715,0.00185,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,5,1.7500,1.7400,-7.5500,0.05800,0.00193,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,6,1.4000,1.4000,-7.2100,-0.00525,0.00082,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,7,1.0500,1.0600,-6.8700,-0.04305,0.00119,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,8,0.7000,0.7200,-6.5300,-0.06015,0.00222,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,9,0.3500,0.3400,-6.1500,-0.04860,0.00119,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,unloading,10,0.0000,0.0000,-5.8100,-0.03335,0.00119,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
