trial,phase,step,d_target_mm,d_actual_mm,mark10_pos_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,sigma_Bx_uT,sigma_By_uT,sigma_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT
3,loading,1,0.0000,0.0000,-5.9800,-0.03225,0.00111,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,2,0.3500,0.3300,-6.3100,-0.04820,0.00104,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,3,0.7000,0.6900,-6.6700,-0.02380,0.00067,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,4,1.0500,1.0300,-7.0100,0.04110,0.00148,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,5,1.4000,1.3900,-7.3700,0.14030,0.00089,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,6,1.7500,1.7300,-7.7100,0.27590,0.00163,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,7,2.1000,2.0900,-8.0700,0.44715,0.00163,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,8,2.4500,2.4400,-8.4200,0.66695,0.00274,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,9,2.8000,2.7900,-8.7700,0.97240,0.00363,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,10,3.1500,3.1300,-9.1100,1.38755,0.00571,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,loading,11,3.5000,3.4900,-9.4700,1.94510,0.00882,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,1,3.1500,3.1500,-9.1300,1.03255,0.00222,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,2,2.8000,2.8200,-8.8000,0.62850,0.00341,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,3,2.4500,2.4800,-8.4600,0.38430,0.00141,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,4,2.1000,2.1300,-8.1100,0.22525,0.00185,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,5,1.7500,1.7500,-7.7300,0.09870,0.00148,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,6,1.4000,1.4100,-7.3900,0.02425,0.00215,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,7,1.0500,1.0700,-7.0500,-0.02535,0.00141,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,8,0.7000,0.7300,-6.7100,-0.05300,0.00230,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,9,0.3500,0.3500,-6.3300,-0.05715,0.00111,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,unloading,10,0.0000,0.0200,-6.0000,-0.04005,0.00119,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
