phase,step,mark10_pos_mm,d_compression_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,Bmag_uT,note
approach,1,-0.0900,nan,0.00605,0.00504,12,-855.2995,6432.1327,1702.8992,6708.4823,
approach,2,-0.1900,nan,0.00555,0.00282,12,-857.1025,6430.0971,1702.8991,6706.7607,
approach,3,-0.2900,nan,0.00830,0.00297,12,-856.0233,6428.3339,1705.1963,6705.5162,
approach,4,-0.3900,nan,0.00845,0.00170,12,-856.4822,6427.6932,1704.5853,6704.8052,
approach,5,-0.5000,nan,0.00925,0.00556,12,-855.2608,6425.5992,1704.5230,6702.6260,
approach,6,-0.5900,nan,0.01165,0.00319,12,-856.6179,6425.7155,1703.8984,6702.7520,
approach,7,-0.7000,nan,0.01125,0.00541,12,-856.9862,6424.6683,1704.2419,6701.8825,
approach,8,-0.7900,nan,0.01545,0.00371,12,-856.3077,6422.7106,1704.1482,6699.8952,
approach,9,-0.9000,nan,0.01435,0.00460,12,-856.5985,6423.1949,1703.6797,6700.2775,
approach,10,-1.0000,nan,0.01440,0.00623,12,-855.7067,6420.3449,1703.9295,6697.4949,
approach,11,-1.1000,nan,0.01975,0.00423,12,-856.2689,6419.8993,1704.1795,6697.2032,
approach,12,-1.1900,nan,0.02085,0.00482,12,-855.0669,6419.9962,1704.3667,6697.1902,
approach,13,-1.2900,nan,0.02525,0.00482,12,-856.1526,6419.3374,1704.5540,6696.7450,
approach,14,-1.3900,nan,0.02125,0.00326,12,-856.8699,6418.9492,1705.7719,6696.7748,
approach,15,-1.5000,nan,0.02735,0.00282,12,-856.4434,6418.3482,1706.0528,6696.2157,
approach,16,-1.5900,nan,0.02875,0.00934,12,-856.3852,6416.9524,1702.1496,6693.8768,
approach,17,-1.6900,nan,0.03515,0.00482,12,-855.6097,6415.6922,1705.7720,6693.4918,
approach,18,-1.7900,nan,0.03260,0.00170,12,-856.6373,6415.7310,1705.1787,6693.5093,
approach,19,-1.9000,nan,0.03575,0.00563,12,-856.5985,6415.9052,1705.6470,6693.7906,
approach,20,-2.0000,nan,0.04280,0.00393,12,-855.9393,6415.2075,1705.4596,6692.9898,
approach,21,-2.0900,nan,0.04385,0.00326,12,-857.5097,6414.9747,1705.2411,6692.9120,
approach,22,-2.2000,nan,0.04410,0.00474,12,-856.7536,6414.1218,1704.6166,6691.8385,
approach,23,-2.2900,nan,0.04185,0.00237,12,-856.6760,6412.4545,1704.1794,6690.1192,
approach,24,-2.3900,nan,0.05270,0.00504,12,-857.3934,6412.2218,1704.6165,6690.0993,
approach,25,-2.5000,nan,0.05635,0.00608,12,-856.1526,6412.4933,1704.5853,6690.1927,
approach,26,-2.5900,nan,0.05970,0.00719,12,-858.1107,6411.4270,1706.2402,6689.8435,
approach,27,-2.7000,nan,0.06160,0.00423,12,-858.5676,6411.2655,1704.0993,6689.2016,
approach,28,-2.7900,nan,0.05990,0.00371,12,-856.4822,6409.8376,1704.6479,6687.7055,
approach,29,-2.8900,nan,0.06260,0.00541,12,-857.9556,6411.5819,1706.2403,6689.9720,
approach,30,-3.0000,nan,0.06165,0.00259,12,-857.3546,6408.6933,1705.0849,6686.8320,
approach,31,-3.0900,nan,0.06530,0.00311,12,-856.9475,6408.0537,1705.0850,6686.1668,
approach,32,-3.1900,nan,0.06390,0.00334,12,-856.7924,6408.1117,1705.1473,6686.2184,
approach,33,-3.2900,nan,0.06595,0.00326,12,-857.2576,6406.2701,1704.7727,6684.4175,
approach,34,-3.3900,nan,0.06570,0.00578,12,-855.5710,6407.2201,1704.2106,6684.9686,
approach,35,-3.5000,nan,0.07225,0.00400,12,-858.2270,6404.8552,1705.0537,6683.2576,
approach,36,-3.5900,nan,0.06805,0.00511,12,-857.2964,6404.7773,1705.1160,6683.0794,
approach,37,-3.6900,nan,0.07045,0.00556,12,-857.5485,6405.3011,1705.5846,6683.7332,
approach,38,-3.7900,nan,0.06910,0.00460,12,-857.2576,6403.4784,1705.2411,6681.8615,
approach,39,-3.8900,nan,0.07070,0.00304,12,-858.4403,6402.9939,1704.5229,6681.3658,
