time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780360221.593593,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.770400,1.80000,1.770400,-0.029600,4.9000,4.1600,4.1600,,-7.5300,0.0000,-1075.7890,12330.7140,397.8480,-1075.7890,12330.7140,397.8480,-685.8325,6757.3761,41.9512,12383.9458,,,
1780360221.593593,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.768900,1.80000,1.768900,-0.031100,4.9000,4.1600,4.1600,,-7.5300,0.0004,-1075.7890,12322.9010,393.0070,-1075.7890,12322.9010,393.0070,-685.8325,6749.5631,37.1102,12376.0117,,,
1780360221.597228,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.770000,1.80000,1.770000,-0.030000,4.9000,4.1600,4.1600,,-7.5300,0.0008,-1074.5870,12319.2960,405.5910,-1074.5870,12319.2960,405.5910,-684.6305,6745.9581,49.6942,12372.7238,,,
1780360221.685108,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.770700,1.80000,1.770700,-0.029300,4.9000,4.1600,4.1600,,-7.5300,0.0038,-1071.5820,12319.2960,396.8800,-1071.5820,12319.2960,396.8800,-681.6255,6745.9581,40.9832,12372.1807,,,
1780360221.773251,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.770600,1.80000,1.770600,-0.029400,4.9000,4.1600,4.1600,,-7.5300,0.0919,-1078.1930,12323.5030,406.5600,-1078.1930,12323.5030,406.5600,-688.2365,6750.1651,50.6632,12377.2581,,,
1780360221.861251,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.769800,1.80000,1.769800,-0.030200,4.9000,4.1600,4.1600,,-7.5300,0.1799,-1076.3900,12305.4710,400.7510,-1076.3900,12305.4710,400.7510,-686.4335,6732.1331,44.8542,12358.9576,,,
1780360221.949255,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.771500,1.80000,1.771500,-0.028500,4.9000,4.1600,4.1600,,-7.5300,0.2679,-1071.5820,12305.4710,397.8480,-1071.5820,12305.4710,397.8480,-681.6255,6732.1331,41.9512,12358.4460,,,
1780360222.037307,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.769900,1.80000,1.769900,-0.030100,4.9000,4.1600,4.1600,,-7.5300,0.3559,-1078.1930,12312.0800,402.6880,-1078.1930,12312.0800,402.6880,-688.2365,6738.7421,46.7912,12365.7580,,,
1780360222.125252,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.769200,1.80000,1.769200,-0.030800,4.9000,4.1600,4.1600,,-7.5300,0.4439,-1079.9960,12326.5060,400.7510,-1079.9960,12326.5060,400.7510,-690.0395,6753.1681,44.8542,12380.2158,,,
1780360222.213044,session_20260601_201708,2,2,1,Jplus,loading_target,holding,same_force_path_pair,direct_loading,180,1.80000,1.767900,1.80000,1.767900,-0.032100,4.9000,4.1600,4.1600,,-7.5300,0.5321,-1073.9860,12321.0980,404.6240,-1073.9860,12321.0980,404.6240,-684.0295,6747.7601,48.7272,12374.4342,,,
