time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780411726.860442,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.080300,2.20000,2.080300,-0.119700,nan,4.1000,4.1000,,-7.8500,1.2416,-3334.3470,10143.0770,8411.9200,-3334.3470,10143.0770,8411.9200,-1859.8646,4748.8188,4472.2859,13592.6553,,,
1780411726.948159,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.080700,2.20000,2.080700,-0.119300,nan,4.1000,4.1000,,-7.8500,1.3297,-3328.9370,10143.0770,8411.9200,-3328.9370,10143.0770,8411.9200,-1854.4546,4748.8188,4472.2859,13591.3292,,,
1780411727.036964,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.080400,2.20000,2.080400,-0.119600,nan,4.1000,4.1000,,-7.8500,1.4179,-3327.7350,10144.2720,8410.9540,-3327.7350,10144.2720,8410.9540,-1853.2526,4750.0138,4471.3199,13591.3289,,,
1780411727.125111,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.080400,2.20000,2.080400,-0.119600,nan,4.1000,4.1000,,-7.8500,1.5059,-3329.5390,10138.8690,8409.9840,-3329.5390,10138.8690,8409.9840,-1855.0566,4744.6108,4470.3499,13587.1382,,,
1780411727.213483,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.079800,2.20000,2.079800,-0.120200,nan,4.1000,4.1000,,-7.8500,1.5943,-3334.9470,10135.8560,8409.9840,-3334.9470,10135.8560,8409.9840,-1860.4646,4741.5978,4470.3499,13586.2165,,,
1780411727.301832,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.079100,2.20000,2.079100,-0.120900,nan,4.1000,4.1000,,-7.8500,1.6825,-3330.1400,10141.8720,8417.7280,-3330.1400,10141.8720,8417.7280,-1855.6576,4747.6138,4478.0939,13594.3203,,,
1780411727.389239,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.079600,2.20000,2.079600,-0.120400,nan,4.1000,4.1000,,-7.8500,1.7705,-3333.7460,10139.4710,8409.9840,-3333.7460,10139.4710,8409.9840,-1859.2636,4745.2128,4470.3499,13588.6190,,,
1780411727.478787,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.080400,2.20000,2.080400,-0.119600,nan,4.1000,4.1000,,-7.8500,1.8587,-3334.9470,10147.2800,8417.7280,-3334.9470,10147.2800,8417.7280,-1860.4646,4753.0218,4478.0939,13599.5334,,,
1780411727.565751,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.080700,2.20000,2.080700,-0.119300,nan,4.1000,4.1000,,-7.8500,1.9476,-3333.1440,10142.4740,8412.8900,-3333.1440,10142.4740,8412.8900,-1858.6616,4748.2158,4473.2559,13592.5107,,,
1780411727.654347,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.082100,2.20000,2.082100,-0.117900,nan,4.1000,4.1000,,-7.8500,2.0348,-3336.7510,10141.8720,8415.7910,-3336.7510,10141.8720,8415.7910,-1862.2686,4747.6138,4476.1569,13594.7421,,,
1780411727.742491,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.080100,2.20000,2.080100,-0.119900,nan,4.1000,4.1000,,-7.8500,2.1232,-3333.7460,10140.0640,8417.7280,-3333.7460,10140.0640,8417.7280,-1859.2636,4745.8058,4478.0939,13593.8554,,,
1780411727.830654,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.077500,2.20000,2.077500,-0.122500,nan,4.1000,4.1000,,-7.8500,2.2115,-3333.7460,10135.2630,8412.8900,-3333.7460,10135.2630,8412.8900,-1859.2636,4741.0048,4473.2559,13587.2785,,,
1780411727.918823,session_20260602_103531,1,1,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.077900,2.20000,2.077900,-0.122100,nan,4.1000,4.1000,,-7.8500,2.2995,-3333.1440,10134.6610,8406.1110,-3333.1440,10134.6610,8406.1110,-1858.6616,4740.4028,4466.4769,13582.4852,,,
