time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,note
1780413503.175645,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.150100,2.20000,2.150100,-0.049900,nan,4.3200,4.3200,,-7.8900,0.0000,-3354.7810,10236.2290,8455.4820,-3354.7810,10236.2290,8455.4820,-1880.2986,4841.9708,4515.8479,13694.1636,,,
1780413503.176649,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.147200,2.20000,2.147200,-0.052800,nan,4.3200,4.3200,,-7.8900,0.0005,-3361.9930,10237.4340,8450.6400,-3361.9930,10237.4340,8450.6400,-1887.5106,4843.1758,4511.0059,13693.8442,,,
1780413503.182172,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.146400,2.20000,2.146400,-0.053600,nan,4.3200,4.3200,,-7.8900,0.0010,-3360.7910,10226.6130,8452.5760,-3360.7910,10226.6130,8452.5760,-1886.3086,4832.3548,4512.9419,13686.6567,,,
1780413503.270714,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.147700,2.20000,2.147700,-0.052300,nan,4.3200,4.3200,,-7.8900,0.0071,-3356.5840,10226.6130,8446.7670,-3356.5840,10226.6130,8446.7670,-1882.1016,4832.3548,4507.1329,13682.0372,,,
1780413503.358959,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.146700,2.20000,2.146700,-0.053300,nan,4.3200,4.3200,,-7.8900,0.0955,-3357.1840,10233.2260,8457.4180,-3357.1840,10233.2260,8457.4180,-1882.7016,4838.9678,4517.7839,13693.7036,,,
1780413503.447089,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.147200,2.20000,2.147200,-0.052800,nan,4.3200,4.3200,,-7.8900,0.1837,-3359.5890,10238.0310,8453.5460,-3359.5890,10238.0310,8453.5460,-1885.1066,4843.7728,4513.9119,13695.4940,,,
1780413503.535248,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.148900,2.20000,2.148900,-0.051100,nan,4.3200,4.3200,,-7.8900,0.2717,-3360.7910,10233.2260,8448.7030,-3360.7910,10233.2260,8448.7030,-1886.3086,4838.9678,4509.0689,13689.2079,,,
1780413503.623747,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.147800,2.20000,2.147800,-0.052200,nan,4.3200,4.3200,,-7.8900,0.3600,-3361.3910,10232.0210,8446.7670,-3361.3910,10232.0210,8446.7670,-1886.9086,4837.7628,4507.1329,13687.2596,,,
1780413503.711037,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.147400,2.20000,2.147400,-0.052600,nan,4.3200,4.3200,,-7.8900,0.4481,-3360.7910,10233.8240,8442.8960,-3360.7910,10233.8240,8442.8960,-1886.3086,4839.5658,4503.2619,13686.0718,,,
1780413503.798881,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.147400,2.20000,2.147400,-0.052600,nan,4.3200,4.3200,,-7.8900,0.5362,-3363.7960,10232.6240,8452.5760,-3363.7960,10232.6240,8452.5760,-1889.3136,4838.3658,4512.9419,13691.8866,,,
1780413503.887394,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.146200,2.20000,2.146200,-0.053800,nan,4.3200,4.3200,,-7.8900,0.6242,-3361.3910,10234.4260,8454.5120,-3361.3910,10234.4260,8454.5120,-1886.9086,4840.1678,4514.8779,13693.8380,,,
1780413503.975888,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.145800,2.20000,2.145800,-0.054200,nan,4.3200,4.3200,,-7.8900,0.7124,-3357.7860,10230.8210,8452.5760,-3357.7860,10230.8210,8452.5760,-1883.3036,4836.5628,4512.9419,13689.0637,,,
1780413504.064047,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.145300,2.20000,2.145300,-0.054700,nan,4.3200,4.3200,,-7.8900,0.8006,-3355.9830,10233.8240,8458.3840,-3355.9830,10233.8240,8458.3840,-1881.5006,4839.5658,4518.7499,13694.4527,,,
1780413504.152524,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.146400,2.20000,2.146400,-0.053600,nan,4.3200,4.3200,,-7.8900,0.8887,-3357.1840,10236.8310,8449.6740,-3357.1840,10236.8310,8449.6740,-1882.7016,4842.5728,4510.0399,13691.6173,,,
1780413504.240528,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.147900,2.20000,2.147900,-0.052100,nan,4.3200,4.3200,,-7.8900,0.9769,-3358.3860,10242.2390,8459.3540,-3358.3860,10242.2390,8459.3540,-1883.9036,4847.9808,4519.7199,13701.9300,,,
1780413504.328641,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.146300,2.20000,2.146300,-0.053700,nan,4.3200,4.3200,,-7.8900,1.0650,-3359.5890,10230.2180,8444.8320,-3359.5890,10230.2180,8444.8320,-1885.1066,4835.9598,4505.1979,13684.2751,,,
1780413504.416447,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.145700,2.20000,2.145700,-0.054300,nan,4.3200,4.3200,,-7.8900,1.1530,-3359.5890,10232.6240,8449.6740,-3359.5890,10232.6240,8449.6740,-1885.1066,4838.3658,4510.0399,13689.0622,,,
1780413504.504056,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.143800,2.20000,2.143800,-0.056200,nan,4.3200,4.3200,,-7.8900,1.2410,-3357.7860,10229.6160,8454.5120,-3357.7860,10229.6160,8454.5120,-1883.3036,4835.3578,4514.8779,13689.3588,,,
1780413504.592872,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.143300,2.20000,2.143300,-0.056700,nan,4.3200,4.3200,,-7.8900,1.3293,-3363.1950,10238.0310,8454.5120,-3363.1950,10238.0310,8454.5120,-1888.7126,4843.7728,4514.8779,13696.9753,,,
1780413504.681018,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.145000,2.20000,2.145000,-0.055000,nan,4.3200,4.3200,,-7.8900,1.4175,-3364.3970,10233.8240,8446.7670,-3364.3970,10233.8240,8446.7670,-1889.9146,4839.5658,4507.1329,13689.3460,,,
1780413504.769300,session_20260602_103531,3,3,2,Jplus,loading_target,holding,same_force_path_pair,direct_loading,220,2.20000,2.144400,2.20000,2.144400,-0.055600,nan,4.3200,4.3200,,-7.8900,1.5056,-3362.5930,10237.4340,8451.6100,-3362.5930,10237.4340,8451.6100,-1888.1106,4843.1758,4511.9759,13694.5901,,,
