phase,step,mark10_pos_mm,d_compression_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,Bmag_uT,note
approach,1,-0.1900,nan,-0.00160,0.00089,13,145.5300,-2656.0198,267.9904,2673.4695,
approach,2,-0.3900,nan,0.00015,0.00141,12,145.3200,-2656.1096,267.9904,2673.5473,
approach,3,-0.5700,nan,0.00080,0.00133,12,145.6500,-2655.9598,268.5710,2673.4747,
approach,4,-0.7900,nan,0.00060,0.00111,12,145.7400,-2656.0500,268.0390,2673.5158,
approach,5,-1.0000,nan,0.00080,0.00170,12,145.5298,-2655.6300,268.5228,2673.1356,
approach,6,-1.1900,nan,-0.00010,0.00148,13,145.8998,-2656.3495,268.2970,2673.8479,
approach,7,-1.3900,nan,0.00140,0.00089,12,145.5998,-2656.0998,268.7808,2673.6321,
approach,8,-1.5900,nan,0.00100,0.00156,12,145.5598,-2656.0196,268.7650,2673.5487,
approach,9,-1.7900,nan,0.00030,0.00074,13,145.5298,-2656.1996,268.8620,2673.7356,
approach,10,-2.0000,nan,0.00060,0.00141,12,145.5598,-2655.6298,269.0550,2673.1906,
approach,11,-2.2000,nan,0.00180,0.00089,13,145.2245,-2656.0747,268.6193,2673.5705,
approach,12,-2.3900,nan,0.00230,0.00074,13,144.9898,-2655.7800,268.6198,2673.2651,
approach,13,-2.5900,nan,0.00220,0.00133,13,145.2298,-2655.9300,268.5228,2673.4174,
approach,14,-2.7900,nan,0.00270,0.00096,12,145.4394,-2656.3200,268.8134,2673.8454,
approach,15,-3.0000,nan,0.00230,0.00104,13,145.3247,-2656.2000,268.5795,2673.6964,
approach,16,-3.1900,nan,0.00160,0.00193,12,145.5298,-2655.7200,268.9104,2673.2640,
approach,17,-3.3900,nan,0.00355,0.00111,12,145.5600,-2656.4700,268.8134,2674.0010,
approach,18,-3.5900,nan,0.00190,0.00119,13,145.8600,-2656.0196,268.6682,2673.5553,
approach,19,-3.7900,nan,0.00260,0.00156,12,145.4996,-2655.9898,268.8134,2673.5206,
approach,20,-4.0000,nan,0.00385,0.00089,12,145.2896,-2656.2300,268.3774,2673.7040,
approach,21,-4.1900,nan,0.00305,0.00111,12,145.7398,-2655.6900,268.2328,2673.1776,
approach,22,-4.4000,nan,0.00450,0.00044,12,145.5998,-2655.8498,268.7808,2673.3838,
approach,23,-4.5900,nan,0.00390,0.00067,12,145.6748,-2655.8248,268.2567,2673.3104,
approach,24,-4.7900,nan,0.00465,0.00148,12,145.3198,-2656.2896,268.9100,2673.8184,
approach,25,-5.0000,nan,0.00455,0.00111,12,145.4698,-2657.1298,269.0070,2674.6710,
approach,26,-5.1900,nan,0.00390,0.00148,13,145.4998,-2656.5598,268.7646,2674.0820,
approach,27,-5.4000,nan,0.00400,0.00044,12,145.6500,-2656.6196,268.3292,2674.1059,
approach,28,-5.5900,nan,0.00520,0.00104,11,145.6200,-2656.5900,268.9102,2674.1332,
approach,29,-5.7900,nan,0.00480,0.00133,12,145.2600,-2656.8600,268.7646,2674.3672,
approach,30,-6.0000,nan,0.00550,0.00133,13,145.4245,-2656.4997,268.7410,2674.0158,
approach,31,-6.1900,nan,0.00565,0.00230,12,145.3494,-2656.5000,269.3458,2674.0729,
approach,32,-6.3900,nan,0.00590,0.00163,13,145.3800,-2656.6496,268.9584,2674.1842,
approach,33,-6.5900,nan,0.00540,0.00059,13,145.1998,-2656.4498,268.5790,2673.9378,
approach,34,-6.7900,nan,0.00500,0.00133,12,145.3498,-2656.9248,268.8213,2674.4422,
approach,35,-7.0000,nan,0.00680,0.00133,13,145.3798,-2655.9000,269.1040,2673.4541,
approach,36,-7.1900,nan,0.00500,0.00059,13,145.4096,-2656.2000,268.3292,2673.6759,
approach,37,-7.3900,nan,0.00670,0.00104,12,145.5598,-2656.1700,268.5710,2673.6786,
approach,38,-7.5900,nan,0.00550,0.00052,12,145.2598,-2656.3500,268.8132,2673.8654,
approach,39,-7.7900,nan,0.00600,0.00119,12,145.3800,-2656.1396,268.6678,2673.6483,
approach,40,-8.0000,nan,0.00645,0.00141,12,145.7398,-2656.4698,269.2976,2674.0593,
approach,41,-8.1900,nan,0.00675,0.00096,12,145.5300,-2656.4398,268.4742,2673.9353,
approach,42,-8.3900,nan,0.00765,0.00133,12,145.6198,-2656.5900,268.7168,2674.1137,
approach,43,-8.5900,nan,0.00725,0.00082,12,145.5900,-2656.5300,268.2810,2674.0087,
approach,44,-8.8000,nan,0.00710,0.00059,13,145.5900,-2656.3500,268.5710,2673.8590,
approach,45,-9.0000,nan,0.00725,0.00111,12,145.3496,-2656.1700,269.1522,2673.7256,
approach,46,-9.1900,nan,0.00700,0.00119,12,145.3500,-2656.7396,269.2004,2674.2963,
approach,47,-9.3900,nan,0.00740,0.00126,12,145.6498,-2656.6196,268.8614,2674.1593,
approach,48,-9.5900,nan,0.00755,0.00059,12,145.7694,-2656.6200,269.3458,2674.2150,
approach,49,-9.8000,nan,0.00810,0.00141,12,145.4700,-2656.6198,268.7648,2674.1400,
approach,50,-10.0000,nan,0.00890,0.00267,13,145.1100,-2656.8598,268.9584,2674.3783,
approach,51,-10.1900,nan,0.00910,0.00133,12,145.3498,-2657.1298,268.8616,2674.6499,
approach,52,-10.3900,nan,0.00795,0.00126,12,145.6194,-2656.6200,268.9098,2674.1629,
approach,53,-10.5900,nan,0.00800,0.00208,13,145.8000,-2656.7995,268.9423,2674.3544,
approach,54,-10.8000,nan,0.00845,0.00119,12,145.4498,-2656.4750,268.9827,2674.0170,
approach,55,-11.0000,nan,0.00850,0.00089,13,145.4398,-2656.7400,268.2806,2674.2092,
approach,56,-11.1900,nan,0.00830,0.00133,13,145.5298,-2657.1300,268.4260,2674.6161,
approach,57,-11.3900,nan,0.00965,0.00126,12,145.1400,-2656.8898,268.5228,2674.3660,
