phase,step,mark10_pos_mm,d_compression_mm,F_mean_N,F_std_N,F_n_samples,mean_Bx_uT,mean_By_uT,mean_Bz_uT,Bmag_uT,note
approach,1,-0.1900,nan,0.01994,0.00138,6,nan,nan,nan,nan,
approach,2,-0.3900,nan,0.01930,0.00063,7,nan,nan,nan,nan,
approach,3,-0.5900,nan,0.02074,0.00259,7,nan,nan,nan,nan,
approach,4,-0.7700,nan,0.02117,0.00120,6,nan,nan,nan,nan,
approach,5,-1.0000,nan,0.02082,0.00135,7,nan,nan,nan,nan,
approach,6,-1.1900,nan,0.02147,0.00125,6,nan,nan,nan,nan,
approach,7,-1.3900,nan,0.02142,0.00051,7,nan,nan,nan,nan,
approach,8,-1.5900,nan,0.02143,0.00069,7,nan,nan,nan,nan,
approach,9,-1.7900,nan,0.02272,0.00117,7,nan,nan,nan,nan,
approach,10,-2.0000,nan,0.02063,0.00108,7,nan,nan,nan,nan,
approach,11,-2.2000,nan,0.02292,0.00166,7,nan,nan,nan,nan,
approach,12,-2.3900,nan,0.02166,0.00078,7,nan,nan,nan,nan,
approach,13,-2.5900,nan,0.02456,0.00162,7,nan,nan,nan,nan,
approach,14,-2.7900,nan,0.02240,0.00132,7,nan,nan,nan,nan,
approach,15,-3.0000,nan,0.02347,0.00096,7,nan,nan,nan,nan,
approach,16,-3.1900,nan,0.02292,0.00118,7,nan,nan,nan,nan,
approach,17,-3.3900,nan,0.02343,0.00113,7,nan,nan,nan,nan,
approach,18,-3.5900,nan,0.02253,0.00107,7,nan,nan,nan,nan,
approach,19,-3.7900,nan,0.02257,0.00048,7,nan,nan,nan,nan,
approach,20,-4.0000,nan,0.02446,0.00141,7,nan,nan,nan,nan,
approach,21,-4.1900,nan,0.02389,0.00142,7,nan,nan,nan,nan,
approach,22,-4.4000,nan,-7118.43021,17436.58228,6,nan,nan,nan,nan,
