session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,trial,pair_id,target_label,d_target_mm,d_preload_mm,d_direct_mm,d_return_mm,d_diff_mm,F_direct_N,F_return_N,delta_F_N,Bmag_direct_uT,Bmag_return_uT,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,slope_Bmag_uT_per_N,same_d_ok,force_split_ok,b_signal_ok,verdict
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,240,2.4000,2.7000,2.3800,2.4000,+0.0200,2.845650,2.253350,-0.592300,7865.8674,7917.8700,+52.0026,+1.2020,+47.4770,+31.9440,57.2357,-87.7977,1,1,1,strong
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,240,2.4000,2.7000,2.3900,2.3900,+0.0000,3.488800,2.807900,-0.680900,8357.7407,8428.6032,+70.8626,+2.4040,+58.5970,+48.4000,76.0391,-104.0719,1,1,1,strong
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,260,2.6000,2.9000,2.5800,2.6000,+0.0200,4.355250,3.542000,-0.813250,8903.3889,8985.4070,+82.0181,+2.4040,+66.1090,+56.1440,86.7659,-100.8522,1,1,1,strong
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,2,260,2.6000,2.9000,2.5900,2.5900,+0.0000,4.183500,3.410300,-0.773200,8828.8804,8904.5794,+75.6990,+2.4050,+62.2030,+51.7900,80.9765,-97.9035,1,1,1,strong
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,280,2.8000,3.1000,2.7800,2.8000,+0.0200,5.093350,4.189900,-0.903450,9335.5517,9440.1560,+104.6043,+0.6010,+90.1490,+69.6980,113.9518,-115.7832,1,1,1,strong
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,3,280,2.8000,3.1000,2.7800,2.8100,+0.0300,5.236450,4.328000,-0.908450,9429.6984,9543.6124,+113.9140,-0.6010,+95.5580,+77.4410,122.9992,-125.3938,0,1,1,bad_d_match
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,300,3.0000,3.3000,3.0000,3.0000,+0.0000,5.988450,4.960850,-1.027600,9796.2383,9943.8558,+147.6175,-0.9015,+140.3330,+92.9280,168.3145,-143.6527,1,1,1,strong
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,4,300,3.0000,3.3000,2.9800,3.0000,+0.0200,6.089350,5.079650,-1.009700,9883.3165,10038.5654,+155.2488,-0.6010,+147.2470,+95.8300,175.6856,-153.7574,1,1,1,strong
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,5,320,3.2000,3.5000,3.1800,3.2000,+0.0200,7.609700,6.259200,-1.350500,10552.9062,10711.3125,+158.4063,+0.0000,+147.2430,+101.1570,178.6428,-117.2946,1,1,1,strong
session_20260608_173406,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,5,320,3.2000,3.5000,3.1800,3.2000,+0.0200,7.630150,6.325950,-1.304200,10623.8320,10778.5820,+154.7501,-0.6010,+145.1420,+97.7710,175.0021,-118.6552,1,1,1,strong
