time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,target,actual,F_target_N,F_N,F_error_N,d_preload_mm,d_actual_mm,d_mm,q_mm,mark10_pos_mm,t_rel_s,Bx_uT,By_uT,Bz_uT,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1781188388.801443,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.488500,2.50000,2.488500,-0.011500,nan,2.0200,2.0200,,-3.6500,0.8909,-499.4300,6101.9520,4444.0880,-499.4300,6101.9520,4444.0880,-69.9110,2516.0531,2479.4199,7565.2605,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188388.891037,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.486800,2.50000,2.486800,-0.013200,nan,2.0200,2.0200,,-3.6500,0.9794,-491.6170,6094.7380,4445.0550,-491.6170,6094.7380,4445.0550,-62.0980,2508.8391,2480.3869,7559.4995,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188388.978117,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.486000,2.50000,2.486000,-0.014000,nan,2.0200,2.0200,,-3.6500,1.0684,-499.4300,6098.3440,4444.0880,-499.4300,6098.3440,4444.0880,-69.9110,2512.4451,2479.4199,7562.3507,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.066291,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.485300,2.50000,2.485300,-0.014700,nan,2.0200,2.0200,,-3.6500,1.1557,-499.4300,6098.9440,4446.0230,-499.4300,6098.9440,4446.0230,-69.9110,2513.0451,2481.3549,7563.9718,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.154437,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.485500,2.50000,2.485500,-0.014500,nan,2.0200,2.0200,,-3.6500,1.2439,-495.8240,6101.9520,4446.0230,-495.8240,6101.9520,4446.0230,-66.3050,2516.0531,2481.3549,7566.1602,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.242800,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.486800,2.50000,2.486800,-0.013200,nan,2.0200,2.0200,,-3.6500,1.3320,-502.4350,6099.5460,4446.0230,-502.4350,6099.5460,4446.0230,-72.9160,2513.6471,2481.3549,7564.6562,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.330683,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.485500,2.50000,2.485500,-0.014500,nan,2.0200,2.0200,,-3.6500,1.4209,-500.6320,6103.7540,4442.1520,-500.6320,6103.7540,4442.1520,-71.1130,2517.8551,2477.4839,7565.6566,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.419269,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.484400,2.50000,2.484400,-0.015600,nan,2.0200,2.0200,,-3.6500,1.5086,-497.6270,6100.1490,4444.0880,-497.6270,6100.1490,4444.0880,-68.1080,2514.2501,2479.4199,7563.6875,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.507324,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.484400,2.50000,2.484400,-0.015600,nan,2.0200,2.0200,,-3.6500,1.5968,-500.6320,6098.9440,4447.9600,-500.6320,6098.9440,4447.9600,-71.1130,2513.0451,2483.2919,7565.1899,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.595641,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.484100,2.50000,2.484100,-0.015900,nan,2.0200,2.0200,,-3.6500,1.6848,-491.6170,6093.5380,4445.0550,-491.6170,6093.5380,4445.0550,-62.0980,2507.6391,2480.3869,7558.5320,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.683961,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.483100,2.50000,2.483100,-0.016900,nan,2.0200,2.0200,,-3.6500,1.7733,-498.8290,6095.9430,4453.7680,-498.8290,6095.9430,4453.7680,-69.3100,2510.0441,2489.0999,7566.0690,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.771845,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.481000,2.50000,2.481000,-0.019000,nan,2.0200,2.0200,,-3.6500,1.8616,-495.2230,6100.7490,4449.8980,-495.2230,6100.7490,4449.8980,-65.7040,2514.8501,2485.2299,7567.4287,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.860409,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.480300,2.50000,2.480300,-0.019700,nan,2.0200,2.0200,,-3.6500,1.9497,-494.6220,6099.5460,4444.0880,-494.6220,6099.5460,4444.0880,-65.1030,2513.6471,2479.4199,7563.0041,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188389.948525,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.482700,2.50000,2.482700,-0.017300,nan,2.0200,2.0200,,-3.6500,2.0379,-500.0310,6101.3510,4443.1190,-500.0310,6101.3510,4443.1190,-70.5120,2515.4521,2478.4509,7564.2463,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188390.036859,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.482600,2.50000,2.482600,-0.017400,nan,2.0200,2.0200,,-3.6500,2.1261,-497.6270,6097.7440,4440.2160,-497.6270,6097.7440,4440.2160,-68.1080,2511.8451,2475.5479,7559.4730,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188390.125118,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.481000,2.50000,2.481000,-0.019000,nan,2.0200,2.0200,,-3.6500,2.2143,-498.8290,6100.7490,4447.9600,-498.8290,6100.7490,4447.9600,-69.3100,2514.8501,2483.2919,7566.5261,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1781188390.213304,session_20260611_102043,2,2,1,apmd_same_f_different_d_path_pair,loading_target,holding,same_force_path_pair,direct_loading,250,2.50000,2.481200,2.50000,2.481200,-0.018800,nan,2.0200,2.0200,,-3.6500,2.3028,-498.2280,6095.3410,4447.9600,-498.2280,6095.3410,4447.9600,-68.7090,2509.4421,2483.2919,7562.1268,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
