model,model_family,train_n_states,heldout_n_states,F_MAE_N,F_RMSE_N,F_R2,d_MAE_mm,d_RMSE_mm,d_R2,F_MAE_vs_plain_mlp_pct,d_MAE_vs_plain_mlp_pct,F_MAE_vs_lim_style_mlp_pct,d_MAE_vs_lim_style_mlp_pct,passes_current_F_goal,passes_ideal_F_goal,passes_d_goal
apmd_local_identifiability_mlp,APMD local identifiability,561,78,0.121452291425896,0.1649938789934246,0.9971949366837208,0.03545693289067325,0.04440160518532952,0.9560123548056849,91.39998672079716,74.81409805774464,85.12872963251219,36.281558139934866,True,True,True
lim_style_branch_mlp,Lim-style branch compensation,561,78,0.8166907629587589,1.569436199185676,0.7461984127858945,0.05564626481065211,0.07050526075919242,0.8890885410710259,42.170284940790566,60.47313586611674,0.0,0.0,False,False,False
apmd_path_memory_mlp,APMD path memory,561,78,1.0726231153483268,1.3152855371308971,0.821742795211359,0.061589169520400104,0.08549256508192933,0.8369239937157192,24.04776453967604,56.25174943843583,-31.337730754093513,-10.679790871804162,False,False,False
plain_magnetic_mlp,plain magnetic,561,78,1.412233766191971,1.7893643283655798,0.6700831071638207,0.1407808740459908,0.19703392858482183,0.1338055333452941,0.0,0.0,-72.92148145225022,-152.9924955880269,False,False,False
