label,session,rep,note,n_rows,duration_s,F_mean_N,F_std_mN,F_median_N,delta_F_mN_edge,d_start_mm_edge,d_end_mm_edge,delta_d_mm_edge,Bmag_start_uT_edge,Bmag_end_uT_edge,delta_Bmag_uT_edge,delta_Bx_uT_edge,delta_By_uT_edge,delta_Bz_uT_edge
trial 1,session_20260603_122143,3,clean,28,111.9552,1.757939285714286,1.1088408637962912,1.7581,-2.8333333333330213,1.4400000000000002,1.9233333333333331,0.48333333333333295,10575.6492,10570.576433333334,-5.072766666666212,4.80800000000022,-3.8083333333324845,-2.5816666666669335
trial 2,session_20260603_124327,1,clean,28,111.904,1.7717964285714287,1.800095660723346,1.7725,-4.433333333333289,1.4799999999999998,1.96,0.4800000000000002,10641.024966666666,10646.801599999999,5.7766333333329385,-3.2053333333333285,6.610999999998967,-0.6446666666652163
trial 3,session_20260603_124327,2,clean,85,117.0753,1.7748011764705882,3.2544085617059753,1.7744,-7.332203389830427,1.440338983050847,1.96,0.5196610169491529,10636.600589830508,10635.112866666668,-1.4877231638402009,-0.4107683615820861,-1.2898813559313567,-0.8474971751411431
