,1.8-2.6 mm,2.4-3.2 mm,3.0-3.8 mm,3.4-4.2 mm
1.8-2.6 mm,0.0240915372784798,0.41638935563650986,1.5851180493925652,1.546751296086129
2.4-3.2 mm,0.4138022280313538,0.026281648577068023,0.365502437932254,0.7676994419434221
3.0-3.8 mm,0.16739708778854054,0.9613644182704778,0.030920551374233645,4.212521051019893
3.4-4.2 mm,0.5893107465361495,0.3683679827821339,0.1807267438466503,0.039376383805239945
