target_d_mm,state_d_mid_mm,state_F_mid_N,n,median_abs_delta_F_N,median_delta_Bvec_uT,noise_ratio,median_delta_Bx_uT,median_delta_By_uT,median_delta_Bz_uT,jF_x_uT_per_N,jF_y_uT_per_N,jF_z_uT_per_N,jF_norm_uT_per_N,directional_consistency,same_d_pass_rate,force_split_pass_rate,b_signal_pass_rate
2.4,2.3899999999999997,1.9677,3,0.4324,62.7936,6.27936,-1.202,61.302,13.552,-2.779833487511563,141.77150786308974,31.341350601295094,145.22110099260956,0.9986938971438702,1.0,1.0,1.0
2.6,2.59,2.562525,3,0.51525,110.1997,11.01997,0.6,100.368,37.2685,1.1644832605531295,194.7947598253275,72.33090732654053,207.7934422241273,0.9974347873724144,1.0,1.0,1.0
2.8,2.79,3.33985,3,0.6983,103.4123,10.34123,0.601,97.362,34.848,0.8606616067592725,139.42718029500213,49.90405269941286,148.09150488546652,0.9994216147403789,1.0,1.0,1.0
3.0,2.99,4.1522250000000005,3,0.81415,155.3619,15.53619,1.803,146.645,54.208,2.2145796229196093,180.12037093901617,66.58232512436282,192.04545922536514,0.9996374205518538,1.0,1.0,1.0
3.2,3.1950000000000003,5.189025,3,0.973,200.5794,20.05794,4.207,197.133,31.4595,4.323741007194244,202.60328879753342,32.33247687564234,205.21251528303037,0.9995690332735543,1.0,1.0,1.0
3.4,3.3899999999999997,6.463775,3,1.18335,227.7521,22.77521,4.808,227.174,9.681,4.063041365614569,191.9753242912072,8.181011535048802,192.19251388019634,0.9998441260671695,1.0,1.0,1.0
3.6,3.59,8.13085,3,1.5871,207.3496,20.73496,1.803,206.143,22.264,1.1360342763530968,129.88658559637074,14.02810156889925,130.6468649657838,0.9995912060351482,1.0,1.0,1.0
