,1.8-2.6 mm,2.4-3.2 mm,3.0-3.8 mm,3.4-4.2 mm
1.8-2.6 mm,0.12116193661196785,2.0198977097002078,7.565522747018315,12.618488884641291
2.4-3.2 mm,1.9056814911952096,0.27943462314084944,2.0635571242535766,9.680978545887513
3.0-3.8 mm,7.600611334900952,9.760994882581661,0.7271611100014181,46.68835885728265
3.4-4.2 mm,6.492827987278931,2.05777423411095,4.032085048175225,0.9955388116104833
