model,train_n_states,heldout_n_states,F_MAE_N,F_RMSE_N,F_R2,d_MAE_mm,d_RMSE_mm,d_R2,F_MAE_vs_plain_pct,d_MAE_vs_plain_pct,balanced_relative_error
magnetic_path_memory_ridge,561,78,0.7962576316896831,0.9766012857410354,0.9017253317753903,0.06344254158457929,0.07743134751771462,0.8662274498497848,55.92397976996213,-40.69428372361891,1.847703039536568
magnetic_path_label_ridge,561,78,0.8389913758593404,1.0387995760327926,0.8888087710589453,0.03470390831800201,0.04336007060793443,0.9580517996832465,53.558497421579276,23.038368242197972,1.2340313433622276
magnetic_path_memory_random_forest,561,78,1.3409355354192094,1.7075547559237192,0.6995610185535235,0.07238948378011031,0.08955254418902014,0.8210675002981519,25.773895992814346,-60.53560143058206,2.347617054377677
magnetic_plain_ridge,561,78,1.8065551915393492,2.069285834528959,0.5587873329235188,0.04509247988298258,0.05381988820907681,0.9353722621847623,0.0,0.0,2.0
magnetic_plain_random_forest,561,78,1.8425480167087271,2.4912011378307004,0.36052349890194724,0.08790994054734504,0.12035370619811034,0.6768141715474804,-1.992345727268305,-94.95477023103648,2.9694711595830476
