model,pair_n,pair_delta_F_MAE_N,pair_delta_d_MAE_mm
bayesian_ridge,144,0.11246933397674923,0.012812163866019433
elastic_net_cv,144,0.11613074040659857,0.01524678960919467
huber,144,0.08029728989029869,0.01502516885005015
pls8,144,0.44473989976554695,0.03159124831170078
ridge_alpha1,144,0.1303027266703957,0.012796120986938933
ridge_cv,144,0.1113775736875567,0.01320653335246575
