experiment,path_family,source_kind,source_pair_csv,session_id,trial,pair_id,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,d_direct_mm,d_return_mm,delta_d_mm,abs_delta_d_mm,F_direct_N,F_return_N,delta_F_N,abs_delta_F_N,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,verdict,same_d_ok,same_F_ok,force_split_ok,disp_split_ok,b_signal_ok,raw_file_found,raw_file,raw_file_warning
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,3,3,320,,3.2,3.5,,,,3.19,3.19,0.0,0.0,5.9149,4.907,-1.0079,1.0079,184.187,4.5075,203.743,23.716,205.1682,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_320_rep3.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,1,1,340,,3.4,3.7,,,,3.38,3.4,0.02,0.02,7.34225,6.0325,-1.30975,1.30975,187.8233,4.808,219.973,5.808,220.1022,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_340_rep1.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,2,2,340,,3.4,3.7,,,,3.38,3.4,0.02,0.02,6.6786,5.5568,-1.1218,1.1218,199.4899,6.01,231.391,9.681,231.6714,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_340_rep2.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,3,3,340,,3.4,3.7,,,,3.38,3.4,0.02,0.02,7.05545,5.8721,-1.18335,1.18335,198.2108,4.808,227.174,15.488,227.7521,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_340_rep3.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,1,1,360,,3.6,3.9,,,,3.59,3.6,0.01,0.01,8.93375,7.32795,-1.6058,1.6058,194.9083,3.3055,210.357,32.912,212.9418,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep1.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,2,2,360,,3.6,3.9,,,,3.58,3.6,0.02,0.02,8.9668,7.3797,-1.5871,1.5871,185.4227,1.803,206.143,22.264,207.3496,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep2.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,3,3,360,,3.6,3.9,,,,3.58,3.6,0.02,0.02,8.8897,7.3155,-1.5742,1.5742,181.1359,-0.601,200.731,21.295,201.8583,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_360_rep3.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260610_153403,1,1,,1.5,,,,,,1.59,1.75,0.16,0.16,1.4083,1.3986,-0.0097,0.0097,341.9753,1.202,275.859,207.151,344.98,accepted,1,1,1,1,1,1,decouple_data\session_20260610_153403\same_f_different_d_scan_150_150_rep1.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260610_153403,2,2,,1.5,,,,,,1.59,1.75,0.16,0.16,1.4409,1.4367,-0.0042,0.0042,337.2381,1.803,271.053,205.218,339.9815,accepted,1,1,1,1,1,1,decouple_data\session_20260610_153403\same_f_different_d_scan_150_150_rep2.csv,
3.2 same-F/different-d work-zone scan,same_F_different_d,report_replicates,reports\experiment_3_2_same_f_different_d_figure_data_replicates.csv,session_20260610_153403,3,3,,1.5,,,,,,1.57,1.72,0.15,0.15,1.4262,1.46785,0.04165,0.04165,309.7115,1.202,249.413,189.728,313.3768,accepted,1,1,1,1,1,1,decouple_data\session_20260610_153403\same_f_different_d_scan_150_150_rep3.csv,
