experiment,path_family,source_kind,source_pair_csv,session_id,trial,pair_id,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,d_direct_mm,d_return_mm,delta_d_mm,abs_delta_d_mm,F_direct_N,F_return_N,delta_F_N,abs_delta_F_N,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,verdict,same_d_ok,same_F_ok,force_split_ok,disp_split_ok,b_signal_ok,raw_file_found,raw_file,raw_file_warning
3.4A same-F preload-depth dosage,same_F_different_d,report_replicates,reports\experiment_3_4A_same_f_path_dosage_replicates.csv,session_20260613_141828,1,2,,,,,0.2,,,2.6,2.72,0.12,0.12,3.6419,3.6438,0.0019,0.0019,329.9611,-0.602,197.73,267.167,332.3789,formal_strong,1,1,1,1,1,1,decouple_data\session_20260613_141828\same_f_path_dosage_A_extra020_375_rep1.csv,
3.4A same-F preload-depth dosage,same_F_different_d,report_replicates,reports\experiment_3_4A_same_f_path_dosage_replicates.csv,session_20260613_162917,3,3,,,,,0.2,,,2.56,2.66,0.1,0.1,3.70465,3.67875,-0.0259,0.0259,283.9498,-1.202,168.278,233.288,287.6495,formal_strong,1,1,1,1,1,1,decouple_data\session_20260613_162917\same_f_path_dosage_A_extra020_375_rep3.csv,
3.4A same-F preload-depth dosage,same_F_different_d,report_replicates,reports\experiment_3_4A_same_f_path_dosage_replicates.csv,session_20260613_174105,1,1,,,,,0.3,,,2.52,2.62,0.1,0.1,3.64435,3.6017,-0.04265,0.04265,307.5975,-3.607,194.125,240.064,308.7527,formal_strong,1,1,1,1,1,1,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep1.csv,
3.4A same-F preload-depth dosage,same_F_different_d,report_replicates,reports\experiment_3_4A_same_f_path_dosage_replicates.csv,session_20260613_174105,2,2,,,,,0.3,,,2.54,2.68,0.14,0.14,3.60615,3.62065,0.0145,0.0145,399.5372,-3.305,242.801,321.377,402.7982,formal_strong,1,1,1,1,1,1,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep2.csv,
3.4A same-F preload-depth dosage,same_F_different_d,report_replicates,reports\experiment_3_4A_same_f_path_dosage_replicates.csv,session_20260613_174105,3,3,,,,,0.3,,,2.54,2.64,0.1,0.1,3.6908,3.6711,-0.0197,0.0197,300.3582,-4.206,187.511,234.256,300.0899,formal_strong,1,1,1,1,1,1,decouple_data\session_20260613_174105\same_f_path_dosage_A_extra030_375_rep3.csv,
3.4A same-F preload-depth dosage,same_F_different_d,report_replicates,reports\experiment_3_4A_same_f_path_dosage_replicates.csv,session_20260613_192031,1,1,,,,,0.4,,,2.52,2.73,0.21,0.21,3.6258,3.66675,0.04095,0.04095,582.3053,-8.414,363.001,458.831,585.1208,formal_strong,1,1,1,1,1,1,decouple_data\session_20260613_192031\same_f_path_dosage_A_extra040_375_rep1.csv,
3.4A same-F preload-depth dosage,same_F_different_d,report_replicates,reports\experiment_3_4A_same_f_path_dosage_replicates.csv,session_20260613_192031,2,2,,,,,0.4,,,2.54,2.67,0.13,0.13,3.6956,3.72725,0.03165,0.03165,349.9581,-7.5125,244.307,251.679,350.8342,formal_strong,1,1,1,1,1,1,decouple_data\session_20260613_192031\same_f_path_dosage_A_extra040_375_rep2.csv,
3.4A same-F preload-depth dosage,same_F_different_d,report_replicates,reports\experiment_3_4A_same_f_path_dosage_replicates.csv,session_20260613_194759,1,3,,,,,0.4,,,2.62,2.73,0.11,0.11,3.75155,3.76735,0.0158,0.0158,327.9031,-6.611,234.693,229.416,328.2624,formal_strong,1,1,1,1,1,1,decouple_data\session_20260613_194759\same_f_path_dosage_A_extra040_375_rep1.csv,
3.4B same-F preload-hold-time dosage,same_F_different_d,report_replicates,reports\experiment_3_4B_same_f_path_hold_time_replicates.csv,session_20260614_142325,1,1,,3.75,,,0.4,5.0,,2.61,2.73,0.12,0.12,3.6917,3.65595,-0.03575,0.03575,333.8785,7.212,208.2445,264.264,336.5312,formal_strong,1,1,1,1,1,1,decouple_data\session_20260614_142325\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,
3.4B same-F preload-hold-time dosage,same_F_different_d,report_replicates,reports\experiment_3_4B_same_f_path_hold_time_replicates.csv,session_20260614_145304,1,2,,3.75,,,0.4,5.0,,2.34,2.54,0.2,0.2,3.60495,3.6334,0.02845,0.02845,541.7607,8.414,304.709,457.864,550.0526,formal_strong,1,1,1,1,1,1,decouple_data\session_20260614_145304\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,
3.4B same-F preload-hold-time dosage,same_F_different_d,report_replicates,reports\experiment_3_4B_same_f_path_hold_time_replicates.csv,session_20260614_150342,1,3,,3.75,,,0.4,5.0,,2.34,2.54,0.2,0.2,3.6772,3.7205,0.0433,0.0433,544.6272,9.015,302.904,462.704,553.1068,formal_strong,1,1,1,1,1,1,decouple_data\session_20260614_150342\same_f_path_hold_time_B_hold005_375_hold005_rep1.csv,
3.4B same-F preload-hold-time dosage,same_F_different_d,report_replicates,reports\experiment_3_4B_same_f_path_hold_time_replicates.csv,session_20260614_171435,1,1,,3.75,,,0.4,30.0,,2.36,2.48,0.12,0.12,3.7401,3.7495,0.0094,0.0094,350.0019,6.612,213.958,279.751,352.2533,formal_strong,1,1,1,1,1,1,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep1.csv,
3.4B same-F preload-hold-time dosage,same_F_different_d,report_replicates,reports\experiment_3_4B_same_f_path_hold_time_replicates.csv,session_20260614_171435,2,2,,3.75,,,0.4,30.0,,2.34,2.44,0.1,0.1,3.7644,3.7305,-0.0339,0.0339,291.9615,6.01,184.207,228.446,293.5233,formal_strong,1,1,1,1,1,1,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep2.csv,
3.4B same-F preload-hold-time dosage,same_F_different_d,report_replicates,reports\experiment_3_4B_same_f_path_hold_time_replicates.csv,session_20260614_171435,3,3,,3.75,,,0.4,30.0,,2.36,2.48,0.12,0.12,3.7726,3.7882,0.0156,0.0156,345.1966,7.212,206.4435,279.752,347.7529,formal_strong,1,1,1,1,1,1,decouple_data\session_20260614_171435\same_f_path_hold_time_B_hold030_375_hold030_rep3.csv,
3.4B same-F preload-hold-time dosage,same_F_different_d,report_replicates,reports\experiment_3_4B_same_f_path_hold_time_replicates.csv,session_20260614_175601,1,1,,3.75,,,0.4,90.0,,2.38,2.54,0.16,0.16,3.6767,3.65275,-0.02395,0.02395,436.666,6.01,252.419,361.547,440.9849,formal_strong,1,1,1,1,1,1,decouple_data\session_20260614_175601\same_f_path_hold_time_B_hold090_375_hold090_rep1.csv,
3.4B same-F preload-hold-time dosage,same_F_different_d,report_replicates,reports\experiment_3_4B_same_f_path_hold_time_replicates.csv,session_20260614_183107,1,2,,3.75,,,0.4,90.0,,2.4,2.5,0.1,0.1,3.7826,3.7755,-0.0071,0.0071,294.8672,6.611,182.4055,233.289,296.2081,formal_strong,1,1,1,1,1,1,decouple_data\session_20260614_183107\same_f_path_hold_time_B_hold090_375_hold090_rep1.csv,
3.4B same-F preload-hold-time dosage,same_F_different_d,report_replicates,reports\experiment_3_4B_same_f_path_hold_time_replicates.csv,session_20260614_193530,1,3,,3.75,,,0.4,90.0,,2.32,2.46,0.14,0.14,3.6664,3.6986,0.0322,0.0322,389.4989,4.207,231.387,317.023,392.5063,formal_strong,1,1,1,1,1,1,decouple_data\session_20260614_193530\same_f_path_hold_time_B_hold090_375_hold090_rep1.csv,
3.5A same-d recovery-time path memory,same_d_different_F,report_replicates,reports\experiment_3_5A_recovery_time_path_memory_replicates.csv,session_20260614_201905,1,1,340,,3.4,3.8,,30.0,30.0,3.38,3.4,0.02,0.02,10.8359,8.6627,-2.1732,2.1732,236.5274,-11.419,228.981,116.16,257.0133,strong,1,1,1,1,1,1,decouple_data\session_20260614_201905\recovery_time_path_memory_3p5A_340_pre380_rec030_rep1.csv,
3.5A same-d recovery-time path memory,same_d_different_F,report_replicates,reports\experiment_3_5A_recovery_time_path_memory_replicates.csv,session_20260614_201905,2,1,340,,3.4,3.8,,30.0,30.0,3.38,3.4,0.02,0.02,10.54515,8.45075,-2.0944,2.0944,234.665,-12.02,224.171,117.608,253.4339,strong,1,1,1,1,1,1,decouple_data\session_20260614_201905\recovery_time_path_memory_3p5A_340_pre380_rec030_rep2.csv,
3.5A same-d recovery-time path memory,same_d_different_F,report_replicates,reports\experiment_3_5A_recovery_time_path_memory_replicates.csv,session_20260614_201905,3,1,340,,3.4,3.8,,30.0,30.0,3.38,3.38,0.0,0.0,10.7091,8.5845,-2.1246,2.1246,226.946,-12.621,222.973,108.416,248.2545,strong,1,1,1,1,1,1,decouple_data\session_20260614_201905\recovery_time_path_memory_3p5A_340_pre380_rec030_rep3.csv,
3.5A same-d recovery-time path memory,same_d_different_F,report_replicates,reports\experiment_3_5A_recovery_time_path_memory_replicates.csv,session_20260614_201905,1,2,340,,3.4,3.8,,30.0,120.0,3.38,3.38,0.0,0.0,10.4702,8.3928,-2.0774,2.0774,221.1065,-12.621,214.558,107.445,240.2891,strong,1,1,1,1,1,1,decouple_data\session_20260614_201905\recovery_time_path_memory_3p5A_340_pre380_rec120_rep1.csv,
3.5A same-d recovery-time path memory,same_d_different_F,report_replicates,reports\experiment_3_5A_recovery_time_path_memory_replicates.csv,session_20260614_201905,2,2,340,,3.4,3.8,,30.0,120.0,3.38,3.38,0.0,0.0,10.6514,8.5564,-2.095,2.095,223.5069,-15.025,220.566,104.549,244.5518,strong,1,1,1,1,1,1,decouple_data\session_20260614_201905\recovery_time_path_memory_3p5A_340_pre380_rec120_rep2.csv,
3.5A same-d recovery-time path memory,same_d_different_F,report_replicates,reports\experiment_3_5A_recovery_time_path_memory_replicates.csv,session_20260614_201905,3,2,340,,3.4,3.8,,30.0,120.0,3.38,3.38,0.0,0.0,10.4126,8.35035,-2.06225,2.06225,219.2335,-13.823,216.361,104.544,240.6919,strong,1,1,1,1,1,1,decouple_data\session_20260614_201905\recovery_time_path_memory_3p5A_340_pre380_rec120_rep3.csv,
3.5A same-d recovery-time path memory,same_d_different_F,report_replicates,reports\experiment_3_5A_recovery_time_path_memory_replicates.csv,session_20260614_201905,1,3,340,,3.4,3.8,,30.0,300.0,3.38,3.38,0.0,0.0,10.64405,8.54255,-2.1015,2.1015,216.7118,-13.222,216.962,100.672,239.5458,strong,1,1,1,1,1,1,decouple_data\session_20260614_201905\recovery_time_path_memory_3p5A_340_pre380_rec300_rep1.csv,
3.5A same-d recovery-time path memory,same_d_different_F,report_replicates,reports\experiment_3_5A_recovery_time_path_memory_replicates.csv,session_20260614_201905,2,3,340,,3.4,3.8,,30.0,300.0,3.38,3.38,0.0,0.0,10.2122,8.145,-2.0672,2.0672,202.3346,-13.824,195.325,100.677,220.1791,strong,1,1,1,1,1,1,decouple_data\session_20260614_201905\recovery_time_path_memory_3p5A_340_pre380_rec300_rep2.csv,
3.5A same-d recovery-time path memory,same_d_different_F,report_replicates,reports\experiment_3_5A_recovery_time_path_memory_replicates.csv,session_20260614_201905,3,3,340,,3.4,3.8,,30.0,300.0,3.38,3.38,0.0,0.0,10.2086,8.1922,-2.0164,2.0164,215.723,-13.823,201.935,110.351,230.5345,strong,1,1,1,1,1,1,decouple_data\session_20260614_201905\recovery_time_path_memory_3p5A_340_pre380_rec300_rep3.csv,
