work_zone,n_states,d_min_mm,d_max_mm,F_min_N,F_max_N,F_MAE_N,d_MAE_mm,F_p90_N,d_p90_mm,F_bias_N,d_bias_mm,angle_median_deg,pF_median_kuT,pD_median_kuT,residual_median_kuT
1.8-2.6 mm,78,1.82,2.58,1.59155,6.09725,0.10821400091933459,0.016077266790123564,0.2501770755368451,0.03312712157933257,0.016502439180641832,-0.009491553143462622,24.238224728737297,3.4522219233558618,2.4077441969811235,0.13762913151674483
2.4-3.2 mm,78,2.42,3.19,3.1511,11.3635,0.07630614373502331,0.019090326291589334,0.13742629420676694,0.03928592446659265,-0.03748299160119915,-0.00024540034534832004,21.73086934871879,4.774566696781223,3.917725225342288,0.6169053296041402
3.0-3.8 mm,78,3.01,3.79,4.1544,18.7804,0.06853627594002039,0.056079797544479386,0.14089422249027073,0.10822675635388047,0.022687030759106462,0.03963715926816737,44.8120907078137,1.9584919355539774,5.5576974911241726,0.26005812513692045
3.4-4.2 mm,78,3.42,3.89,10.0087,21.4931,0.07651572381043,0.095786564339975,0.15315189417496622,0.16613975413353496,-0.043244149856586866,-0.095786564339975,2.858413789808005,5.943294746126692,5.746373168000824,4.4502718062224345
