model,n_states,F_MAE_N,F_RMSE_N,F_R2,d_MAE_mm,d_RMSE_mm,d_R2,F_MAE_vs_plain_pct,d_MAE_vs_plain_pct,balanced_relative_error
magnetic_path_memory_random_forest,1461,0.26847209225381613,0.60460650031367,0.9882326889829849,0.06571466511132465,0.13907998622130072,0.9499574097249467,81.96555683258387,-18.740404433924137,1.3677484760134024
magnetic_plain_random_forest,1461,0.5679760453700011,1.0035035922855378,0.967583250050438,0.06455993103625679,0.13345019633075636,0.9539267405543831,61.84656801871575,-16.653905311469323,1.5480733729275358
magnetic_path_label_ridge,1461,0.9882942375815937,1.3796481743818525,0.9387271178313171,0.05720777655138147,0.08051147099572531,0.983230271695223,33.611959028129675,-3.3692329249347,1.6975727389680502
magnetic_path_memory_ridge,1461,1.0290632615638395,1.3609900010510774,0.9403732035014736,0.055487180129862666,0.07967527936575375,0.9835768033484763,30.873325601368407,-0.26027216841861,1.693869465670502
magnetic_plain_ridge,1461,1.4886630530344311,1.9322545995065745,0.8798122215985813,0.05534313734622077,0.0755994333220136,0.9852141061644464,0.0,0.0,2.0
mechanical_cross_label_ridge,1461,2.1851799434516193,2.7785782799017724,0.7514711094549028,0.25016846895095757,0.3034629461727769,0.761756070775084,-46.78808203088241,-352.03159948437747,5.988196815152598
